Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_immobilisations_corporelles,0,0,0,1140,0,0,0,0
total_i__immobilisations,0,0,0,1140,0,0,0,0
produits_intermediaires_et_finis,0,0,0,27000,0,0,0,0
clients_et_comptes_rattaches,0,0,0,71,0,0,0,0
autres_creances,0,0,0,24736,0,0,0,0
disponibilites,0,0,0,12918,0,0,0,0
total_ii__actif_circulant,0,0,0,64725,0,0,0,0
total_general__actif,0,0,0,65865,0,0,0,0
capital_social_ou_individuel,0,0,0,2000,0,0,0,0
report_a_nouveau,0,0,0,-11356,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,-11495,0,0,0,0
total_i__capital_social,0,0,0,-20851,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,7557,0,0,0,0
dettes_fiscales_et_sociales,0,0,0,919,0,0,0,0
autres_dettes,0,0,0,78240,0,0,0,0
total_iv__dettes,0,0,0,86716,0,0,0,0
total_general__passif,0,0,0,65865,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,86716,0,0,0,0
