Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,96676,0,0,0,0
chiffres_daffaires_nets,0,0,0,96676,0,0,0,0
production_stockee,0,0,0,27000,0,0,0,0
autres_produits,0,0,0,1,0,0,0,0
total_des_produits_dexploitation_i,0,0,0,123676,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,41114,0,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,19447,0,0,0,0
autres_achats_et_charges_externes,0,0,0,53623,0,0,0,0
impots_taxes_et_versements_assimiles,0,0,0,319,0,0,0,0
salaires_et_traitements,0,0,0,1496,0,0,0,0
charges_sociales,0,0,0,3,0,0,0,0
dot_dexploit__dotations_aux_amortissements,0,0,0,251,0,0,0,0
autres_charges,0,0,0,1231,0,0,0,0
total_des_charges_dexploitation_ii,0,0,0,117484,0,0,0,0
_resultat_dexploitation_i__ii,0,0,0,6193,0,0,0,0
interets_et_charges_assimilees,0,0,0,162,0,0,0,0
total_des_charges_financieres_vi,0,0,0,162,0,0,0,0
_resultat_financier_v__vi,0,0,0,-162,0,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,6031,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,17630,0,0,0,0
total_des_charges_exceptionnelles_viii,0,0,0,17630,0,0,0,0
_resultat_exceptionnel_vii__viii,0,0,0,-17630,0,0,0,0
impots_sur_les_benefices,0,0,0,-104,0,0,0,0
total_des_produits_i__iii__v__vii,0,0,0,123676,0,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,135171,0,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,-11495,0,0,0,0
