Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,0,0,0,4500,0,0,0,0
autres_immobilisations_corporelles,0,0,0,378,0,0,0,0
autres_immobilisations_financieres,0,0,0,15333,0,0,0,0
total_i__immobilisations,0,0,0,20211,0,0,0,0
marchandises,0,0,0,83556,0,0,0,0
clients_et_comptes_rattaches,0,0,0,5603,0,0,0,0
autres_creances,0,0,0,9665,0,0,0,0
disponibilites,0,0,0,59092,0,0,0,0
total_ii__actif_circulant,0,0,0,157915,0,0,0,0
total_general__actif,0,0,0,178126,0,0,0,0
capital_social_ou_individuel,0,0,0,6000,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,14430,0,0,0,0
total_i__capital_social,0,0,0,20430,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,7,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,0,23219,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,125049,0,0,0,0
dettes_fiscales_et_sociales,0,0,0,9421,0,0,0,0
total_iv__dettes,0,0,0,157696,0,0,0,0
total_general__passif,0,0,0,178126,0,0,0,0
