Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_corporelles,0,0,0,471,0,0,0,0
immobilisations_financieres,0,0,0,800,0,0,0,0
total_actif_immobilise,0,0,0,1271,0,0,0,0
stock_marchandises,0,0,0,4115,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,0,0,25616,0,0,0,0
creances__clients_et_comptes_rattaches,0,0,0,36637,0,0,0,0
creances__autres,0,0,0,1409,0,0,0,0
disponibilites,0,0,0,50088,0,0,0,0
total_actif_circulant__charges_constatees_davance,0,0,0,117866,0,0,0,0
total_general_actif,0,0,0,119136,0,0,0,0
capital_social_ou_individuel,0,0,0,400,0,0,0,0
reserve_legale,0,0,0,40,0,0,0,0
autres_reserves,0,0,0,832,0,0,0,0
resultat_de_lexercice,0,0,0,15406,0,0,0,0
total_des_capitaux_propres__total_i,0,0,0,16678,0,0,0,0
emprunts_et_dettes_assimilees,0,0,0,13000,0,0,0,0
fournisseurs_et_comptes_rattaches,0,0,0,57646,0,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,0,31812,0,0,0,0
total_des_dettes,0,0,0,102459,0,0,0,0
total_general_passif,0,0,0,119136,0,0,0,0
