Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_immobilisations_corporelles,0,0,552,646,0,0,0,0
total_i__immobilisations,0,0,552,646,0,0,0,0
marchandises,0,0,4632,1502,0,0,0,0
autres_creances,0,0,2099,1685,0,0,0,0
disponibilites,0,0,9511,30171,0,0,0,0
total_ii__actif_circulant,0,0,16242,33358,0,0,0,0
total_general__actif,0,0,16794,34004,0,0,0,0
capital_social_ou_individuel,0,0,5000,5000,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,958,2074,0,0,0,0
total_i__capital_social,0,0,8032,7074,0,0,0,0
emprunts_obligataires_convertibles,0,0,86,82,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,420,14829,0,0,0,0
autres_dettes,0,0,8256,12019,0,0,0,0
total_iv__dettes,0,0,8762,26930,0,0,0,0
total_general__passif,0,0,16794,34004,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,8762,26930,0,0,0,0
report_a_nouveau,0,0,2074,0,0,0,0,0
