Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_financieres,107,0,0,107,0,0,0,0
total_actif_immobilise,107,0,0,107,0,0,0,0
creances__clients_et_comptes_rattaches,388832,0,0,384291,0,0,0,0
creances__autres,9707,0,0,2938,0,0,0,0
disponibilites,17614,0,0,26427,0,0,0,0
charges_constatees_davance,294,0,0,278,0,0,0,0
total_actif_circulant__charges_constatees_davance,429230,0,0,413935,0,0,0,0
total_general_actif,429337,0,0,414042,0,0,0,0
capital_social_ou_individuel,10000,0,0,10000,0,0,0,0
resultat_de_lexercice,30393,0,0,17404,0,0,0,0
total_des_capitaux_propres__total_i,65131,0,0,27404,0,0,0,0
emprunts_et_dettes_assimilees,2756,0,0,625,0,0,0,0
fournisseurs_et_comptes_rattaches,349959,0,0,308082,0,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,11490,0,0,77929,0,0,0,0
total_des_dettes,364205,0,0,386638,0,0,0,0
total_general_passif,429337,0,0,414042,0,0,0,0
avances_et_acomptes_verses_sur_commandes,12782,0,0,0,0,0,0,0
reserve_legale,1000,0,0,0,0,0,0,0
autres_reserves,23738,0,0,0,0,0,0,0
