Libellé,2023,2022,2021,2020,2019,2018,2017,2016
stock_marchandises,0,0,0,21838,0,0,0,0
creances__clients_et_comptes_rattaches,0,0,0,6725,0,0,0,0
creances__autres,0,0,0,240,0,0,0,0
disponibilites,0,0,0,2486,0,0,0,0
total_actif_circulant__charges_constatees_davance,0,0,0,31289,0,0,0,0
total_general_actif,0,0,0,31289,0,0,0,0
capital_social_ou_individuel,0,0,0,500,0,0,0,0
resultat_de_lexercice,0,0,0,3916,0,0,0,0
total_des_capitaux_propres__total_i,0,0,0,4416,0,0,0,0
fournisseurs_et_comptes_rattaches,0,0,0,5973,0,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,0,20899,0,0,0,0
total_des_dettes,0,0,0,26872,0,0,0,0
total_general_passif,0,0,0,31289,0,0,0,0
