Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,0,0,34333,0,0,0,0
autres_produits,0,0,0,2,0,0,0,0
total_des_produits_dexploitation_hors_tva,0,0,0,34335,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,35507,0,0,0,0
variation_de_stock_marchandises,0,0,0,-21838,0,0,0,0
autres_charges_externes,0,0,0,15451,0,0,0,0
charges_sociales,0,0,0,607,0,0,0,0
autres_charges,0,0,0,1,0,0,0,0
total_des_charges_dexploitation,0,0,0,29728,0,0,0,0
resultat_dexploitation,0,0,0,4607,0,0,0,0
impots_sur_les_benefices,0,0,0,691,0,0,0,0
benefice_ou_perte,0,0,0,3916,0,0,0,0
