Libellé,2023,2022,2021,2020,2019,2018,2017,2016
constructions,0,4159,0,0,0,0,0,0
autres_immobilisations_corporelles,0,6373,0,0,0,0,0,0
autres_immobilisations_financieres,0,1769,0,0,0,0,0,0
total_i__immobilisations,0,12300,0,0,0,0,0,0
clients_et_comptes_rattaches,0,711487,0,0,0,0,0,0
autres_creances,0,56484,0,0,0,0,0,0
disponibilites,0,43549,0,0,0,0,0,0
charges_constatees_davance,0,8039,0,0,0,0,0,0
total_ii__actif_circulant,0,819558,0,0,0,0,0,0
total_general__actif,0,831859,0,0,0,0,0,0
capital_social_ou_individuel,0,5000,0,0,0,0,0,0
reserve_legale,0,500,0,0,0,0,0,0
report_a_nouveau,0,8010,0,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,-160250,0,0,0,0,0,0
total_i__capital_social,0,-146740,0,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,321746,0,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,599794,0,0,0,0,0,0
dettes_fiscales_et_sociales,0,52945,0,0,0,0,0,0
autres_dettes,0,0,0,0,0,0,0,0
total_iv__dettes,0,974485,0,0,0,0,0,0
dettes_diverses,0,4114,0,0,0,0,0,0
total_general__passif,0,831859,0,0,0,0,0,0
