Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,41851,61062,73863,0,0,0,0,0
autres_immobilisations_incorporelles,57197,84275,135389,0,0,0,0,0
autres_immobilisations_corporelles,2950036,3407047,3871882,0,0,0,0,0
autres_participations,5146000,5146000,0,0,0,0,0,0
autres_immobilisations_financieres,280817,213119,212854,0,0,0,0,0
total_i__immobilisations,11381601,8911503,4293988,0,0,0,0,0
marchandises,5436607,4450421,3363000,0,0,0,0,0
clients_et_comptes_rattaches,3401474,4842782,1865392,0,0,0,0,0
autres_creances,2592479,1154685,1684488,0,0,0,0,0
disponibilites,1630859,725920,671237,0,0,0,0,0
charges_constatees_davance,125275,46435,43895,0,0,0,0,0
total_ii__actif_circulant,13228664,11220244,7628012,0,0,0,0,0
total_general__actif,24610266,20131746,11922000,0,0,0,0,0
capital_social_ou_individuel,3000000,3000000,3000000,0,0,0,0,0
report_a_nouveau,504229,-297778,0,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,1396997,888952,-297778,0,0,0,0,0
total_i__capital_social,4901226,3591174,2702222,0,0,0,0,0
provisions_pour_risques,72000,67000,25000,0,0,0,0,0
total_iii__provisions,72000,67000,25000,0,0,0,0,0
emprunts_et_dettes_financieres_divers,8400000,3300000,3300000,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,3276018,6125992,4640629,0,0,0,0,0
dettes_fiscales_et_sociales,3316313,1854708,1021880,0,0,0,0,0
dettes_sur_immobilisations_et_comptes_rattaches,0,5146000,145851,0,0,0,0,0
autres_dettes,86717,46872,86417,0,0,0,0,0
total_iv__dettes,19637039,16473572,9194778,0,0,0,0,0
total_general__passif,24610266,20131746,11922000,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,16337039,3300000,9194778,0,0,0,0,0
emprunts_participatifs,8400000,3300000,3300000,0,0,0,0,0
immobilisations_en_cours,5700,0,0,0,0,0,0,0
prets,2900000,0,0,0,0,0,0,0
matieres_premieres_approvisionnements,18678,0,0,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,23292,0,0,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,4557990,0,0,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,4557990,0,0,0,0,0,0,0
