Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,574,0,0,0,0,0
autres_immobilisations_corporelles,0,55194,21142,0,0,0,0,0
total_i__immobilisations,0,55194,21716,0,0,0,0,0
marchandises,0,720201,637859,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,316500,11000,0,0,0,0,0
autres_creances,0,1059500,35853,0,0,0,0,0
disponibilites,0,161386,110205,0,0,0,0,0
total_ii__actif_circulant,0,2273587,794917,0,0,0,0,0
total_general__actif,0,2328781,816633,0,0,0,0,0
capital_social_ou_individuel,0,1000,1000,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,116803,253830,0,0,0,0,0
total_i__capital_social,0,371633,254830,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,45749,21608,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,101660,129097,0,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,208000,42300,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,1539850,255250,0,0,0,0,0
dettes_fiscales_et_sociales,0,4388,98048,0,0,0,0,0
autres_dettes,0,57500,15500,0,0,0,0,0
total_iv__dettes,0,1957148,561803,0,0,0,0,0
total_general__passif,0,2328781,816633,0,0,0,0,0
emprunts_participatifs,0,0,129097,0,0,0,0,0
clients_et_comptes_rattaches,0,16000,0,0,0,0,0,0
reserve_legale,0,100,0,0,0,0,0,0
report_a_nouveau,0,253730,0,0,0,0,0,0
