Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_corporelles,0,0,1617,0,0,0,0,0
total_actif_immobilise,0,0,1617,0,0,0,0,0
creances__autres,0,0,244,0,0,0,0,0
disponibilites,0,0,83,0,0,0,0,0
total_actif_circulant__charges_constatees_davance,0,0,327,0,0,0,0,0
total_general_actif,0,0,1944,0,0,0,0,0
capital_social_ou_individuel,0,0,500,0,0,0,0,0
resultat_de_lexercice,0,0,-256,0,0,0,0,0
total_des_capitaux_propres__total_i,0,0,244,0,0,0,0,0
fournisseurs_et_comptes_rattaches,0,0,1366,0,0,0,0,0
autres_dettes,0,0,334,0,0,0,0,0
total_des_dettes,0,0,1700,0,0,0,0,0
total_general_passif,0,0,1944,0,0,0,0,0
