Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,8244,0,0,0,0,0
autres_immobilisations_corporelles,20599,0,16242,0,0,0,0,0
autres_immobilisations_financieres,400,0,400,0,0,0,0,0
total_i__immobilisations,20999,0,24886,0,0,0,0,0
marchandises,382000,0,661520,0,0,0,0,0
clients_et_comptes_rattaches,95725,0,52000,0,0,0,0,0
autres_creances,86513,0,2983,0,0,0,0,0
disponibilites,515070,0,179886,0,0,0,0,0
total_ii__actif_circulant,1079308,0,896389,0,0,0,0,0
total_general__actif,1100306,0,921275,0,0,0,0,0
capital_social_ou_individuel,1000,0,1000,0,0,0,0,0
reserve_legale,100,0,0,0,0,0,0,0
report_a_nouveau,311780,0,0,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,47070,0,103121,0,0,0,0,0
total_i__capital_social,359950,0,104121,0,0,0,0,0
provisions_pour_risques,21040,0,14240,0,0,0,0,0
total_iii__provisions,21040,0,14240,0,0,0,0,0
emprunts_et_dettes_financieres_divers,445276,0,751499,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,262396,0,9073,0,0,0,0,0
dettes_fiscales_et_sociales,11645,0,42342,0,0,0,0,0
total_iv__dettes,719316,0,802914,0,0,0,0,0
total_general__passif,1100306,0,921275,0,0,0,0,0
