Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__fonds_commercial,18500,0,18500,0,0,0,0,0
immobilisations_corporelles,1050,0,1350,0,0,0,0,0
immobilisations_financieres,15049,0,12824,0,0,0,0,0
total_actif_immobilise,34599,0,32674,0,0,0,0,0
stock_marchandises,12124,0,40198,0,0,0,0,0
creances__clients_et_comptes_rattaches,376,0,0,0,0,0,0,0
creances__autres,7470,0,4107,0,0,0,0,0
valeurs_mobilieres_de_placement,290,0,0,0,0,0,0,0
disponibilites,45770,0,27192,0,0,0,0,0
charges_constatees_davance,625,0,947,0,0,0,0,0
total_actif_circulant__charges_constatees_davance,66654,0,72444,0,0,0,0,0
total_general_actif,101253,0,105118,0,0,0,0,0
capital_social_ou_individuel,2000,0,2000,0,0,0,0,0
report_a_nouveau,-16846,0,0,0,0,0,0,0
resultat_de_lexercice,11564,0,-30057,0,0,0,0,0
total_des_capitaux_propres__total_i,-3282,0,-28057,0,0,0,0,0
fournisseurs_et_comptes_rattaches,58817,0,99029,0,0,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,45718,0,34146,0,0,0,0,0
total_des_dettes,104534,0,133175,0,0,0,0,0
total_general_passif,101253,0,105118,0,0,0,0,0
