Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__export,32744,0,27907,0,0,0,0,0
ventes_de_marchandises__france,165977,0,113802,0,0,0,0,0
production_vendue_de_services__france,234,0,258,0,0,0,0,0
autres_produits,20374,0,8,0,0,0,0,0
total_des_produits_dexploitation_hors_tva,186580,0,114068,0,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,52306,0,93576,0,0,0,0,0
variation_de_stock_marchandises,3542,0,-40198,0,0,0,0,0
autres_charges_externes,68576,0,55433,0,0,0,0,0
dont_taxe_professionnelle,2471,0,2467,0,0,0,0,0
impots_taxes_et_versements_assimiles,8378,0,2977,0,0,0,0,0
remunerations_du_personnel,40742,0,31541,0,0,0,0,0
charges_sociales,1317,0,645,0,0,0,0,0
dotations_aux_amortissements,150,0,150,0,0,0,0,0
autres_charges,3,0,1,0,0,0,0,0
total_des_charges_dexploitation,175014,0,144125,0,0,0,0,0
resultat_dexploitation,11564,0,-30057,0,0,0,0,0
benefice_ou_perte,11564,0,-30057,0,0,0,0,0
montant_de_la_tva_collectee,29925,0,24660,0,0,0,0,0
montant_de_la_tva_deductible_sur_biens_et_services,22435,0,27722,0,0,0,0,0
effectif_moyen_du_personnel,2,0,2,0,0,0,0,0
