Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,1545,5980,11268,0,848,2781,0,0
fonds_commercial,1650000,1650000,1650000,2000000,3200000,1850000,0,0
installations_techniques_materiel_et_outillage_industriels,25533,9149,14796,19123,30401,43352,0,0
autres_immobilisations_corporelles,4078061,4270921,4616776,1019282,1440051,1814054,0,0
immobilisations_en_cours,0,17746,2294,60170,10080,10080,0,0
autres_participations,107244987,107244987,107244987,88244987,88244987,88244987,0,0
autres_immobilisations_financieres,194014,184735,255268,283764,279719,212789,0,0
total_i__immobilisations,113194139,113383518,113795388,91627325,93206085,92178044,0,0
marchandises,20553303,18193829,17180904,15451993,18151925,17627901,0,0
avances_et_acomptes_verses_sur_commandes,106532,69118,178317,12554,8981,30919,0,0
clients_et_comptes_rattaches,6324615,6530744,5539500,6706051,11349372,8677382,0,0
autres_creances,301405,135532,5456578,2047923,2519934,1498395,0,0
disponibilites,3074527,3353916,2781948,1594693,2519636,3067647,0,0
charges_constatees_davance,56102,63770,125851,80145,124070,180119,0,0
total_ii__actif_circulant,30416482,28346909,31263099,25893360,34673918,31082363,0,0
ecarts_de_conversion_actif,0,0,0,0,0,118,0,0
total_general__actif,143610621,141730428,145058487,117520685,127880004,123260524,0,0
capital_social_ou_individuel,16475000,16475000,16475000,13175000,13175000,13175000,0,0
primes_demission_de_fusion_dapport,58275000,58275000,58275000,28575000,28575000,28575000,0,0
reserve_legale,1153241,1030700,1030700,1030700,1030700,1030700,0,0
report_a_nouveau,9600981,7272698,-959176,755266,1634088,4716609,0,0
resultat_de_lexercice_benefice_ou_perte,-53054,2450825,8231873,-1714442,-878822,-3082521,0,0
provisions_reglementees,3901099,3901099,3901099,3901099,3901099,3604182,0,0
total_i__capital_social,89352267,89405322,86954497,45722624,47437065,48018970,0,0
provisions_pour_risques,75000,75528,75000,75000,195000,567118,0,0
provisions_pour_charges,221015,211651,284855,441284,435083,390170,0,0
total_iii__provisions,296015,287179,359855,516284,630083,957288,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,319,6000,3308,3172,3171,9458,0,0
emprunts_et_dettes_financieres_divers,42510348,42583756,45988622,59988622,59988622,57560145,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,1095104,285843,265065,47095,60212,60476,0,0
dettes_fournisseurs_et_comptes_rattaches,8260141,7400852,9999632,9893016,17719319,13442590,0,0
dettes_fiscales_et_sociales,1919568,1379999,1308419,1234169,1835288,2931165,0,0
autres_dettes,176859,381476,150545,115703,206244,118297,0,0
produits_constates_davance,0,0,28545,0,0,162124,0,0
total_iv__dettes,53962339,52037927,57744136,71281778,79812855,74284255,0,0
dettes_diverses,0,0,0,0,0,11,0,0
total_general__passif,143610621,141730428,145058487,117520685,127880004,123260524,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,17744784,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,171,0,0
