Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,22833,27833,32833,37833,0,0,0,0
constructions,0,0,0,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,10119,5188,3251,6212,0,0,0,0
autres_immobilisations_financieres,8683,8683,8683,8200,0,0,0,0
total_i__immobilisations,41636,41704,44767,52245,0,0,0,0
marchandises,2538126,1985792,1473109,1378341,0,0,0,0
clients_et_comptes_rattaches,287000,568741,846678,437900,0,0,0,0
autres_creances,88316,15449,13086,71171,0,0,0,0
disponibilites,198138,173613,246555,389197,0,0,0,0
charges_constatees_davance,5028,4370,4323,3655,0,0,0,0
total_ii__actif_circulant,3116609,2747965,2583750,2280264,0,0,0,0
ecarts_de_conversion_actif,1354,13324,391,3101,0,0,0,0
total_general__actif,3159599,2802993,2628909,2335610,0,0,0,0
capital_social_ou_individuel,22050,22050,22050,22050,0,0,0,0
reserve_legale,2205,2205,2205,2205,0,0,0,0
autres_reserves,1099719,682172,499708,433856,0,0,0,0
report_a_nouveau,879097,879097,879097,879097,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,188448,417547,182464,65852,0,0,0,0
total_i__capital_social,2191518,2003070,1585523,1403060,0,0,0,0
provisions_pour_risques,1354,13324,391,3101,0,0,0,0
total_iii__provisions,1354,13324,391,3101,0,0,0,0
emprunts_et_dettes_financieres_divers,470905,368843,436986,563369,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,450028,257621,418192,276402,0,0,0,0
dettes_fiscales_et_sociales,33243,136438,187816,75188,0,0,0,0
autres_dettes,1200,13324,0,2404,0,0,0,0
total_iv__dettes,955376,776227,1042994,917363,0,0,0,0
dettes_diverses,11350,10372,0,12087,0,0,0,0
total_general__passif,3159599,2802993,2628909,2335610,0,0,0,0
