Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,15000,15001,15000,15000,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,69,274,480,0,0,0,0,0
autres_immobilisations_corporelles,7064,9389,9559,10639,0,0,0,0
autres_participations,15,15,15,15,0,0,0,0
autres_immobilisations_financieres,12570,12570,12570,12570,0,0,0,0
total_i__immobilisations,34718,37248,37624,38224,0,0,0,0
marchandises,477723,504492,515696,555956,0,0,0,0
clients_et_comptes_rattaches,219109,222874,196936,253337,0,0,0,0
autres_creances,12319,4047,6837,6359,0,0,0,0
disponibilites,65224,27508,84917,25998,0,0,0,0
total_ii__actif_circulant,774375,758922,804385,841651,0,0,0,0
total_general__actif,809093,796170,842009,879874,0,0,0,0
parts_a_plus_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,7623,7623,7623,7623,0,0,0,0
reserve_legale,762,762,762,762,0,0,0,0
report_a_nouveau,546505,528775,467209,539040,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,38140,17731,61566,-71831,0,0,0,0
total_i__capital_social,593031,554890,537160,475594,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,23046,35524,48274,179243,0,0,0,0
emprunts_et_dettes_financieres_divers,848,213,527,1500,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,70210,89769,71583,138284,0,0,0,0
dettes_fiscales_et_sociales,110521,101823,179651,80419,0,0,0,0
autres_dettes,11437,13951,4815,4835,0,0,0,0
total_iv__dettes,216062,241280,304850,404280,0,0,0,0
total_general__passif,809093,796170,842009,879874,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,205559,218234,269326,284280,0,0,0,0
frais_detablissement,0,0,0,0,0,0,0,0
avances_et_acomptes,0,0,0,0,0,0,0,0
participations_evaluees__mise_en_equivalence,0,0,0,0,0,0,0,0
matieres_premieres_approvisionnements,0,0,0,0,0,0,0,0
capital_souscrit_et_appele_non_verse,0,0,0,0,0,0,0,0
valeurs_mobilieres_de_placement,0,0,0,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,57221,0,0,0,0
