Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,1102247,1102247,1102247,1102247,0,0,0,0
autres_immobilisations_corporelles,1843196,1592964,1476711,1197691,0,0,0,0
immobilisations_en_cours,25298,27335,251963,0,0,0,0,0
autres_participations,22868,22868,22868,22868,0,0,0,0
autres_immobilisations_financieres,185299,174115,169054,176127,0,0,0,0
total_i__immobilisations,3178910,2919531,3022846,2498935,0,0,0,0
marchandises,6906742,4953461,5771865,6035414,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,0,4117,40937,0,0,0,0
clients_et_comptes_rattaches,5026043,3355366,3929004,2415104,0,0,0,0
autres_creances,96554,84667,205171,269274,0,0,0,0
disponibilites,2955867,2087445,1416430,531336,0,0,0,0
charges_constatees_davance,132628,86778,346933,312046,0,0,0,0
total_ii__actif_circulant,15117837,10567719,11673521,9604114,0,0,0,0
total_general__actif,18296748,13487251,14696367,12103050,0,0,0,0
capital_social_ou_individuel,900000,900000,900000,900000,0,0,0,0
reserve_legale,90000,514101,493293,20000,0,0,0,0
reserves_statutaires_ou_contractuelles,452180,0,0,452180,0,0,0,0
report_a_nouveau,1584035,796485,401234,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,1262395,815629,416053,422352,0,0,0,0
total_i__capital_social,4288610,3026215,2210586,1794532,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,1547,0,0,0,0
emprunts_et_dettes_financieres_divers,5700000,5900000,8275000,8275000,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,7009008,3809597,3398835,1518485,0,0,0,0
dettes_fiscales_et_sociales,1094786,701867,789367,447638,0,0,0,0
autres_dettes,204343,49570,22578,65845,0,0,0,0
total_iv__dettes,14008138,10461035,12485781,10308517,0,0,0,0
total_general__passif,18296748,13487251,14696367,12103050,0,0,0,0
ecarts_de_conversion_actif,0,0,0,0,0,0,0,0
provisions_pour_risques,0,0,0,0,0,0,0,0
total_iii__provisions,0,0,0,0,0,0,0,0
dettes_diverses,0,0,0,0,0,0,0,0
