Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,9690,3660,0,0,0,0,0,0
fonds_commercial,90916,90916,90916,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,2209,2303,474,0,0,0,0,0
autres_immobilisations_corporelles,5461,9658,15127,0,0,0,0,0
autres_immobilisations_financieres,100,100,100,0,0,0,0,0
total_i__immobilisations,108376,106638,106618,0,0,0,0,0
marchandises,209074,215657,206042,0,0,0,0,0
clients_et_comptes_rattaches,88256,108936,101176,0,0,0,0,0
autres_creances,7765,4217,3389,0,0,0,0,0
disponibilites,354369,355626,354230,0,0,0,0,0
charges_constatees_davance,5226,3560,3213,0,0,0,0,0
total_ii__actif_circulant,664691,687995,668050,0,0,0,0,0
total_general__actif,773066,794633,774668,0,0,0,0,0
capital_social_ou_individuel,15000,15000,15000,0,0,0,0,0
reserve_legale,1500,1500,1500,0,0,0,0,0
autres_reserves,614452,594750,545182,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,15808,49702,49568,0,0,0,0,0
total_i__capital_social,646760,660952,611250,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,820,10580,0,0,0,0,0
emprunts_et_dettes_financieres_divers,41320,35320,34570,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,47205,58748,48174,0,0,0,0,0
dettes_fiscales_et_sociales,37669,38794,70095,0,0,0,0,0
total_iv__dettes,126307,133682,163418,0,0,0,0,0
total_general__passif,773066,794633,774668,0,0,0,0,0
autres_dettes,113,0,0,0,0,0,0,0
