Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,450,450,450,450,450,450,0,0
autres_immobilisations_corporelles,792,1494,275,882,1489,882,0,0
autres_immobilisations_financieres,762,762,222,222,222,222,0,0
total_i__immobilisations,59656,2706,947,1553,2160,1553,0,0
marchandises,2042992,2417635,2561182,2611853,2488225,2460541,0,0
clients_et_comptes_rattaches,299268,388297,147018,195276,279131,476837,0,0
autres_creances,107020,70388,14697,4068,39064,98974,0,0
disponibilites,2525009,2099575,1639242,1300911,1721688,1704284,0,0
charges_constatees_davance,5124,24967,6139,6860,4336,7556,0,0
total_ii__actif_circulant,4979414,5000861,4368277,4118967,4532444,4748192,0,0
total_general__actif,5039070,5003567,4369223,4120521,4534604,4749745,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,245025,245025,245025,245025,245025,245025,0,0
primes_demission_de_fusion_dapport,172577,172577,172577,172577,172577,172577,0,0
reserve_legale,24053,24053,24053,24053,24053,24053,0,0
autres_reserves,1151450,704360,586415,586415,586415,586415,0,0
report_a_nouveau,3031851,3031851,3031851,3021931,3047721,2955938,0,0
resultat_de_lexercice_benefice_ou_perte,243657,507089,147946,9919,-25790,101783,0,0
total_i__capital_social,4868612,4684955,4207865,4059920,4050000,4085791,0,0
provisions_pour_risques,23755,0,0,0,0,30000,0,0
total_iii__provisions,23755,0,0,0,0,30000,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,284,0,922,93,520,0,0
emprunts_et_dettes_financieres_divers,8224,9126,9784,9887,377982,424294,0,0
dettes_fournisseurs_et_comptes_rattaches,18471,83656,99586,36243,99488,182759,0,0
dettes_fiscales_et_sociales,23451,130448,51988,10549,6801,26382,0,0
autres_dettes,96557,95099,0,3000,240,0,0,0
total_iv__dettes,146703,318612,161358,60601,484604,633955,0,0
total_general__passif,5039070,5003567,4369223,4120521,4534604,4749745,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,146703,318612,0,0,484604,209661,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,284,0,922,93,0,0,0
emprunts_participatifs,8224,9126,9784,9887,0,0,0,0
ecarts_de_conversion_actif,0,0,0,0,0,0,0,0
autres_immobilisations_incorporelles,47648,0,0,0,0,0,0,0
autres_participations,10005,0,0,0,0,0,0,0
parts_a_plus_dun_an,0,0,0,0,0,0,0,0
