Libellé,2023,2022,2021,2020,2019,2018,2017,2016
frais_detablissement,0,0,0,0,0,0,0,0
concessions_brevets_et_droits_similaires,13374,0,0,0,0,0,0,0
fonds_commercial,150000,150000,150000,150000,0,0,0,0
autres_immobilisations_corporelles,12464,20059,29279,36056,0,0,0,0
participations_evaluees__mise_en_equivalence,0,490,0,0,0,0,0,0
autres_immobilisations_financieres,17840,17605,17018,17004,0,0,0,0
total_i__immobilisations,194168,188154,196788,203060,0,0,0,0
marchandises,479294,484450,465966,394027,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,1549,0,0,0,0,0,0
clients_et_comptes_rattaches,45729,25265,23050,79799,0,0,0,0
autres_creances,175771,161804,153257,98606,0,0,0,0
valeurs_mobilieres_de_placement,60000,60000,60000,60000,0,0,0,0
disponibilites,81109,98720,105146,185989,0,0,0,0
charges_constatees_davance,22381,19239,18629,886,0,0,0,0
total_ii__actif_circulant,864284,851027,826048,819308,0,0,0,0
total_general__actif,1058452,1039181,1022836,1022368,0,0,0,0
capital_social_ou_individuel,10000,10000,10000,10000,0,0,0,0
reserve_legale,1000,1000,1000,1000,0,0,0,0
report_a_nouveau,86220,106321,107187,97147,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,-5841,19899,79134,40039,0,0,0,0
total_i__capital_social,91378,137220,197321,148187,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,34659,35825,90811,144545,0,0,0,0
emprunts_et_dettes_financieres_divers,0,3000,45000,87000,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,22008,35038,23890,12500,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,862352,782325,656555,594677,0,0,0,0
dettes_fiscales_et_sociales,24054,5774,9260,35460,0,0,0,0
autres_dettes,24000,40000,0,0,0,0,0,0
total_iv__dettes,967073,901961,825515,874181,0,0,0,0
total_general__passif,1058452,1039181,1022836,1022368,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,919675,866924,765411,797387,0,0,0,0
autres_participations,490,0,490,0,0,0,0,0
