Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,190000,190000,135490,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,12795,3346,0,0,0,0,0,0
autres_immobilisations_corporelles,1332604,1605654,526769,0,0,0,0,0
autres_immobilisations_financieres,132484,117195,37650,0,0,0,0,0
total_i__immobilisations,1667884,1916195,699909,0,0,0,0,0
marchandises,2103342,2003310,506517,0,0,0,0,0
autres_creances,199959,398968,478834,0,0,0,0,0
disponibilites,617727,962806,536386,0,0,0,0,0
charges_constatees_davance,111925,112522,0,0,0,0,0,0
total_ii__actif_circulant,3032953,3477606,1521737,0,0,0,0,0
total_general__actif,4700837,5393801,2221646,0,0,0,0,0
capital_social_ou_individuel,251000,251000,1000,0,0,0,0,0
reserve_legale,20965,100,0,0,0,0,0,0
report_a_nouveau,401120,4677,0,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,683675,417308,276136,0,0,0,0,0
total_i__capital_social,1356760,673086,277136,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,1413496,2043102,611343,0,0,0,0,0
emprunts_et_dettes_financieres_divers,87667,145694,200000,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,1014666,1928124,784186,0,0,0,0,0
dettes_fiscales_et_sociales,277818,349032,119208,0,0,0,0,0
autres_dettes,150430,202178,229773,0,0,0,0,0
produits_constates_davance,0,52585,0,0,0,0,0,0
total_iv__dettes,3344076,4720716,1944510,0,0,0,0,0
total_general__passif,4700837,5393801,2221646,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,4332917,1718384,0,0,0,0,0
autres_emprunts_obligataires,400000,0,0,0,0,0,0,0
emprunts_participatifs,87667,0,0,0,0,0,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
