Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,51805661,44605289,26776837,20976433,40853664,46685668,0,0
production_vendue_biens,0,0,0,-2941602,-3439973,-5952469,0,0
production_vendue_services,3433826,4550260,3581679,2055437,3153491,1326903,0,0
chiffres_daffaires_nets,55239487,49155549,30358516,20090268,40567183,42060102,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,528,82433,163878,406544,992332,810874,0,0
total_des_produits_dexploitation_i,55240015,49237982,30522790,20496812,41559514,42870976,0,0
achats_de_marchandises_y_compris_droits_de_douane,36961874,30448150,0,8934195,24541006,27417418,0,0
variation_de_stock_marchandises,-2359474,-1012924,19231741,2771696,-525560,-94581,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,198074,131461,-1727121,53983,163957,78351,0,0
autres_achats_et_charges_externes,11635914,9266022,0,4046422,8716848,8727105,0,0
impots_taxes_et_versements_assimiles,316248,375365,6095886,238488,419090,390279,0,0
salaires_et_traitements,4254436,4360364,261956,3024150,4141986,4034141,0,0
charges_sociales,2218561,2067631,3398299,1558282,2169642,2095857,0,0
dot_dexploit__dotations_aux_amortissements,685300,614417,1725892,391842,435906,473046,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,688,15002,0,0,100982,128999,0,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,9364,528,0,6201,149333,61031,0,0
autres_charges,0,0,912,276689,2717,401,0,0
total_des_charges_dexploitation_ii,53920986,46266015,29598909,21301947,40315905,43312046,0,0
_resultat_dexploitation_i__ii,1319030,2971966,923880,-805135,1243609,-441070,0,0
autres_interets_et_produits_assimiles,1747,0,0,7066,118,23489,0,0
differences_positives_de_change,1269,3565,0,649,1303,990,0,0
total_des_produits_financiers_v,3016,1454,9731,7715,30625,24478,0,0
dotations_financieres_sur_amortissements_et_provisions,0,0,0,0,0,118,0,0
interets_et_charges_assimilees,1428595,0,0,701770,786860,879504,0,0
differences_negatives_de_change,3058,0,0,966,3687,931,0,0
total_des_charges_financieres_vi,1431652,425227,607717,702736,790547,880553,0,0
_resultat_financier_v__vi,-1428637,-423773,-597986,-695021,-759922,-856074,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,-109607,2548193,325894,-1500156,483688,-1297145,0,0
produits_exceptionnels_sur_operations_de_gestion,103289,23296,8382176,1227656,1272,18849,0,0
total_des_produits_exceptionnels_vii,103289,1873296,8382176,1227656,1272,18849,0,0
charges_exceptionnelles_sur_operations_de_gestion,46736,30664,9065,1352,138387,16265,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,350000,1200000,596917,0,0,0
total_des_charges_exceptionnelles_viii,46736,1880664,359065,1321942,735304,796484,0,0
_resultat_exceptionnel_vii__viii,56553,-7368,8023112,-94286,-734032,-777636,0,0
impots_sur_les_benefices,0,90000,117133,120000,628477,1007741,0,0
total_des_produits_i__iii__v__vii,55346320,51112731,38914698,21732183,41591412,42914304,0,0
total_des_charges_ii__iv__vi__viii__ix__x,55399374,48661906,30682824,23446625,42470234,45996825,0,0
benefice_ou_perte_total_des_produits__total_des_charges,-53054,2450825,8231873,-1714443,-878822,-3082521,0,0
autres_produits,0,0,395,0,0,0,0,0
reprises_sur_provisions_et_transferts_de_charges,0,1850000,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_en_capital,0,1850000,0,120591,0,0,0,0
variation_de_stock_matieres_premieres_et_approvisionnements,0,0,84343,0,0,0,0,0
dot_dexploit__dotations_aux_provisions,0,0,527001,0,0,0,0,0
