Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,12221614,12713982,7007300,10752094,0,0,0,0
production_vendue_services,950341,602016,1175224,1061012,0,0,0,0
chiffres_daffaires_nets,13171955,13315997,8182524,11813106,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,164148,511404,93534,579674,0,0,0,0
autres_produits,4,6337,14,36,0,0,0,0
total_des_produits_dexploitation_i,13336108,13833739,8443641,12392817,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,-10281396,9168672,7535429,7124255,0,0,0,0
variation_de_stock_marchandises,2030823,-291638,-1553424,1324446,0,0,0,0
autres_achats_et_charges_externes,-2786005,2505458,1466755,2148148,0,0,0,0
impots_taxes_et_versements_assimiles,-68448,53958,37321,67684,0,0,0,0
salaires_et_traitements,-1565513,1294699,753327,1042193,0,0,0,0
charges_sociales,-719516,593840,289232,292989,0,0,0,0
dot_dexploit__dotations_aux_amortissements,-89880,51141,24689,31191,0,0,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,-209292,124479,16513,11105,0,0,0,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,-24575,10000,236196,30904,0,0,0,0
autres_charges,-2928,5431,7040,1801,0,0,0,0
total_des_charges_dexploitation_ii,-13716732,13516041,8813078,12074720,0,0,0,0
_resultat_dexploitation_i__ii,-380624,317697,-369436,318096,0,0,0,0
autres_interets_et_produits_assimiles,1259,776,160,240,0,0,0,0
differences_positives_de_change,28950,0,16572,0,0,0,0,0
total_des_produits_financiers_v,30210,776,16732,240,0,0,0,0
interets_et_charges_assimilees,-102223,29952,8174,11706,0,0,0,0
total_des_charges_financieres_vi,-102223,29952,8174,11706,0,0,0,0
_resultat_financier_v__vi,-72014,-29176,8558,-11466,0,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,-452638,288521,-360878,306630,0,0,0,0
produits_exceptionnels_sur_operations_de_gestion,223425,498,0,2000,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,19571,0,0,0,0,0,0,0
total_des_produits_exceptionnels_vii,242997,498,0,2000,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,-642246,0,0,112541,0,0,0,0
charges_exceptionnelles_sur_operations_en_capital,-19302,350,0,0,0,0,0,0
total_des_charges_exceptionnelles_viii,-661548,350,0,112541,0,0,0,0
_resultat_exceptionnel_vii__viii,-418551,147,0,-110540,0,0,0,0
total_des_produits_i__iii__v__vii,13609317,13835012,8460374,12395058,0,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,-14480506,13546344,8821252,12198967,0,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,-871189,288668,-360878,196090,0,0,0,0
differences_negatives_de_change,0,0,0,0,0,0,0,0
impots_sur_les_benefices,0,0,0,0,0,0,0,0
subventions_dexploitation,0,0,167570,0,0,0,0,0
