Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,14666689,16184807,14722883,12995402,0,15473309,0,0
production_vendue_biens,-1607,-28393,0,0,0,0,0,0
production_vendue_services,931317,939151,918157,837880,0,991487,0,0
chiffres_daffaires_nets,15596399,17095566,15641040,13833282,0,16464796,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,1263318,1270783,1204501,1072274,0,1354490,0,0
autres_produits,255856,264357,264441,250449,0,269609,0,0
total_des_produits_dexploitation_i,17115572,18630706,17109982,15156004,0,18088895,0,0
achats_de_marchandises_y_compris_droits_de_douane,6352248,8007577,7095832,6242434,0,6986154,0,0
variation_de_stock_marchandises,433735,-304139,-574896,158284,0,504481,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,292601,309225,278100,304381,0,310605,0,0
autres_achats_et_charges_externes,3195556,3334071,3024921,2936372,0,3417234,0,0
impots_taxes_et_versements_assimiles,115902,88621,186638,134670,0,182243,0,0
salaires_et_traitements,2259722,2226800,2144115,2029017,0,2142312,0,0
charges_sociales,796786,841484,812736,752539,0,839695,0,0
dot_dexploit__dotations_aux_amortissements,136800,127654,142609,133153,0,179038,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,1001374,926573,968981,802895,0,827451,0,0
autres_charges,10009,2480,10489,8079,0,21080,0,0
total_des_charges_dexploitation_ii,14594732,15560347,14089523,13501823,0,15410293,0,0
_resultat_dexploitation_i__ii,2520840,3070360,3020459,1654181,0,2678603,0,0
produits_financiers_de_participations,134498,76763,50472,51263,0,24476,0,0
autres_interets_et_produits_assimiles,6741,7969,8203,10600,0,16450,0,0
total_des_produits_financiers_v,141239,84732,58675,61863,0,40926,0,0
interets_et_charges_assimilees,26605,28817,28809,21926,0,30895,0,0
total_des_charges_financieres_vi,26605,28817,28809,21926,0,30895,0,0
_resultat_financier_v__vi,114633,55915,29866,39936,0,10031,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,2635473,3126275,3050325,1694118,0,2688634,0,0
produits_exceptionnels_sur_operations_de_gestion,5985,3033,4225,1855,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,51478,9230,3616,9219,0,0,0,0
total_des_produits_exceptionnels_vii,57462,12263,7841,11074,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,336,160,747,90,0,0,0,0
charges_exceptionnelles_sur_operations_en_capital,12762,1894,3616,1719,0,0,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,194,0,0,0,0,0,0
total_des_charges_exceptionnelles_viii,13099,2248,4362,1809,0,0,0,0
_resultat_exceptionnel_vii__viii,44364,10015,3476,9265,0,0,0,0
impots_sur_les_benefices,611360,786022,799496,457552,0,811801,0,0
total_des_produits_i__iii__v__vii,17314273,18727701,17176499,15228941,0,18129821,0,0
total_des_charges_ii__iv__vi__viii__ix__x,15245798,16377433,14922191,13983111,0,16252989,0,0
benefice_ou_perte_total_des_produits__total_des_charges,2068477,2350268,2254308,1245831,0,1876833,0,0
