Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,528080,478250,359115,330010,335084,284860,0,0
production_vendue_services,8214,8883,17654,28221,64852,1709,0,0
chiffres_daffaires_nets,536294,487133,376768,358231,399936,286569,0,0
subventions_dexploitation,0,5792,3849,0,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,10908,11913,25882,18152,63695,0,0
autres_produits,301,3,2,8784,4399,503,0,0
total_des_produits_dexploitation_i,536595,503835,392533,392897,422486,350767,0,0
achats_de_marchandises_y_compris_droits_de_douane,258654,250409,111710,79224,115672,168797,0,0
variation_de_stock_marchandises,-98094,-64471,18940,45871,15064,-23564,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,15991,2287,660,1686,21345,9079,0,0
autres_achats_et_charges_externes,247956,274588,153842,164117,202699,117033,0,0
impots_taxes_et_versements_assimiles,2266,1169,3912,3837,957,749,0,0
salaires_et_traitements,91043,63133,62780,70635,14756,0,0,0
charges_sociales,18265,20733,9725,24493,5659,0,0,0
dot_dexploit__dotations_aux_amortissements,1951,564,1015,620,2598,10354,0,0
autres_charges,1646,67,1,2,11143,30387,0,0
total_des_charges_dexploitation_ii,539679,548480,362587,390486,389893,326744,0,0
_resultat_dexploitation_i__ii,-3084,-44643,29946,2411,32593,24023,0,0
interets_et_charges_assimilees,2064,2440,2923,3438,6791,8893,0,0
total_des_charges_financieres_vi,2064,2440,2923,3453,6791,8893,0,0
_resultat_financier_v__vi,-2064,-2440,-2923,-3451,-6791,-8893,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,-5148,-47083,27023,-1040,25802,15129,0,0
produits_exceptionnels_sur_operations_de_gestion,1067,1581,232,1727,241,1,0,0
reprises_sur_provisions_et_transferts_de_charges,0,91000,0,0,0,0,0,0
total_des_produits_exceptionnels_vii,1067,92581,232,1727,241,1,0,0
charges_exceptionnelles_sur_operations_de_gestion,6039,42866,70,-3340,3829,416,0,0
total_des_charges_exceptionnelles_viii,6039,42866,70,-3340,3829,416,0,0
_resultat_exceptionnel_vii__viii,-4973,49715,162,5067,-3589,-415,0,0
total_des_produits_i__iii__v__vii,537661,596417,392765,394626,422727,350768,0,0
total_des_charges_ii__iv__vi__viii__ix__x,547782,593785,365579,390599,400513,336053,0,0
benefice_ou_perte_total_des_produits__total_des_charges,-10121,2631,27185,4027,22214,14715,0,0
autres_interets_et_produits_assimiles,0,0,0,2,0,0,0,0
total_des_produits_financiers_v,0,0,0,2,0,0,0,0
differences_negatives_de_change,0,0,0,15,0,0,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,13908,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,0,0,0,0,0,0
