Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,1527845,1210187,1040493,1046808,1118539,1145317,0,0
production_vendue_services,93101,50633,25071,19091,24716,22106,0,0
chiffres_daffaires_nets,1620946,1260820,1065564,1065900,1143254,1167422,0,0
subventions_dexploitation,0,0,20400,0,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,1609,7186,24728,11904,0,0,0,0
autres_produits,47,22,860,1234,3,0,0,0
total_des_produits_dexploitation_i,1622604,1268028,1111553,1079037,1143257,1167423,0,0
achats_de_marchandises_y_compris_droits_de_douane,796173,762884,471312,486542,550188,631628,0,0
variation_de_stock_marchandises,-164759,-220282,20969,-24594,-15687,-97055,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,18048,14621,15757,13847,6659,4697,0,0
autres_achats_et_charges_externes,258979,191053,125460,123865,147487,157262,0,0
impots_taxes_et_versements_assimiles,6370,7261,7803,6436,6933,7629,0,0
salaires_et_traitements,325938,284584,264681,246792,246359,209687,0,0
charges_sociales,105150,101660,75145,77119,77008,64549,0,0
dot_dexploit__dotations_aux_amortissements,45878,16129,12839,14145,15440,24393,0,0
autres_charges,11,121,35,155,12,67,0,0
total_des_charges_dexploitation_ii,1391794,1158029,994001,944307,1034399,1002858,0,0
_resultat_dexploitation_i__ii,230809,109999,117552,134730,108858,164565,0,0
autres_interets_et_produits_assimiles,9574,13,4,7,1062,10,0,0
total_des_produits_financiers_v,9574,13,4,7,1062,10,0,0
interets_et_charges_assimilees,2033,0,0,40,310,722,0,0
total_des_charges_financieres_vi,2033,0,0,40,310,722,0,0
_resultat_financier_v__vi,7540,13,4,-33,752,-712,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,238350,110012,117556,134697,109610,163853,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,3000,0,10900,0,0,0
total_des_charges_exceptionnelles_viii,5063,13291,3000,0,13009,0,0,0
_resultat_exceptionnel_vii__viii,-5063,609,-3000,0,-13009,0,0,0
impots_sur_les_benefices,58835,24930,21408,32760,21056,43397,0,0
total_des_produits_i__iii__v__vii,1632178,1281941,1111557,1079044,1144320,1167433,0,0
total_des_charges_ii__iv__vi__viii__ix__x,1457726,1196250,1018409,977107,1068774,1046977,0,0
benefice_ou_perte_total_des_produits__total_des_charges,174452,85691,93148,101937,75545,120456,0,0
reprises_sur_provisions_et_transferts_de_charges,0,13900,0,0,0,0,0,0
total_des_produits_exceptionnels_vii,0,13900,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,5063,13291,0,0,609,0,0,0
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,1500,0,0,0
