Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,19487257,20458796,19129280,15753014,15650737,0,0,11754766
production_vendue_biens,-545378,-881268,-959209,-728811,-469016,0,0,-413855
production_vendue_services,444472,273095,254915,190630,175882,0,0,200150
chiffres_daffaires_nets,19386350,19850624,18424986,15214833,15357603,0,0,11541061
subventions_dexploitation,14280,98560,8423,7486,2500,0,0,1328
reprises_sur_amortissements_et_provisions_transfert_de_charges,123130,0,61741,219015,110350,0,0,263834
autres_produits,-2139,264,192,3573,69114,0,0,195
total_des_produits_dexploitation_i,19521621,19949448,18495341,15444907,15539567,0,0,11806418
achats_de_marchandises_y_compris_droits_de_douane,14467627,17957896,14853827,13296738,12301255,0,0,10469200
variation_de_stock_marchandises,1695795,-1021985,-65579,-377646,557261,0,0,-231516
achats_de_matieres_premieres_et_autres_approvisionnements,0,378,5390,19744,7926,0,0,20233
autres_achats_et_charges_externes,1890876,1776411,1491172,1013912,818226,0,0,685461
impots_taxes_et_versements_assimiles,18488,26416,51805,56121,48529,0,0,56075
salaires_et_traitements,1007466,996227,830646,768308,804031,0,0,691765
charges_sociales,427673,422053,346506,333531,340388,0,0,305012
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,85283,53119,70011,61741,110950,0,0,161461
autres_charges,1713,67,24,706,19913,0,0,65
total_des_charges_dexploitation_ii,19803694,20473808,17591542,15173152,15008481,0,0,12157765
_resultat_dexploitation_i__ii,-282073,-524359,903799,271755,531086,0,0,-351337
produits_des_autres_valeurs_mobilieres_et_creances_de_lactif_immobilise,5325,5600,3480,4930,3919,0,0,0
autres_interets_et_produits_assimiles,0,0,0,2206,35,0,0,205
total_des_produits_financiers_v,5325,5600,3480,7136,3954,0,0,122705
dotations_financieres_sur_amortissements_et_provisions,6531,6974,28463,12644,100000,0,0,0
interets_et_charges_assimilees,192931,222770,142980,120789,61976,0,0,43298
total_des_charges_financieres_vi,199462,229745,171443,133433,161976,0,0,43298
_resultat_financier_v__vi,-194137,-224145,-167963,-126296,-158021,0,0,79407
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,-476210,-748505,735836,145459,373065,0,0,-271930
dotations_exceptionnelles_aux_amortissements_et_provisions,0,5535,8017,8833,8833,0,0,2675
total_des_charges_exceptionnelles_viii,0,5535,13760,8833,8833,0,0,12675
_resultat_exceptionnel_vii__viii,0,-5535,-13760,-8833,-8833,0,0,2210
total_des_produits_i__iii__v__vii,19526946,19955048,18498822,15452043,15543521,0,0,11944008
total_des_charges_ii__iv__vi__viii__ix__x,20003156,20709088,17831310,15315418,15179290,0,0,12211231
benefice_ou_perte_total_des_produits__total_des_charges,-476210,-754040,667512,136625,364231,0,0,-267223
dot_dexploit__dotations_aux_amortissements,118773,103224,7741,0,0,0,0,0
dot_dexploit__dotations_aux_provisions,90000,160000,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,5743,0,0,0,0,0
impots_sur_les_benefices,0,0,54565,0,0,0,0,-2497
reprises_sur_provisions_et_transferts_de_charges,0,0,0,0,0,0,0,122500
differences_positives_de_change,0,0,0,0,0,0,0,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,0,0,14885
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,14885
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,0,0,0,10000
