Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,1207613,869218,918035,766049,0,562353,0,0
chiffres_daffaires_nets,1207613,869218,918035,766049,0,562353,0,0
subventions_dexploitation,1333,3999,0,0,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,315,12176,84783,15123,0,0,0,0
total_des_produits_dexploitation_i,1209261,885394,1002819,781177,0,562391,0,0
achats_de_marchandises_y_compris_droits_de_douane,905137,833963,562004,648871,0,449893,0,0
variation_de_stock_marchandises,74708,-42040,58743,-50663,0,-22583,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,7725,9513,6580,11090,0,17088,0,0
autres_achats_et_charges_externes,91362,84161,75426,69448,0,54061,0,0
impots_taxes_et_versements_assimiles,5689,5188,4911,4350,0,3052,0,0
salaires_et_traitements,63654,61094,98986,57125,0,47691,0,0
charges_sociales,2268,-305,1603,519,0,986,0,0
dot_dexploit__dotations_aux_amortissements,2461,1166,1338,10268,0,12006,0,0
total_des_charges_dexploitation_ii,1153006,952741,812714,753410,0,562215,0,0
_resultat_dexploitation_i__ii,56254,-67346,190104,27766,0,176,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,56254,-67346,190094,27480,0,-1531,0,0
produits_exceptionnels_sur_operations_de_gestion,2040,257,426,0,0,250,0,0
total_des_produits_exceptionnels_vii,2040,257,426,0,0,250,0,0
charges_exceptionnelles_sur_operations_de_gestion,1574,417,215,629,0,2192,0,0
total_des_charges_exceptionnelles_viii,1574,417,215,629,0,2192,0,0
_resultat_exceptionnel_vii__viii,466,-159,211,-629,0,-1942,0,0
impots_sur_les_benefices,614,0,36713,7767,0,16,0,0
total_des_produits_i__iii__v__vii,1211302,885652,1003246,781177,0,562641,0,0
total_des_charges_ii__iv__vi__viii__ix__x,1155194,953158,849653,762092,0,566130,0,0
benefice_ou_perte_total_des_produits__total_des_charges,56107,-67506,153592,19084,0,-3489,0,0
autres_produits,0,0,0,3,0,38,0,0
autres_charges,0,0,3120,2400,0,19,0,0
interets_et_charges_assimilees,0,0,9,286,0,1707,0,0
total_des_charges_financieres_vi,0,0,9,286,0,1707,0,0
_resultat_financier_v__vi,0,0,-9,-286,0,-1707,0,0
