Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_biens,15288443,13346673,10759244,5757890,8745270,0,0,0
production_vendue_services,160584,-1486530,-155158,415416,2203438,0,2551429,0
chiffres_daffaires_nets,15449027,11860143,10604086,6173306,10948708,0,2551429,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,1147842,2575375,374992,627197,1733690,0,0,0
autres_produits,-1707788,229529,123614,38366,33,0,0,0
total_des_produits_dexploitation_i,14889081,14665047,11102692,6838869,12682430,0,2551429,0
achats_de_matieres_premieres_et_autres_approvisionnements,8033730,8282020,5203866,3650738,4328936,0,0,0
variation_de_stock_matieres_premieres_et_approvisionnements,-1243042,-2933657,414870,-885965,-236271,0,0,0
autres_achats_et_charges_externes,5780824,5898084,5480569,5541556,6190794,0,710853,0
impots_taxes_et_versements_assimiles,145928,82225,91840,137619,89730,0,28711,0
salaires_et_traitements,3094088,2839292,2762316,3792520,3266553,0,1195047,0
charges_sociales,1412110,1298492,1297304,1430122,1269958,0,429648,0
dot_dexploit__dotations_aux_amortissements,645167,655736,669164,714888,373818,0,47154,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,1139023,931416,1132815,5295167,654706,0,0,0
autres_charges,435646,460527,61481,23072,58937,0,0,0
total_des_charges_dexploitation_ii,19443473,17677135,17114223,19699716,15997161,0,2411433,0
_resultat_dexploitation_i__ii,-4554392,-3012088,-6011531,-12860847,-3314731,0,139995,0
produits_des_autres_valeurs_mobilieres_et_creances_de_lactif_immobilise,9210,10068,7560,8407,2245,0,0,0
reprises_sur_provisions_et_transferts_de_charges,403992,1053212,820702,1502262,776593,0,0,0
differences_positives_de_change,62688,145150,1039,50594,5300,0,0,0
total_des_produits_financiers_v,311394,331703,410493,59001,7545,0,0,0
dotations_financieres_sur_amortissements_et_provisions,415776,2589785,167739,1145614,0,0,0,0
interets_et_charges_assimilees,576771,137636,23806,75771,163782,0,524,0
differences_negatives_de_change,237729,349641,17422,70220,49489,0,0,0
total_des_charges_financieres_vi,1230275,3077061,208967,1291605,213271,0,524,0
_resultat_financier_v__vi,-918881,-2745358,201526,-1232603,-205726,0,-524,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,-5473273,-5757446,-5810005,-14093451,-3520457,0,139472,0
produits_exceptionnels_sur_operations_de_gestion,49371,403584,180720,403541,205884,0,8698,0
total_des_produits_exceptionnels_vii,213867,1280311,599527,1905803,982731,0,9098,0
charges_exceptionnelles_sur_operations_de_gestion,253976,3270845,750811,1974447,1054669,0,3227,0
charges_exceptionnelles_sur_operations_en_capital,0,14025,0,29348,3824,0,2061,0
total_des_charges_exceptionnelles_viii,253976,3284870,750811,2003795,1058493,0,5287,0
_resultat_exceptionnel_vii__viii,-40110,-2004559,-151285,-97992,-75761,0,3810,0
impots_sur_les_benefices,0,38373,-18000,0,0,0,39851,0
total_des_produits_i__iii__v__vii,15414342,16277061,12112712,8803673,13672708,0,2560526,0
total_des_charges_ii__iv__vi__viii__ix__x,20927724,24077438,18056002,22995116,17268925,0,2457095,0
benefice_ou_perte_total_des_produits__total_des_charges,-5513382,-7800377,-5943290,-14191442,-3596218,0,103431,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,163000,0,0,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,254,0,400,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,20,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,0,0,0,0,0,0
