Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,16354008,12274159,6428870,0,0,0,0,0
production_vendue_services,2937664,3013829,2617307,0,0,0,0,0
chiffres_daffaires_nets,19291672,15287989,9046178,0,0,0,0,0
subventions_dexploitation,0,0,2978,0,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,260959,1626,0,0,0,0,0,0
autres_produits,1,1173,53,0,0,0,0,0
total_des_produits_dexploitation_i,19552631,15290788,9049208,0,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,8233816,6779622,6240578,0,0,0,0,0
variation_de_stock_marchandises,-790022,-1338556,-3375839,0,0,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,2178,16155,0,0,0,0,0
autres_achats_et_charges_externes,7412515,5924400,4713209,0,0,0,0,0
impots_taxes_et_versements_assimiles,67839,42510,46389,0,0,0,0,0
salaires_et_traitements,1344116,955479,639448,0,0,0,0,0
charges_sociales,502737,398059,425361,0,0,0,0,0
dot_dexploit__dotations_aux_amortissements,637202,593545,457226,0,0,0,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,518,388013,0,0,0,0,0,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,29000,42000,25000,0,0,0,0,0
autres_charges,190,255,205,0,0,0,0,0
total_des_charges_dexploitation_ii,17437911,13787505,9187732,0,0,0,0,0
_resultat_dexploitation_i__ii,2114721,1503282,-138524,0,0,0,0,0
produits_financiers_de_participations,0,1,1,0,0,0,0,0
autres_interets_et_produits_assimiles,10,667,0,0,0,0,0,0
differences_positives_de_change,13944,5727,2287,0,0,0,0,0
total_des_produits_financiers_v,13954,6294,2288,0,0,0,0,0
interets_et_charges_assimilees,216465,26161,65868,0,0,0,0,0
differences_negatives_de_change,27428,10541,2393,0,0,0,0,0
total_des_charges_financieres_vi,243893,36702,68261,0,0,0,0,0
_resultat_financier_v__vi,-229939,-30409,-65973,0,0,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,1884782,1472874,-204497,0,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,65956,1875,2538,0,0,0,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,24036,0,0,0,0,0,0
total_des_charges_exceptionnelles_viii,65956,25911,2538,0,0,0,0,0
_resultat_exceptionnel_vii__viii,-65956,-25911,-2538,0,0,0,0,0
impots_sur_les_benefices,421829,558011,90743,0,0,0,0,0
total_des_produits_i__iii__v__vii,19566586,15297081,9051496,0,0,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,18169589,14408130,9349274,0,0,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,1396997,888952,-297778,0,0,0,0,0
