,Revenue,Net_Income,Assets,Equity,Stocks/Revenue_%,Debt/EBITDA,Profit/Assets_%,Gross_Margin_%,EBITDA_Margin_%,Operating_Margin_%,Net_Margin_%,Market_Share_%
542073366_ROLEX FRANCE,"289,967,900","11,673,515","132,391,970","52,343,885",0.7874,51,0.0882,-0.8826,0.0051,0.0,0.0403,0.5003
304348691_LE PETIT FILS DE LU CHOPARD FRANCE,"55,239,487","-53,054","143,610,621","89,352,267",0.88,79,-0.0004,-0.8306,0.0124,0.0,-0.001,0.0953
422727834_BREITLING FRANCE,"46,230,353","1,262,395","18,296,748","4,288,610",0.8892,23,0.069,-0.8631,0.0131,0.0,0.0273,0.07980000000000001
393188933_FESTINA FRANCE,"27,542,678","709,802","11,230,546","5,868,820",0.7186,111,0.0632,-0.8664000000000001,0.0017000000000000001,0.0,0.0258,0.0475
329935639_SMB,"25,421,873","1,508,048","20,327,504","14,213,334",0.7172,10,0.0742,-0.6453,0.023799999999999998,0.0,0.0593,0.043899999999999995
479048548_SYNINVEST,"19,386,350","-476,210","9,842,133","496,684",0.8842,79,-0.0484,-0.9213,0.0060999999999999995,0.0,-0.0246,0.0334
881518146_GRAND SEIKO EUROPE S.A.S.,"19,291,672","1,396,997","24,610,266","4,901,226",0.6893,31,0.056799999999999996,-0.7601,0.033,0.0,0.0724,0.0333
572206977_ETABLISSEMENTS LAVAL,"17,511,043","1,297,253","14,678,237","8,724,788",0.8633,42,0.08839999999999999,-0.7073,0.0077,0.0,0.0741,0.0302
421217241_THABORA,"15,596,399","2,068,477","10,993,966","8,129,647",0.8879,21,0.1881,-0.6487999999999999,0.0088,0.0,0.1326,0.0269
814261475_REPOSSI,"15,449,027","-5,513,382","61,393,148","30,027,269",0.5694,48,-0.0898,-0.8842,0.0418,0.0,-0.3569,0.026699999999999998
419395595_TIMEWAY FRANCE,"13,171,955","-871,189","8,646,605","692,418",0.7829,-86,-0.1008,0.8479000000000001,-0.0068000000000000005,0.0,-0.0661,0.0227
325720332_ROCHET Group,"9,275,902","706,446","7,322,942","4,258,056",0.8054000000000001,16,0.0965,-0.6192,0.020499999999999997,0.0,0.0762,0.016
452016595_MISTER WATCH,"9,096,354","343,531","3,085,937","1,504,647",0.8452,319,0.11130000000000001,-0.7781,0.0005,0.0,0.0378,0.015700000000000002
400595625_SAMUEL H,"5,620,061","343,402","6,722,467","4,020,471",0.6537999999999999,221,0.051100000000000007,-0.8751000000000001,0.0022,0.0,0.0611,0.0097
517745501_SOWIND FRANCE,"2,637,792","70,205","4,058,995","3,044,886",0.0405,63,0.0173,-0.7306,0.0060999999999999995,0.0,0.026600000000000002,0.0046
435070727_SAM.AREFINIA ORLANDO,"1,620,946","174,452","2,659,595","1,831,097",0.9665,18,0.06559999999999999,-0.5504,0.028300000000000002,0.0,0.1076,0.0028000000000000004
572139442_LEFILLEUL LACROIX ISSERLIS,"1,492,104","-129,093","764,595","297,590",0.8245999999999999,453,-0.16879999999999998,-0.9599,0.0007000000000000001,0.0,-0.08650000000000001,0.0026
410789812_GAINERIE ELYSEE,"1,213,356","38,140","809,093","593,031",0.8093,85,0.0471,-0.7313,0.0021,0.0,0.031400000000000004,0.0021
538858150_ATHAN'OR,"1,207,613","56,107","293,895","242,790",0.9921,21,0.1909,-0.8834000000000001,0.002,0.0,0.04650000000000001,0.0021
790299978_GLAM CHIC,"1,118,903","27,333",nan,nan,0.0,nan,0.0,-0.8327,0.0022,0.0,0.024399999999999998,0.0019
849526736_COMPTOIR NICOIS D'HORLOGERIE ET DE BIJOUTERIE,"999,257","106,466","1,000,163","541,554",0.8848,75,0.10640000000000001,-0.6697,0.0062,0.0,0.1065,0.0017000000000000001
434898904_C E C E D,"536,294","-10,121","609,395","-23,151",0.8427,324,-0.0166,-0.7816,0.0036,0.0,-0.0189,0.0009
505123364_TOSOLINI & CO,0,nan,"1,119,847","866,707",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
829218031_ARISTOCRAZY FRANCE,0,nan,"1,731,704","819,718",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
572070688_TEMPLIER,0,nan,"5,039,070","4,868,612",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
027180207_MOINEAU,0,nan,"5,827,813","3,983,973",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
883223661_BDS,0,nan,"4,700,837","1,356,760",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
513977363_IMPORT 34,0,nan,"897,168","429,797",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
817646615_CAMILLE AMBIANCE NATURE,0,nan,"3,730,255","1,218,272",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
842610297_Break Next,0,nan,"510,223","276,758",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
326697273_MAISON J.PORCHET SA,0,nan,"4,503,494","4,021,531",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
789054665_AMETSA,0,nan,0,0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
434810891_ALMAX SARL,0,nan,"773,066","646,760",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
399027804_FACET DIAMANT,0,nan,"3,159,599","2,191,518",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
813246675_FTT,0,nan,"1,058,452","91,378",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
827910423_ELLA,0,nan,"1,063,193","461,085",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
330395997_DIAMPREST,0,nan,"3,188,677","1,219,280",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
839405230_TISM,0,nan,0,0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
530049394_ATIWELL,0,nan,"1,767,254","202,564",0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,"579,627,319","14,729,520","522,419,473","258,004,632",16.3343,"2,005",0.8893,-15.573799999999999,0.2211,0.0,0.39590000000000003,1.0001000000000002
