SIREN,Name,revenue_2019,market_share_2019,revenue_2020,market_share_2020,revenue_2021,market_share_2021,revenue_2022,market_share_2022,revenue_2023,market_share_2023
542073366,ROLEX FRANCE,230417017,22.45,175594405,17.21,221312237,17.11,253438753,14.32,289967900,41.77
304348691,LE PETIT FILS DE LU CHOPARD FRANCE,40567183,3.95,20090268,1.97,30358516,2.35,49155549,2.78,55239487,7.96
420950024,DINH VAN,35907564,3.5,0,0.0,0,0.0,51524646,2.91,50008261,7.2
422727834,BREITLING FRANCE,0,0.0,16596991,1.63,17308807,1.34,23150120,1.31,46230353,6.66
351524921,LVMH MONTRES & JOAILLERIE FRANCE,18552145,1.81,17964898,1.76,21526939,1.66,0,0.0,27858390,4.01
393188933,FESTINA FRANCE,22109562,2.15,17916292,1.76,22849006,1.77,24558043,1.39,27542678,3.97
329935639,SMB,22979738,2.24,18053539,1.77,23697675,1.83,24339523,1.38,25421873,3.66
849239017,WATCHFINDER FRANCE,0,0.0,5045766,0.49,9848081,0.76,0,0.0,21470775,3.09
479048548,SYNINVEST,15357603,1.5,15214833,1.49,18424986,1.42,19850624,1.12,19386350,2.79
881518146,GRAND SEIKO EUROPE S.A.S.,0,0.0,0,0.0,9046178,0.7,15287989,0.86,19291672,2.78
572206977,ETABLISSEMENTS LAVAL,12456218,1.21,12839614,1.26,12336903,0.95,15359439,0.87,17511043,2.52
421217241,THABORA,0,0.0,13833282,1.36,15641040,1.21,17095566,0.97,15596399,2.25
814261475,REPOSSI,10948708,1.07,6173306,0.6,10604086,0.82,11860143,0.67,15449027,2.23
419395595,TIMEWAY FRANCE,0,0.0,11813106,1.16,8182524,0.63,13315997,0.75,13171955,1.9
325720332,ROCHET Group,7405123,0.72,5934660,0.58,7534794,0.58,8533702,0.48,9275902,1.34
452016595,MISTER WATCH,0,0.0,13429531,1.32,7649494,0.59,10990638,0.62,9096354,1.31
403801590,GONDRAN,0,0.0,3993630,0.39,0,0.0,6082742,0.34,5923851,0.85
400595625,SAMUEL H,5672412,0.55,5826218,0.57,6485697,0.5,6665684,0.38,5620061,0.81
517745501,SOWIND FRANCE,0,0.0,1026468,0.1,2054101,0.16,3187194,0.18,2637792,0.38
572070688,TEMPLIER,1325258,0.13,1264126,0.12,1214560,0.09,0,0.0,2176052,0.31
829218031,ARISTOCRAZY FRANCE,475575,0.05,0,0.0,714410,0.06,974562,0.06,1682743,0.24
435070727,SAM.AREFINIA ORLANDO,1143254,0.11,1065900,0.1,1065564,0.08,1260820,0.07,1620946,0.23
572139442,LEFILLEUL LACROIX ISSERLIS,1093095,0.11,1161135,0.11,1122088,0.09,1133545,0.06,1492104,0.21
507940427,OPALOOK FRANCE,759431,0.07,909003,0.09,1261416,0.1,0,0.0,1372885,0.2
387546898,J.L. BASIA,717718,0.07,0,0.0,1026922,0.08,0,0.0,1233818,0.18
538858150,ATHAN'OR,0,0.0,766049,0.08,918035,0.07,869218,0.05,1207613,0.17
410789812,GAINERIE ELYSEE,0,0.0,930103,0.09,1133739,0.09,1215443,0.07,1213356,0.17
790299978,GLAM CHIC,455319,0.04,258895,0.03,525081,0.04,786885,0.04,1118903,0.16
849526736,COMPTOIR NICOIS D'HORLOGERIE ET DE BIJOUTERIE,0,0.0,939004,0.09,923815,0.07,1054508,0.06,999257,0.14
505398883,BE ON TIME,633046,0.06,497683,0.05,745062,0.06,0,0.0,680133,0.1
