Account,2023,2022,2021,2020,2019,2018,2017,2016
autres_creances,14075219,14059595,18300266,19389528,16434791,6584257,322995,2690103
autres_dettes,10668217,16050815,17509901,13036016,19707088,2544212,1097122,698260
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_emprunts_obligataires,400000,0,0,0,0,0,35287,0
autres_immobilisations_corporelles,17665524,17703569,17226980,9494035,8641340,6990262,282371,49210
autres_immobilisations_financieres,1457540,1258459,1239125,910023,500962,370458,77872,0
autres_immobilisations_incorporelles,125508,107898,159183,11110,103429,68823,9900,0
autres_participations,121447832,121587625,118800377,100864170,100867729,89190324,0,1334606
autres_reserves,59934340,62815287,62880513,63135269,54218095,80703191,402001,0
autres_titres_immobilises,24170,23973,23973,473,473,998,0,0
avances_conditionnees,84554,113360,136503,86527,55317,0,0,0
avances_et_acomptes,307438,1156,792,423,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,3549784,2577327,2631240,2704883,2743412,2185396,0,0
avances_et_acomptes_verses_sur_commandes,250110,571353,735169,440918,612633,147056,13948,0
capital_social_ou_individuel,106469273,105678273,105425113,93238127,87090611,36771070,1514616,662301
capital_souscrit_et_appele_non_verse,0,0,0,0,0,0,0,0
charges_constatees_davance,2678621,2594738,2026952,2495117,1669039,2178310,135337,231539
clients_et_comptes_rattaches,112956395,102822739,94881470,78147480,90425508,74152033,2858684,1152229
concessions_brevets_et_droits_similaires,15557255,15794633,16085763,16071819,15953341,358744,6807,2710
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,4710874,310335,183089,224298,4038,6398,1575,0
constructions,6398579,6876359,7827470,10381417,11360801,10555318,0,11607
creances__autres,9277,13559,12200,69202,8150,1034,22000,119007
creances__clients_et_comptes_rattaches,8633,19136,36765,67011,9919,20212,96226,89456
creances_rattachees_a_des_participations,417128,410208,456834,348052,923342,0,0,49999
dettes_diverses,180097,597784,90200,144117,97207,11171,286,0
dettes_et_produits_constates_davance_a_moins_dun_an,69378711,56231441,36066869,37292040,31617668,41918386,763746,1347322
dettes_fiscales_et_sociales,17574633,20921756,17772851,12474881,9301879,11701295,1059887,541764
dettes_fournisseurs_et_comptes_rattaches,44418292,82518482,60346062,41314195,66189056,40298886,543076,3051273
dettes_sur_immobilisations_et_comptes_rattaches,50273,5199062,978926,53897,0,128611,0,0
disponibilites,64946766,52345743,50022997,45334693,30262663,56122733,462916,2083845
ecarts_de_conversion_actif,2208521,262644,438109,405545,425302,74853,646,0
ecarts_de_reevaluation,0,0,1,0,0,0,0,0
emprunts_et_dettes_assimilees,7277,18043,29938,2355453,12558,24103,756,756
emprunts_et_dettes_aupres_des_etablissements_de_credit,10684207,7365773,8946057,7009752,2251237,3596442,1575,950479
emprunts_et_dettes_financieres_divers,171235658,74761035,68206753,81932872,67551740,63035606,424149,3734224
emprunts_participatifs,17277391,20322248,4788575,4463069,3075150,732888,0,0
en_cours_de_production_de_biens,1032022,393628,0,0,0,0,0,0
fonds_commercial,23418134,23457668,23714092,22953442,22251241,3248315,80490,1631
fournisseurs_et_comptes_rattaches,47351,61444,50738,60961,0,1120,1122970,1095016
frais_de_developpement_ou_de_recherche_et_developpement,0,0,0,0,0,0,0,0
frais_detablissement,-1156,0,0,0,0,0,3438,0
immobilisations_corporelles,12234,15515,19071,330825,151,370,26349,31237
immobilisations_en_cours,4205906,695846,622533,83340,56181,1470235,0,0
immobilisations_financieres,330,50030,30,37769,30,30,49776,49776
immobilisations_incorporelles__autres,1638,8078,21517,0,0,0,0,0
immobilisations_incorporelles__fonds_commercial,50000,50000,50000,0,50000,50000,200000,200000
installations_techniques_materiel_et_outillage_industriels,1232502,1307967,1467087,1641063,1838123,1865482,5054,5133
marchandises,107355274,94447188,84650599,70273633,62378734,61827179,3495012,4926285
matieres_premieres_approvisionnements,3970374,3166853,1918616,875177,1037003,544704,0,4388
matieres_premieres_approvisionnements_en_cours_de_production,4530,5125,3548,727184,0,0,0,0
participations_evaluees__mise_en_equivalence,0,490,0,0,0,0,0,0
