SIREN,Libellé,2023,2022,2021,2020,2019,2018,2017,2016
829080605,autres_immobilisations_incorporelles,0,0,0,1360,0,0,0,0
829080605,installations_techniques_materiel_et_outillage_industriels,0,0,2290,3187,0,0,0,0
829080605,autres_immobilisations_corporelles,0,0,61317,68829,0,0,0,0
829080605,autres_immobilisations_financieres,0,0,27608,27645,0,0,0,0
829080605,total_i_immobilisations,0,0,91215,101021,0,0,0,0
829080605,autres_creances,0,0,4381,23191,0,0,0,0
829080605,disponibilites,0,0,54629,39611,0,0,0,0
829080605,charges_constatees_davance,0,0,6022,6604,0,0,0,0
829080605,total_ii_actif_circulant,0,0,66032,69406,0,0,0,0
829080605,total_general_actif,0,0,157247,170427,0,0,0,0
829080605,capital_social_ou_individuel,0,0,5000,5000,0,0,0,0
829080605,report_a_nouveau,0,0,0,-335,0,0,0,0
829080605,resultat_de_lexercice_benefice_ou_perte,0,0,-13294,13647,0,0,0,0
829080605,total_i_capital_social,0,0,5018,18312,0,0,0,0
829080605,autres_emprunts_obligataires,0,0,8628,14657,0,0,0,0
829080605,emprunts_et_dettes_financieres_divers,0,0,101792,102272,0,0,0,0
829080605,dettes_fournisseurs_et_comptes_rattaches,0,0,20809,24020,0,0,0,0
829080605,dettes_fiscales_et_sociales,0,0,21000,11166,0,0,0,0
829080605,total_iv_dettes,0,0,152228,152116,0,0,0,0
829080605,total_general_passif,0,0,157247,170427,0,0,0,0
829080605,avances_et_acomptes_verses_sur_commandes,0,0,1000,0,0,0,0,0
829080605,reserve_legale,0,0,500,0,0,0,0,0
829080605,autres_reserves,0,0,12812,0,0,0,0,0
501676167,concessions_brevets_et_droits_similaires,150357,224693,218053,219186,119409,0,2180,6755
501676167,autres_immobilisations_incorporelles,35707,5244,10674,11883,11524,0,3864,6480
501676167,installations_techniques_materiel_et_outillage_industriels,98426,151019,128212,89845,90074,0,61215,28727
501676167,autres_immobilisations_corporelles,6806,12089,10695,6637,5133,0,8181,9323
501676167,immobilisations_en_cours,0,53797,75505,70221,3669,0,0,0
