SIREN,Name,Stocks/Revenue_%,Debt/EBITDA,Gross_Margin_%,EBITDA_Margin_%,Operating_Margin_%,Net_Margin_%,Return_on_Assets_%,Market_Share_%,Turnover_2Y_Growth_%,Operational_Margin_2Y_Growth_%,Net_Margin_2Y_Growth_%,ROA_2Y_Growth_%
338158405,SILLAGES,87.85,30,34.51,4.52,3.08,1.2,0.65,9.7,103.07,-24.14,-15.49,71.05
344519251,SOCIETE D'ECONOMIE MIXTE DE GESTION DES PORTS DE PLAISANCE ET EQUIPEMENTS PUBLICS DE LOISIRS DU PAYS DE LORIENT,91.96,4,39.11,7.75,4.03,3.6,4.72,7.6,22.23,-43.79,-18.37,-0.42
515339653,ESL Gaming France,0.0,0,38.21,-1.92,-1.92,-2.69,0.0,4.76,-10.89,-133.57,-138.1,0.0
409984846,ESPACEO,-122.88,5,-38.56,34.35,-10.27,-9.95,-1.45,4.46,80.98,-117.23,-152.81,-195.39
451128607,ALTIPLANO EXPLOITATION,96.35,5,45.46,17.02,6.34,4.21,5.23,3.79,118.84,-534.25,-343.35,-633.67
333006138,SOCIETE D'ECONOMIE MIXTE LOCALE DE GESTION DU PORT DE BANDOL,65.78,24,54.53,10.93,9.34,15.96,2.2,2.86,18.27,83.14,11.45,31.74
385303706,SWING,92.69,3,28.98,6.99,6.18,5.09,10.32,2.74,40.04,-42.46,-41.36,-17.9
399617661,OPERA,91.7,1,51.5,21.04,19.49,18.1,27.11,2.7,91.61,-46.13,-47.57,0.52
522933746,CALICEO SAINT HERBLAIN,28.15,6,32.93,12.27,10.22,9.95,11.8,2.44,118.53,-38.99,-42.65,25.4
329045322,SOCIETE ANONYME D ECONOMIE MIXTE D ORGANISATION ET DE GESTIO,79.61,13,100.0,8.97,8.97,3.67,1.92,2.38,12.12,660.17,33.94,50.0
438261216,ANIMFIT,92.7,-8,51.64,-5.65,-11.11,-10.1,-29.98,2.24,142.65,-83.58,-85.17,-64.04
450702824,ZOO DE LA BOISSIERE DU DORE,88.27,13,44.33,6.21,-4.48,-2.2,-1.45,2.24,28.71,-126.91,-113.25,-117.04
420877888,SOCIETE D'ECONOMIE MIXTE DE GESTION DU PORT DE FREJUS,84.43,4,71.37,21.97,3.44,2.81,2.26,2.19,17.5,34.37,260.26,318.52
499371433,9ème ART +,24.69,76,-62.39,1.1,0.74,0.17,0.17,2.11,871.68,-98.95,-94.74,-48.48
453464893,HENIN BOWL 62,79.35,1,48.3,12.4,9.59,4.46,7.96,1.99,92.22,-45.76,-78.87,-59.43
440133023,ALRECREA FRANCE,29.74,117,36.57,0.71,0.71,3.09,3.18,1.93,128.9,-106.34,-124.47,-156.08
820742120,ESPACE LOISIRS COLOMIERS,98.52,1,42.6,16.12,12.22,9.69,20.14,1.92,690.55,-139.25,-131.51,-348.95
751982158,BRETIGNY FD,94.74,4,48.82,24.98,10.39,8.72,11.51,1.67,382.28,-93.39,-94.19,-71.97
498292143,TEAM ACTIVE ILE DE FRANCE,78.53,23,46.66,4.88,-7.05,-10.27,-11.38,1.54,49.91,-274.5,-313.51,-420.56
501182323,CALICEO PAU,93.36,-19,16.11,-8.55,-11.59,-17.03,-67.27,1.52,126.31,158.13,184.78,544.35
535310007,ALTIPLANO CONSTRUCTION,91.7,-9,4.98,-7.83,-8.34,-8.36,-13.93,1.47,55.37,-153.74,-141.32,-164.19
522740752,KARTING INDOOR PROVENCE,95.15,1,63.75,32.07,25.14,18.14,25.81,1.46,262.65,-330.85,-4043.48,-14438.89
833173768,FLY IN LE BEL AIR,77.49,8,71.78,43.4,23.63,16.46,4.07,1.46,185.78,-192.3,-140.26,-214.97
832202600,COSMIC JUMP 54,92.56,4,57.03,28.86,11.89,8.67,7.15,1.45,156.45,-383.1,-184.83,-317.33
390485514,COMPAGNIE DES BALADES RALLYES,71.53,2,70.97,13.36,12.38,9.18,19.99,1.22,130.04,-47.14,-58.94,-5.57
519657639,PUY DU FOU INTERNATIONAL,-781.28,-22,-2.52,-47.76,-48.49,-76.46,-1.93,1.15,31.8,286.99,253.0,359.52
822146726,LES NYMPHEAS,72.99,-34,31.44,-2.93,-4.98,-5.53,-15.33,1.14,113.98,-76.34,-122.74,-148.65
830138731,SOCIETE DU GOLF DE DIVONNE,97.82,5,57.22,4.63,1.12,1.36,1.17,1.07,22.66,-154.11,-170.47,-186.67
813002565,BIOPOLE LEA NATURE,50.01,14,57.35,49.34,2.35,-4.76,-0.66,1.05,84.8,-111.01,-87.34,-76.76
480983998,ZIDANE SPORT CONCEPT,13.18,10,41.16,13.68,12.46,-14.93,-15.12,1.03,77.68,-5763.64,3217.78,5715.38
749920765,AQUARENA,59.25,-6,-36.23,-12.85,-15.07,-16.22,-31.02,0.94,101.66,-40.13,-32.42,36.23
801224627,VITALSPA BOUC BEL AIR,82.52,23,45.85,4.42,3.44,2.8,5.3,0.91,207.75,-111.42,-109.39,-128.91
351499785,TAKA CLUB,73.7,20,56.68,7.8,-8.29,-8.27,-5.82,0.89,193.84,-118.53,-111.74,-134.48
504488735,LASER 94,70.75,25,31.5,2.32,-3.68,-4.23,-6.26,0.88,137.86,-119.37,-113.09,-131.08
817391238,RLC CLIMBERS,93.2,9,46.04,7.71,1.18,0.07,0.09,0.82,68.11,-76.45,-98.53,-97.56
487740383,STAR RECEPTION,69.8,-3,-9.61,-25.79,-31.54,-30.37,-34.48,0.8,1170.0,-135.7,-129.97,-480.57
514054345,Pi Laser,68.94,28,57.84,5.36,-1.5,-3.91,-2.81,0.77,140.73,-95.81,-90.31,-76.72
493512925,LASER GAME GRENOBLE,90.5,10,45.38,5.14,5.14,3.93,5.94,0.72,170.34,-224.15,-186.95,-334.78
812794303,KARTING DE NANTES,77.07,3,36.13,14.55,5.74,13.86,19.75,0.71,83.92,6.69,521.52,1041.62
391074242,TEAM ACTIVE GRAND OUEST,-126.02,377,37.6,1.07,-14.54,-3.3,-0.58,0.71,8.57,-10.3,-106.36,-106.93
382818227,SCAN 89,97.13,-10,53.19,-2.12,-3.4,-3.38,-5.47,0.7,inf,0.0,0.0,-199.45
412254484,PARC INTERCOMMUNAL D'EQUITATION DU CHATEAU BLEU,82.29,1,75.24,19.13,17.86,19.72,20.29,0.7,59.09,291.67,210.06,393.67
837934215,SCO ACADEMY,79.16,10,25.92,6.39,2.41,1.86,4.99,0.68,273.61,-146.8,-131.1,-216.32
834084998,LE NAUTILE,66.59,-5,17.99,-18.38,-23.68,0.0,0.0,0.64,101.43,-28.7,-100.0,-100.0
794402164,SOPOOL,-14.9,7,2.12,14.64,13.72,12.71,10.56,0.62,83.98,-23.9,-44.01,3.02
824021299,ENFANCE-JEUNESSE MEDULLIENNE,65.07,8,37.51,7.48,7.3,8.48,10.05,0.62,23.13,-251.77,-277.78,-318.48
803621143,CA CHATEL,52.06,-12,-9.85,-6.67,-10.49,-10.81,-15.44,0.59,111.27,-157.51,-250.56,-417.7
415296466,L EPINETTE DE BOISEMONT,90.88,8,27.35,4.49,-0.07,1.32,1.5,0.58,9.26,-103.57,-52.0,-47.55
802476473,LES ONDINES,31.45,4,19.67,13.91,13.15,14.09,18.74,0.51,74.09,-67.98,-57.06,-25.22
808433023,ENFANCE EN PAYS MORNANTAIS,55.87,-27,34.29,-2.23,-3.32,3.82,3.87,0.51,39.35,-217.31,43.61,99.48
815170071,FORMEO,60.31,-26,-2.86,-2.62,-4.84,-8.2,-15.64,0.5,130.51,-11.03,-194.8,-318.44
828622084,RONCQ LOISIRS,86.84,6,37.56,12.34,2.4,0.89,1.33,0.49,81.94,-31.43,-84.33,-71.34
518825450,ESPACE OREANE,-34.43,6,18.52,20.44,16.7,13.66,9.01,0.47,145.35,-42.59,-6.44,129.85
403614951,FUN LOISIRS,95.16,2,60.29,26.59,23.46,18.84,16.95,0.45,172.24,-198.32,-239.14,-479.19
490122991,SNC LA LOUE,-83.11,-17,-137.44,-12.4,-17.86,-19.86,-10.22,0.45,79.53,-205.43,-161.89,-211.09
484120076,Société d'Exploitation du Musée du Rhum de La Réunion,73.53,1,67.71,31.09,19.42,25.6,9.96,0.43,170.78,-175.04,-240.97,-481.61
822027801,LE SANATORIUM,76.27,6,56.74,12.8,0.57,4.63,5.76,0.4,48.24,-79.86,94.54,188.0
844395012,LAC ET FORET,9.88,5,-56.43,23.83,9.25,8.24,6.26,0.37,45.38,-83.9,-63.76,-47.26
532193968,PARC NATUREO,69.36,-9,-9.18,-8.03,-11.78,0.0,0.0,0.37,130.32,-134.55,-100.0,-100.0
478439854,PITCHOUN GYM,98.82,1,57.99,12.01,10.74,8.78,20.95,0.36,64.17,-45.51,-55.45,-26.9
404899270,EQUILOISIRS - FAE,63.12,18,40.56,8.45,-0.39,19.63,11.91,0.35,27.91,-97.51,-447.43,-544.4
793383340,AQUAZERGUES,43.73,-12,-25.23,-9.65,-22.9,-23.38,-29.8,0.35,153.59,-42.32,-12.99,120.58
524133089,OC'KIDS,97.88,1,67.05,11.19,6.97,6.74,26.87,0.35,51.57,-57.91,-58.75,-37.48
539653105,BEMBOM BROTHERS,53.23,4,91.7,8.67,6.52,6.4,11.77,0.35,67.61,85.75,92.77,223.35
840711550,WAM PARK DEVELOPPEMENT,-95.11,25,40.79,13.99,2.99,42.35,8.17,0.34,-34.69,-62.15,365.38,203.72
823147269,GRAVITY,91.61,9,38.99,11.09,1.66,1.95,2.18,0.34,94.23,-116.35,-128.93,-156.04
501676167,N'JOY,45.9,-2,51.74,-42.72,-84.34,-93.1,-83.49,0.33,-46.42,273.68,288.56,108.15
799904479,CA BEAUFORT EN ANJOU,6.2,6,12.8,14.33,12.75,12.33,12.06,0.32,112.44,-61.23,-64.78,-25.14
824968002,VILLASPORT,0.0,0,-87.32,25.49,24.58,24.43,0.0,0.31,0.56,26.38,28.92,0.0
820641033,GOLDRONE,87.04,3,65.54,31.03,16.64,2.76,1.35,0.27,60.59,-56.28,-91.81,-86.88
532449188,COMPAGNIE SAUMUROISE DE NAVIGATION - SAINT NICOLAS,96.79,19,42.78,2.53,0.32,0.12,0.18,0.26,74.73,-97.99,-97.64,-96.02
799358742,LASER GAME EVOLUTION CHAMBERY,83.0,1,52.92,20.88,20.88,16.29,16.83,0.25,153.76,-11.49,-30.21,77.16
832191415,L'AQUACIENNE,-6.92,-3,-189.67,-137.06,-142.09,0.0,0.0,0.24,34.71,252.23,-100.0,-100.0
445352552,PYRENEES HO,91.26,-157,62.22,-0.18,-5.33,0.57,0.56,0.23,35.96,-120.34,-98.09,-97.37
833029655,ESCAPE DIMENSION,98.71,1,77.08,36.53,31.53,24.74,43.6,0.23,85.02,34933.33,12921.05,24122.22
520945486,FLY ZONE,85.11,136,47.42,5.66,-41.65,-45.0,-6.32,0.23,-8.5,1162.12,373.19,332.88
799358734,LASER GAME EVOLUTION DUNKERQUE,81.6,1,51.26,14.17,14.17,10.49,15.92,0.22,116.16,-12.91,-33.31,44.07
809102452,DOCK 39 TERVILLE,84.72,-7,28.64,-10.14,-12.9,-10.96,-26.4,0.22,261.11,-86.38,-80.63,-30.05
800444515,LASER GAME EVOLUTION S12 REIMS,65.16,-26,30.84,-8.83,-8.83,-10.73,-11.43,0.19,231.56,-85.29,-82.33,-41.38
442039004,LOISIRS INTERURBAIN LASER,97.24,9,35.75,4.25,4.25,1.86,3.28,0.18,108.0,-219.38,-120.53,-142.76
478484603,CENTRE EQUESTRE LES ALLEES CAVALIERES,86.06,7,54.48,9.32,-1.21,-2.81,-2.06,0.14,10.19,-104.62,-111.34,-112.54
848023974,L'ILE VERTE,-201.38,7,-79.65,42.77,32.29,36.63,10.94,0.13,197.84,-56.09,-41.63,73.93
