,522740752_KARTING INDOOR PROVENCE,453464893_HENIN BOWL 62,539626283_LES SAVANTS DE GAÏA,424161065_LES ECURIES DES SABLONS,848023974_L'ILE VERTE,844395012_LAC ET FORET,338158405_SILLAGES,840711550_WAM PARK DEVELOPPEMENT,834084998_LE NAUTILE,480983998_ZIDANE SPORT CONCEPT,519657639_PUY DU FOU INTERNATIONAL,822146726_LES NYMPHEAS,830138731_SOCIETE DU GOLF DE DIVONNE,333006138_SOCIETE D'ECONOMIE MIXTE LOCALE DE GESTION DU PORT DE BANDOL,504488735_LASER 94,817391238_RLC CLIMBERS,799904479_CA BEAUFORT EN ANJOU,522933746_CALICEO SAINT HERBLAIN,514054345_Pi Laser,824021299_ENFANCE-JEUNESSE MEDULLIENNE,833029655_ESCAPE DIMENSION,532193968_PARC NATUREO,823147269_GRAVITY,451128607_ALTIPLANO EXPLOITATION,385303706_SWING,802476473_LES ONDINES,493512925_LASER GAME GRENOBLE,484120076_Société d'Exploitation du Musée du Rhum de La Réunion,404899270_EQUILOISIRS - FAE,800444515_LASER GAME EVOLUTION S12 REIMS,799358742_LASER GAME EVOLUTION CHAMBERY,409984846_ESPACEO,847596061_AQUABELLA,478439854_PITCHOUN GYM,751982158_BRETIGNY FD,837934215_SCO ACADEMY,501676167_N'JOY,487740383_STAR RECEPTION,391074242_TEAM ACTIVE GRAND OUEST,518825450_ESPACE OREANE,793383340_AQUAZERGUES,808433023_ENFANCE EN PAYS MORNANTAIS,820742120_ESPACE LOISIRS COLOMIERS,801224627_VITALSPA BOUC BEL AIR,824968002_VILLASPORT,403614951_FUN LOISIRS,412254484_PARC INTERCOMMUNAL D'EQUITATION DU CHATEAU BLEU,515339653_ESL Gaming France,501182323_CALICEO PAU,535310007_ALTIPLANO CONSTRUCTION,440133023_ALRECREA FRANCE,803621143_CA CHATEL,478484603_CENTRE EQUESTRE LES ALLEES CAVALIERES,382818227_SCAN 89,812794303_KARTING DE NANTES,539653105_BEMBOM BROTHERS,344519251_SOCIETE D'ECONOMIE MIXTE DE GESTION DES PORTS DE PLAISANCE ET EQUIPEMENTS PUBLICS DE LOISIRS DU PAYS DE LORIENT,498292143_TEAM ACTIVE ILE DE FRANCE,820641033_GOLDRONE,329045322_SOCIETE ANONYME D ECONOMIE MIXTE D ORGANISATION ET DE GESTIO,809102452_DOCK 39 TERVILLE,399617661_OPERA,438261216_ANIMFIT,833173768_FLY IN LE BEL AIR,490122991_SNC LA LOUE,520945486_FLY ZONE,351499785_TAKA CLUB,442039004_LOISIRS INTERURBAIN LASER,415296466_L EPINETTE DE BOISEMONT,390485514_COMPAGNIE DES BALADES RALLYES,749920765_AQUARENA,794402164_SOPOOL,799358734_LASER GAME EVOLUTION DUNKERQUE,450702824_ZOO DE LA BOISSIERE DU DORE,822027801_LE SANATORIUM,832202600_COSMIC JUMP 54,420877888_SOCIETE D'ECONOMIE MIXTE DE GESTION DU PORT DE FREJUS,815170071_FORMEO,813002565_BIOPOLE LEA NATURE,828622084_RONCQ LOISIRS,499371433_9ème ART +,841531924_CAPSULE CORP,532449188_COMPAGNIE SAUMUROISE DE NAVIGATION - SAINT NICOLAS,832191415_L'AQUACIENNE,524133089_OC'KIDS,445352552_PYRENEES HO
522740752_KARTING INDOOR PROVENCE,1.0,-0.9640798214652967,0.41177161480868446,0.8602722956257178,-0.9941933022803205,-0.9276507504151598,-0.3354030638431908,-0.5849076437952013,-0.19311299211947355,-0.9898934617780976,0.9999972412906023,0.5957982003937319,0.025453421689085577,-0.5919645103439924,-0.9750517657455201,0.7964052721759238,0.6300226881488766,-0.4744196278619226,0.2637803371468628,-0.9623524122033884,-0.9999816811766522,0.5611251396000595,-0.838621786861199,0.9982119229389744,0.6227553749894875,0.62041204731265,0.9917875805110118,0.9792609676388417,-0.6197955160851805,-0.8324759442249384,0.4300917674246907,0.31697720102031546,0.66037568394545,0.6174630723567692,0.4901283749346368,-0.5042408514113663,-0.4076713716955613,-0.7971680145906666,0.9984366275648412,0.21304423467746209,-0.9993161275319749,0.5156983230598934,0.7160935979280099,-0.3393054731340991,0.799755561329722,0.9936424218549619,-0.47572402892508514,0.26183306867316614,-0.8461859857289155,-0.513020255675289,0.9902215653009974,-0.49097507208123875,0.2357778117194496,-0.9964959387075082,-0.36634662560298786,0.9186302862985231,0.17233825405300948,-0.5040306671601538,-0.603102148071129,-0.9698188251179668,0.9227592469087537,0.49490793601162547,0.949908726355267,-0.4884307194880936,0.742065907250677,-0.9270298241452506,-0.2022056624473236,0.9990727934534103,-0.9132112717310715,-0.7698623978178639,0.354164867577185,0.2244472547095397,0.48933075478165583,-0.12973467539412117,-0.4070276749573936,0.9434227251743882,-0.5011444257159653,0.7482135680996463,0.05605874363972464,0.7299085922195501,0.5447685865616921,-0.6695394880867827,0.31568909477001045,-0.3162223942066066,0.5733496632116296,0.5398587713294397
453464893_HENIN BOWL 62,-0.9640798214652967,1.0,-0.1549312984953269,-0.693952557520398,0.9870639929939724,0.7951366036730361,0.5735823216580468,0.7793360782196403,-0.07443659108355057,0.9920036503337726,-0.9647010640041651,-0.3610743986951057,-0.29006575805603907,0.7847753087119292,0.8810676666096072,-0.9284310544005757,-0.8136607893293478,0.6911969229690067,-0.5105107205828286,0.9999793370437026,0.9656698813681712,-0.7608252719365399,0.663815356830707,-0.9464791825033133,-0.8082056649652147,-0.806440397100917,-0.922191585083858,-0.8902718242833564,0.38908925041683357,0.9497389394033336,-0.6544339875714826,-0.053675446943748435,-0.4371969078018839,-0.8042145909736369,-0.2410015111800793,0.2567551271337054,0.15048917414250584,0.9288992554726931,-0.9477260665661175,0.054123247548011996,0.9535990300158588,-0.26960530500803087,-0.504972600888784,0.5769731017844598,-0.9304823404147049,-0.928047365191476,0.6922674174955606,0.003918323063655446,0.9573325604614407,0.2665967903117605,-0.9917065528291501,0.2419443961257762,-0.48543289314931387,0.9384854729054631,0.6003342683825753,-0.990581329685443,-0.4277863749129099,0.2565199036975967,0.7933082774797972,0.8702193027644152,-0.7872525713727088,-0.7079336785194672,-0.832776578578254,0.23911186178067176,-0.5373634331667152,0.9933322119843514,-0.06518354521141483,-0.9746213203102418,0.7721750011768893,0.5726921561262227,-0.5898396692998428,0.042450836086230403,-0.7033942718468104,-0.1382933407144971,0.14979233906074724,-0.9976099765501776,0.7129947928269682,-0.8975604509188773,-0.31924010412304143,-0.5221319854402282,-0.3024612114615024,0.8427803599898311,-0.5563794505947651,0.05288083679038738,-0.7703741776975498,-0.7440479146398647
539626283_LES SAVANTS DE GAÏA,0.4117716148086844,-0.15493129849532694,1.0,0.8188416254770176,-0.3113179716249014,-0.722299409374388,0.7203910602094443,0.498296492515408,-0.973651935944655,-0.27837765130552566,0.4096299411210264,0.9772185828531664,-0.9005108320897895,0.49071042344124116,-0.6037839568194167,-0.22317589018902678,-0.44825887588140356,0.6068524047360204,-0.7703945642994252,-0.14857722943819368,-0.40624816371368294,-0.5232451420572167,-0.8417116075743292,0.4655068060568253,-0.4565731543046325,-0.45923254078354736,0.5249399752812597,0.5878613244160751,-0.9703589016857064,0.16211883865123972,-0.6455968816531521,0.9948170939239721,0.9562416761792732,-0.46256452944091764,0.996144570436205,-0.9945859293707512,-0.9999898981859175,0.22194527538273284,0.462064658840756,0.9780918227758052,-0.4451864156423139,0.9931135767369544,0.9309492870570351,0.7175097424257216,-0.2177524865298508,0.5117483908425922,0.6056735344013546,0.9873105916939748,0.1371782850009705,-0.9934745918133716,0.28061731419246133,-0.9960588615056185,-0.7885085402563918,-0.48654985275681,0.6970818475348984,0.018199760830026685,-0.8266882437993974,-0.9946111907750872,0.4785605167384657,-0.6215399598581497,0.7311550743610002,-0.5880696878945348,0.675947683348722,-0.9963134494297525,0.916421943218186,-0.0400032075745991,-0.975725245992962,0.37215625354396237,-0.7473715783395204,-0.8985999257437436,-0.7063851448747122,0.9804577250411396,-0.593239378897727,-0.957006614739421,-0.9999864817310751,0.0862987723873972,0.5822376713624855,-0.2965075505009135,-0.8867706536438023,0.923461151605511,0.9885132101094711,0.40118523580240684,-0.7346944948532199,-0.9947358675948546,-0.5105382146957207,-0.5447824916196278
424161065_LES ECURIES DES SABLONS,0.8602722956257178,-0.6939525575203979,0.8188416254770176,1.0,-0.8004141811832203,-0.9884295086142143,0.19176456454918692,-0.08965284299444949,-0.6663677462365242,-0.7792766975439432,0.8590723626187995,0.9220144800984625,-0.48777279772288795,-0.09834211518293723,-0.951981937045231,0.376795986333128,0.1460651829065837,0.04067695839719427,-0.2648550021958696,-0.6893095722534412,-0.8571705691668778,0.06071430867170261,-0.9991573452686406,0.8892090411151974,0.13683594150529807,0.13387204157120908,0.9184132336235328,0.9457251282905591,-0.9332926195522723,-0.43367628619990156,-0.09027531476348102,0.7562309838022533,0.9509559384854679,0.13015034598580433,0.866041544564881,-0.8740589821081916,-0.8162532317218539,-0.3779649257036032,0.8874248154607177,0.6814064002275536,-0.8785359957829278,0.8804523082766346,0.9719023870867789,0.18769443629691138,0.3819405468638864,0.9122013443690493,0.03919577769095072,0.7172960697539763,-0.45626564937526776,-0.8789673702363878,0.7807363868711131,-0.8665269275887004,-0.2926279539822355,-0.8999010287941253,0.15923249230901987,0.5888271524874088,-0.3539487917746792,-0.873940720016907,-0.11215517970406362,-0.9586196030022158,0.99030280219756,-0.017263071906889898,0.9765175509440518,-0.8650666740056917,0.9801347719442597,-0.6063163235982387,-0.6732551651443797,0.8375247695733974,-0.9933611303630518,-0.9876729476450816,-0.17211066455500226,0.6899128034718136,-0.023668407402771312,-0.6171332557914213,-0.8158458559122264,0.6425430388054039,0.010071889030121656,0.3054134154509575,-0.4608073394883492,0.9764150855030942,0.8961899077512234,-0.1972929436023656,-0.21218468542754973,-0.7557100877430987,0.07552363690152307,0.0352691967857569
848023974_L'ILE VERTE,-0.9941933022803205,0.9870639929939723,-0.31131797162490144,-0.8004141811832203,1.0,0.8820777328937208,0.4348311146074724,0.668792838798122,0.08640830616278815,0.9994057949420087,-0.9944433239925968,-0.5059141863884667,-0.13287966794461772,0.6752560629050779,0.9455031672951894,-0.856858706966619,-0.7099309126154322,0.5663928140175671,-0.36604634655476964,0.9860129382605924,0.9948264332517451,-0.6469380849512976,0.7751360678736574,-0.9859833697561196,-0.7033342214337145,-0.701204591532204,-0.9722658170592957,-0.9517728119130251,0.5317490212949104,0.8872639292773303,-0.5247420839444792,-0.21307675112018262,-0.5757337427871033,-0.6985228061695571,-0.39348501244987605,0.4083857965236153,0.30704336060622606,0.85750879126958,-0.9866241599501686,-0.10666866598960636,0.9895343771115582,-0.4205077066680013,-0.6368239797299018,0.4385603749181222,-0.8597120258939779,-0.9757577995614422,0.5676138594769174,-0.1564579053517332,0.8986159021658959,0.41767234174090184,-0.9994834773757735,0.39437808366458404,-0.33898381289002355,0.9817090535628128,0.46434713432104147,-0.9558143177787565,-0.27733638595023524,0.4081636297980837,0.685435866586238,0.9379494576367241,-0.8759310720062045,-0.5855404249897347,-0.910762154214868,0.39169472621763124,-0.6656238042717916,0.9619988501253071,0.09564547297577544,-0.9979043568992965,0.8640593612951262,0.6967149663266706,-0.45274236352996294,-0.11828055450843317,-0.5803349052464101,0.022281864799977635,0.30637250603102983,-0.973626858404355,0.5913552725230059,-0.8152629059076938,-0.16317292033873448,-0.6521147258636023,-0.45136590850581804,0.7455810408725629,-0.41596206375752365,0.21229921719417344,-0.6581855363603334,-0.6273043790562489
844395012_LAC ET FORET,-0.9276507504151598,0.7951366036730362,-0.7222994093743879,-0.9884295086142143,0.8820777328937208,1.0,-0.04067987084228227,0.2396856444251944,0.5455607115486536,0.8653154932783736,-0.9267709908039224,-0.8526222268823345,0.34971602606588503,0.24814993691578616,0.9874047933623162,-0.5129377577372369,-0.29442929058088774,0.11134909178668102,0.11552635494890917,0.7912217422030463,0.9253733169255935,-0.21141292748260654,0.9813710309302255,-0.9483146549615145,-0.28550686611034365,-0.2826386759205771,-0.9677951267303537,-0.9840740232353948,0.8680227906326907,0.5653333891953362,-0.06183081513481757,-0.6482354632559855,-0.8930339975309758,-0.27903522194675034,-0.7801847907277775,0.7902560851789047,0.7191835738807645,0.5140209175278133,-0.9470745794615227,-0.5625061172291348,0.9408252683660703,-0.7983478440439101,-0.9249536938541366,-0.03653753725010359,-0.5177028409461052,-0.9637968140202129,0.11282211404952076,-0.6033101025239515,0.5859587443137977,0.7964633901868811,-0.866482315099468,0.7807922297316714,0.14420079266153335,0.9556359061120089,-0.007644437685657867,-0.7046116125600229,0.20799158903739828,0.7901069274816641,0.2615814257821047,0.9907099651128283,-0.9999168978080406,-0.13459500364924304,-0.9978965798116614,0.7789656384710574,-0.9387108532103235,0.7199212006260054,0.5533108364805595,-0.9107125630394083,0.9993164749301707,0.952502223388836,0.020701763523817772,-0.5721294839177823,-0.12824389292186308,0.49064126292088667,0.7186936690165848,-0.751333956423227,0.14171789050966205,-0.4463132310033908,0.32085871142703687,-0.9323692982116937,-0.8185241698385576,0.3437097512077343,0.061502505910464376,0.6476293495980492,-0.2258975288569055,-0.1864476828125032
338158405_SILLAGES,-0.3354030638431908,0.5735823216580468,0.7203910602094442,0.19176456454918692,0.4348311146074724,-0.04067987084228228,1.0,0.9602965301249466,-0.8595709138754416,0.465611767176912,-0.3376149939194779,0.5567798648423243,-0.9503066556117128,0.9578250517053281,0.11791586514719443,-0.8368489818911719,-0.9429048450015153,0.9884290664816631,-0.9971817862748109,0.5788363541098716,0.341099181390675,-0.9679875265824249,-0.23188510984518057,-0.27849155927251396,-0.945968967141351,-0.9469347258586052,-0.21216097366879802,-0.13758000629367836,-0.5314244026006235,0.8011820246907904,-0.9947451903809365,0.7871797801679163,0.48594521981352223,-0.9481348606349969,0.6567691192742381,-0.6444170073658521,-0.723501255958993,0.8361573038177057,-0.28222101833533064,0.8489914057585404,0.30033886487884254,0.6341747869215465,0.41739219165457175,0.9999914077282348,-0.8337922088249519,-0.2272099274030883,0.9882031300315804,0.8213891158431454,0.7858333843028137,-0.6365862392091834,-0.46354615283606637,-0.6560361050883543,-0.9945954007710842,0.2554315654867545,0.9994540112375006,-0.6803422877092937,-0.9857820196538601,-0.6446030905751581,0.9537413663711329,0.09557725979268254,0.053557578941737,-0.984605150018492,-0.02417807920937012,-0.6582357661086801,0.38260687574585306,0.664194989169541,-0.8547939634792324,-0.37565113773324404,-0.0775887872482253,-0.34302721698112176,-0.9998002494448993,0.8427585572439852,-0.9857047817528747,-0.8905996023625019,-0.723987632847331,-0.6288117505877752,0.9833226068695513,-0.8759800916036441,-0.9593955592447053,0.39913666822821636,0.6072940186280721,0.9243165266537211,-0.9997826414997757,-0.7876702827474487,-0.9641552157152414,-0.9740669695688489
840711550_WAM PARK DEVELOPPEMENT,-0.5849076437952013,0.7793360782196402,0.49829649251540803,-0.08965284299444948,0.6687928387981221,0.2396856444251944,0.9602965301249466,1.0,-0.6828789159880985,0.6940207835426316,-0.5868112365687663,0.30293512836617,-0.8257250122599314,0.9999619117381776,0.3902692230913348,-0.9563469791657515,-0.9983863916287916,0.9915019537568616,-0.9366601297349131,0.7833481063480306,0.5898064163128188,-0.9995788998160496,0.048698705563785104,-0.5353789231902064,-0.998872408892011,-0.9990099586625237,-0.4763676776082612,-0.4084459888774264,-0.27399834139279045,0.9363205190258788,-0.9838129274421187,0.5838716515917115,0.2228248325208596,-0.9991699462749736,0.4203156061741607,-0.40550158597350744,-0.5021885093448081,0.9559773384932213,-0.5386564256948243,0.6678679175106287,0.5545158338804325,0.3932903630177318,0.14730257356691936,0.9614447724656024,-0.9547073212743615,-0.48987368794122454,0.9916937076459106,0.6296550382423894,0.9271657937559857,-0.396159625299781,-0.6923395105035338,-0.4194337648553854,-0.9261407960249916,0.5150167526339718,0.9689899213401821,-0.8577942141546822,-0.8997660476558991,-0.40572404131182443,0.9997442178112751,0.3694866537850571,-0.22714975364978185,-0.9942769744919291,-0.3021178854670332,-0.42208108316743925,0.10966208243434378,0.8463792405322073,-0.6760734376577583,-0.6192855276370209,0.20363206786595803,-0.06735359269698529,-0.965680577588546,0.6591247763049203,-0.9935721278933155,-0.7283622850046607,-0.5027978873419843,-0.8207697770864181,0.9950195838224196,-0.9757665153694106,-0.8426136107992807,0.1274939766043673,0.36153805284621604,0.9940846794208689,-0.954271393969878,-0.5845174852774478,-0.9998994972220479,-0.998515413274532
834084998_LE NAUTILE,-0.19311299211947355,-0.07443659108355057,-0.9736519359446549,-0.6663677462365243,0.08640830616278815,0.5455607115486536,-0.8595709138754416,-0.6828789159880984,1.0,0.05201767635020685,-0.19080775713502507,-0.9030727725569108,0.9759432459111952,-0.6764769485356461,0.4060943723090163,0.4395833424684293,0.6402932872954777,-0.7721119452364815,0.8954865666079633,-0.08084570890868753,0.1871705144166178,0.7037896529909085,0.6964094931209078,-0.2514167487523601,0.6474266508621381,0.6497036027765805,-0.3170156519450679,-0.3878972784913585,0.8896819446506358,-0.3828699123404056,0.802735311974424,-0.9917927648310279,-0.8643272978025804,0.6525531844570159,-0.9498929298958936,0.9446832644198521,0.9746670987811439,-0.4384492156244428,-0.2476543827470274,-0.9997928279325947,0.22926160955001954,-0.9402308899858383,-0.8231523797164649,-0.8574451525646173,0.4345823729807533,-0.3023482107320745,-0.7711690752496687,-0.9975097599701624,-0.35944737244392516,0.9412897484590541,-0.05434700177717471,0.949588771310911,0.9079824450914683,0.27450305792794477,-0.8422173207975914,0.21028126537493244,0.9332152384961642,0.9447630594278794,-0.6661822952764921,0.4265216226933048,-0.5563195884338537,0.7570156902946947,-0.4900843208019287,0.9504995797899106,-0.8010116123989101,-0.18890753351269982,0.9999569809153652,-0.15069142821842324,0.5761690592891175,0.7748670119607552,0.84918577006977,-0.9994867020332754,0.7611862345966429,0.9979378030042034,0.9748244981244505,0.14316355526937538,-0.7522970091308901,0.5064796084341853,0.9688079254513393,-0.8116329099893652,-0.9280032027742999,-0.5994980545148239,0.8700381260838965,0.9918941908559143,0.6931672403019865,0.7216571012944292
480983998_ZIDANE SPORT CONCEPT,-0.9898934617780976,0.9920036503337726,-0.2783776513055256,-0.7792766975439432,0.9994057949420087,0.8653154932783736,0.46561176717691205,0.6940207835426316,0.05201767635020684,1.0,-0.9902238379805539,-0.475881855389049,-0.16696325554050875,0.7002779963688476,0.9337180529084781,-0.8741196846377298,-0.7337840352626327,0.5944627275025366,-0.39790483347616384,0.9911718181194614,0.9907337047939107,-0.6728371420859068,0.7528986626897571,-0.9796466935366929,-0.7274183402197445,-0.7253623862658127,-0.9636267180365541,-0.940632291165797,0.5022418634469356,0.9026355881938258,-0.5537717259398343,-0.17927348286260567,-0.5472091522746546,-0.7227727658827049,-0.36156351281288074,0.37668023091204217,0.27405767904253353,0.8747320880251023,-0.98041918747811,-0.0723337337859436,0.9839727214285812,-0.38898521834606803,-0.6098702731519006,0.4692764139920875,-0.87680681659707,-0.9676345232749336,0.5956540767075297,-0.12232122276251217,0.9132043888552442,0.38610642785857807,-0.9999972794267534,0.3624692463733758,-0.37120980397557973,0.9745634080032675,0.4945980943086635,-0.965379022667507,-0.3102877062238707,0.3764547713109699,0.7101260135437323,0.9254395157938984,-0.8587818778272135,-0.6131339087770112,-0.8959879730867127,0.3597479496471019,-0.6395050998776742,0.9708388889880888,0.06127845744825883,-0.9950810900528244,0.8461949864735702,0.6715752756290537,-0.483206618086671,-0.08398402766290515,-0.6080602110163824,-0.012191020987095602,0.2733797719187528,-0.9809121179257969,0.6187994296372066,-0.8347386990996538,-0.19708220482959093,-0.6255961915079825,-0.4203403840011499,0.7681081394725094,-0.44705965947218246,0.17849057740008067,-0.6837440246504219,-0.6537745781910946
