,522740752_KARTING INDOOR PROVENCE,453464893_HENIN BOWL 62,539626283_LES SAVANTS DE GAÏA,424161065_LES ECURIES DES SABLONS,848023974_L'ILE VERTE,844395012_LAC ET FORET,338158405_SILLAGES,840711550_WAM PARK DEVELOPPEMENT,834084998_LE NAUTILE,480983998_ZIDANE SPORT CONCEPT,519657639_PUY DU FOU INTERNATIONAL,822146726_LES NYMPHEAS,830138731_SOCIETE DU GOLF DE DIVONNE,333006138_SOCIETE D'ECONOMIE MIXTE LOCALE DE GESTION DU PORT DE BANDOL,504488735_LASER 94,817391238_RLC CLIMBERS,799904479_CA BEAUFORT EN ANJOU,522933746_CALICEO SAINT HERBLAIN,514054345_Pi Laser,824021299_ENFANCE-JEUNESSE MEDULLIENNE,833029655_ESCAPE DIMENSION,532193968_PARC NATUREO,823147269_GRAVITY,451128607_ALTIPLANO EXPLOITATION,385303706_SWING,802476473_LES ONDINES,493512925_LASER GAME GRENOBLE,484120076_Société d'Exploitation du Musée du Rhum de La Réunion,404899270_EQUILOISIRS - FAE,800444515_LASER GAME EVOLUTION S12 REIMS,799358742_LASER GAME EVOLUTION CHAMBERY,409984846_ESPACEO,847596061_AQUABELLA,478439854_PITCHOUN GYM,751982158_BRETIGNY FD,837934215_SCO ACADEMY,501676167_N'JOY,487740383_STAR RECEPTION,391074242_TEAM ACTIVE GRAND OUEST,518825450_ESPACE OREANE,793383340_AQUAZERGUES,808433023_ENFANCE EN PAYS MORNANTAIS,820742120_ESPACE LOISIRS COLOMIERS,801224627_VITALSPA BOUC BEL AIR,824968002_VILLASPORT,403614951_FUN LOISIRS,412254484_PARC INTERCOMMUNAL D'EQUITATION DU CHATEAU BLEU,515339653_ESL Gaming France,501182323_CALICEO PAU,535310007_ALTIPLANO CONSTRUCTION,440133023_ALRECREA FRANCE,803621143_CA CHATEL,478484603_CENTRE EQUESTRE LES ALLEES CAVALIERES,382818227_SCAN 89,812794303_KARTING DE NANTES,539653105_BEMBOM BROTHERS,344519251_SOCIETE D'ECONOMIE MIXTE DE GESTION DES PORTS DE PLAISANCE ET EQUIPEMENTS PUBLICS DE LOISIRS DU PAYS DE LORIENT,498292143_TEAM ACTIVE ILE DE FRANCE,820641033_GOLDRONE,329045322_SOCIETE ANONYME D ECONOMIE MIXTE D ORGANISATION ET DE GESTIO,809102452_DOCK 39 TERVILLE,399617661_OPERA,438261216_ANIMFIT,833173768_FLY IN LE BEL AIR,490122991_SNC LA LOUE,520945486_FLY ZONE,351499785_TAKA CLUB,442039004_LOISIRS INTERURBAIN LASER,415296466_L EPINETTE DE BOISEMONT,390485514_COMPAGNIE DES BALADES RALLYES,749920765_AQUARENA,794402164_SOPOOL,799358734_LASER GAME EVOLUTION DUNKERQUE,450702824_ZOO DE LA BOISSIERE DU DORE,822027801_LE SANATORIUM,832202600_COSMIC JUMP 54,420877888_SOCIETE D'ECONOMIE MIXTE DE GESTION DU PORT DE FREJUS,815170071_FORMEO,813002565_BIOPOLE LEA NATURE,828622084_RONCQ LOISIRS,499371433_9ème ART +,841531924_CAPSULE CORP,532449188_COMPAGNIE SAUMUROISE DE NAVIGATION - SAINT NICOLAS,832191415_L'AQUACIENNE,524133089_OC'KIDS,445352552_PYRENEES HO
522740752_KARTING INDOOR PROVENCE,1.0,0.8907280604915347,0.9418216820088017,0.4438931108541895,0.5003799340273904,0.95498235574425,-0.8316217700061346,-0.8136270999957783,0.9884351648624202,0.6684089057342821,0.9406883216689489,0.9713448279849257,-0.04444232371868635,-0.44178370961532437,0.8693796466204129,0.9835295372792257,0.9564230877713347,0.9720480019534063,0.9862448408560497,-0.8482823408789428,0.8392961917695773,0.9624304823338921,0.5865601068237913,0.6513502657791965,-0.3773463612993081,0.5946720602148784,0.9179404834647638,0.3909504870176273,0.9719600398307174,0.9592467087674075,0.9320818371432685,0.970959735056571,-0.5870605138992391,0.7430902802799001,0.9926171065779873,0.9999999285474636,-0.7922416992112951,0.9847945983830194,-0.31584997678713406,0.9814015996596938,0.9826343457394144,0.20817638291313784,0.9813516940224889,0.9190257522405507,0.611434694426059,0.9630200752611879,-0.21230105996509563,0.28528413468053565,0.9680310291583216,-0.18035054327276964,0.9976023585886771,0.984683519808296,0.29347207832103733,0.83446463090075,0.9827353517324611,-0.9997112226107543,-0.06972843033615693,0.5919844839115496,0.657444022527439,-0.8922993207678626,0.9827823359458101,0.24875163525986294,0.9952576299624601,0.9949378098101909,0.7114618534111111,-0.17186461738556197,0.9372415766583294,0.8205658705147244,0.7701166246556097,0.9688975964931859,0.743071443542979,0.7816563639317101,0.8994552237343689,0.9914707815249234,0.9085605371679693,0.9484533414849952,-0.5400697454619205,0.7158464701715019,0.9988293093418767,0.892091966896277,0.9880049194145292,0.9381667989155138,0.2609881229685964,0.8393035324966378,0.6438419351934378,0.9549565273672356
453464893_HENIN BOWL 62,0.8907280604915346,1.0,0.686131359276437,0.8026890909820728,0.8392429367333367,0.9854735930963792,-0.4883253783722605,-0.4604587790517072,0.9493547189046363,0.2572889649188496,0.9921090205077527,0.973235908924283,-0.4936735224086638,0.014265453667140184,0.9989877200620411,0.9582136996953048,0.7191952949229719,0.9725475352507946,0.9536067625965613,-0.5148916586778698,0.9947046038551942,0.9806833449161356,0.8905973303520164,0.9250679664595765,0.08482071913254889,0.8951241418067616,0.9979582537585332,0.7665913800417622,0.7588695790908916,0.9828663251926535,0.9948863186077604,0.9736057626728417,-0.15494432518512669,0.9660632489327745,0.9392826838533559,0.89055616934501,-0.4283103071898624,0.9561475377257694,0.14993204681428443,0.7869064233936419,0.9596004028193725,0.6300068419842273,0.9614889000070214,0.6394248351190948,0.9042945330050512,0.9802546399543705,-0.6332776367581741,0.6897580029251438,0.976264032252794,0.2864400027264215,0.9200492832561038,0.797836207425908,0.6959261000191326,0.4928034394781544,0.9594468763009572,-0.9013936412301004,0.3913211949935554,0.8936306743823872,0.9280987088491419,-0.9999939842898615,0.7914083955890199,0.6618193528331178,0.9307185360332173,0.9318965723450429,0.9531331426273343,0.29468872246441835,0.9933155099064372,0.9906923355673235,0.9759148016229898,0.9755048190312053,0.9660559777441637,0.9797419764448876,0.9998083787667297,0.9423702187625357,0.999164492693529,0.9888642912581984,-0.8636024919368368,0.9550082250857539,0.8676976953015512,0.9999954713632754,0.9502343408845426,0.9930045922604034,0.6712527220529139,0.9947059914569077,0.9212806321357356,0.9854883731131096
539626283_LES SAVANTS DE GAÏA,0.9418216820088016,0.6861313592764369,1.0,0.11688414486241056,0.1802600779545267,0.7997109439871416,-0.9698972052230919,-0.961703375527375,0.8799601318813082,0.8795208045683177,0.7719269467127844,0.8349481004616357,0.29392411628471926,-0.7176156673734866,0.6527121497210887,0.8655578753551921,0.9989197337834457,0.8365825445671027,0.8733103290605239,-0.9769173708842848,0.607731326035253,0.8151737476759887,0.2802152277463167,0.3584209569001283,-0.6666578501838492,0.28985085432053087,0.7311941491644323,0.05884334438814982,0.9944486850896636,0.8084639423198916,0.7560987138645636,0.8340582730178694,-0.8250042289830536,0.47493471192121306,0.8941011508006314,0.9419486747769528,-0.9512490280301291,0.869110433066859,-0.6163814026962454,0.9888275256901963,0.8630997218505426,-0.1326841275498259,0.859650387194289,0.9980532658449414,0.3098979852263409,0.816434391984703,0.12850128740744798,-0.05345832265128155,0.8274052400748924,-0.5004595624093439,0.916302343406911,0.9859980100924758,-0.04491474489521549,0.9711357929552511,0.863374907293909,-0.933472697660633,-0.4009666084137646,0.28665380047236816,0.36593278356873404,-0.6886505815260358,0.9877083278800184,-0.09126833653750364,0.9046601306890627,0.9032771501247613,0.43387531668853474,-0.49297761268443174,0.7655183390646634,0.5807207067976834,0.5109050329705879,0.8293535755470578,0.47490994083630367,0.526544124633937,0.700240724115511,0.8899833606042306,0.7152897446165981,0.7867540784005129,-0.2257699209245883,0.43950626315037744,0.9569781133940288,0.6883176157426584,0.8786210839433618,0.7672290527378014,-0.07865968431885474,0.6077420486570916,0.34920460187797503,0.7996586768594479
424161065_LES ECURIES DES SABLONS,0.4438931108541895,0.8026890909820726,0.11688414486241054,1.0,0.9979463677524621,0.6897434381089828,0.12847994129961293,0.15980572497354464,0.5746447421596352,-0.3697966402368184,0.7215798208416963,0.6441486901479769,-0.9149220145414434,0.6077877421152315,0.8287047329794784,0.5985461358581344,0.16290833299387666,0.6418689858465427,0.5859012051432074,0.0979671523613347,0.8597334548174876,0.6705271859170996,0.986110081175303,0.9690547695323282,0.6623330908906548,0.9843906017284417,0.762958530217568,0.9983025169754516,0.2207367228569815,0.6790081743381834,0.738347597439836,0.6453831055699081,0.4648230123426283,0.9295013168469033,0.5493014651080709,0.44355433602342786,0.1951238718291409,0.5928129882585753,0.7100050255233313,0.2636206700504429,0.6024544828497072,0.9688558642551034,0.6078604602934004,0.05471680815527972,0.9804749769214378,0.6689084258471569,-0.969891963458707,0.9854770091455147,0.6544664114806111,0.8013298224012638,0.5048433214634508,0.28086158836905384,0.9868934760635427,-0.12338194892144566,0.6020192885331856,-0.4652982891958343,0.8629467249497736,0.9849727296226998,0.9670339956770386,-0.8006155801224163,0.27068425552150766,0.9783326789555252,0.5289533535734506,0.5316953868359038,0.9455104013770982,0.8064570749195706,0.7284807866056806,0.8763996776396334,0.9134615239137078,0.6518326645953736,0.9295116980171766,0.9058651715339953,0.790860410915313,0.5568923678149837,0.7776439586307826,0.7049946302826273,-0.993892110082335,0.9434539069946206,0.4000267941939031,0.8008905808795859,0.5769433663671912,0.7266538546651049,0.9808742517787923,0.8597265585829983,0.9714400506336817,0.6898064650649665
848023974_L'ILE VERTE,0.5003799340273906,0.8392429367333367,0.18026007795452667,0.9979463677524621,1.0,0.7347062516021926,0.0646919402212599,0.09624571529456372,0.6258874613568499,-0.3095228692279885,0.7644452615497346,0.6918215584451027,-0.8871885266449447,0.555673499140543,0.8628535853900074,0.6486306810381979,0.22577311312613135,0.6896691387480549,0.6366070555527907,0.034019059329503,0.8906835359486006,0.7166716342764641,0.9947240705628025,0.9828764035646848,0.6129822639253725,0.9936425551170536,0.8027999046855612,0.9925217028515094,0.28275842459248135,0.7246385071685343,0.7800313207217567,0.6929867416444826,0.4071538799565344,0.9512171624481487,0.6016993402596285,0.5000525995026256,0.13189935440688108,0.6431816573982923,0.6634396001927871,0.32486846648375955,0.6523429940710826,0.9510045409147193,0.6574746434672243,0.11856351169174219,0.9910574725294846,0.715149709808403,-0.9523004826773984,0.9725760869398029,0.701553816059377,0.7613650053477494,0.5590995665697961,0.34176150872111855,0.9745300028396778,-0.05956296408854543,0.6519297229487374,-0.5210413015007261,0.8288078679929516,0.9940128982750701,0.9813595048388762,-0.8373517982492212,0.3317921107192119,0.9630616503361216,0.5822274382221975,0.5848539707464564,0.9644244697727984,0.7669256398380554,0.7708666942587925,0.9054477837240985,0.9376512106387779,0.6990709949597598,0.9512258463751544,0.9311364013557838,0.8284377346390759,0.6089518429496897,0.8163186773743262,0.7489754688471579,-0.9989198860479761,0.9627508817994619,0.4579119434908033,0.8376026857749087,0.6280776716772913,0.769167622951431,0.9663920653716385,0.8906773974432888,0.9846443758892633,0.7347653029038367
844395012_LAC ET FORET,0.95498235574425,0.9854735930963792,0.7997109439871417,0.6897434381089829,0.7347062516021926,1.0,-0.6294347814171228,-0.6045237185856208,0.9889252677048336,0.417662842965878,0.9989900604871096,0.9981263436813635,-0.33881112138627006,-0.15575322023739793,0.9768364897508934,0.9928743705902757,0.8267463276451874,0.9979397897621403,0.9908820791145919,-0.6529987043632095,0.9628009306947971,0.9996563937414407,0.800423285686152,0.8471288291731459,-0.08562812667658613,0.8064086747568875,0.994308396379094,0.6464025512277618,0.8584456389877614,0.9998916055861221,0.9975870758997896,0.9982238538335431,-0.3204712832141727,0.9081621039715588,0.9839140490634499,0.9548701407773479,-0.5755511237512111,0.9919985131399882,-0.02015496410086144,0.8802721130110965,0.9934449598809173,0.4889678842947622,0.9941982883907678,0.7607097221471668,0.8186569490973656,0.9995968805751757,-0.49264374042861314,0.5567755071553399,0.9988645740122313,0.11956646199413432,0.9732236191620177,0.8886318853586145,0.5638605071181865,0.6334196590097259,0.9933824965785671,-0.9618355689717198,0.22935110911188464,0.8044297722891479,0.8513837184069513,-0.9860567375538154,0.8837263023434762,0.52489112078657,0.9793110629698792,0.9799604378891484,0.8879056614531052,0.12812075810168375,0.9984896914546155,0.9531840228409226,0.9246897872527731,0.9986928339562099,0.9081503203026107,0.9314992694659433,0.9886092617865333,0.9855008898464085,0.9915910390229384,0.9997735697162394,-0.7654343365469661,0.8907676988157351,0.9395137114718817,0.9859802343957912,0.9893386181547223,0.9986324559355468,0.5356199268107142,0.9628045790608029,0.8418516068454447,0.9999999962110668
338158405_SILLAGES,-0.8316217700061347,-0.4883253783722605,-0.9698972052230919,0.12847994129961293,0.0646919402212599,-0.6294347814171228,1.0,0.9994989343095365,-0.7377898110335805,-0.9689237836791028,-0.5938847519215442,-0.6758007002763251,-0.5178345363788948,0.8656066502188482,-0.44857548888543375,-0.7175478305254265,-0.9575335797943416,-0.6779917582874849,-0.7283895734086387,0.9995284382098076,-0.39605148860530665,-0.6495870032924925,-0.038021142898822406,-0.12029587808376259,0.8280966502446506,-0.048064470387107684,-0.5430648772719542,0.18602075403873466,-0.9388897301908976,-0.6408073832829659,-0.5739679832354926,-0.6746094841966953,0.9377859218086048,-0.24633978784107674,-0.7581244741302517,-0.8318316455044236,0.9977195225350389,-0.7225010019983876,0.7895817071141064,-0.922761738219382,-0.7141349163424986,0.37005160302389095,-0.7093650395502192,-0.983196424764824,-0.06904275954481809,-0.6512427405543668,-0.3661288468915281,0.29501557604829354,-0.6657388691911098,0.6962196001977623,-0.7911945543479125,-0.9157089130217879,0.28683164074597806,-0.9999867958358776,-0.714516412235939,0.8180363852116607,0.6119784285593061,-0.044729295910033016,-0.12829234703411344,0.49134937981013665,-0.9199121972543173,0.3310192603738386,-0.773657476785279,-0.7716041584409813,-0.20141430176335431,0.6900056281281358,-0.5857933091481559,-0.3649933740568704,-0.286191074569574,-0.6683301751230181,-0.246312507094305,-0.30367018419832265,-0.5053147163014281,-0.7521513730225969,-0.5235826289874942,-0.6127570951249816,-0.018253698267945116,-0.2075413637690153,-0.8575121437601073,-0.490949465694522,-0.7358890837585754,-0.587949508951766,0.3190519886750202,-0.3960638866755849,-0.11050796550398019,-0.6293671358102091
840711550_WAM PARK DEVELOPPEMENT,-0.8136270999957784,-0.4604587790517071,-0.961703375527375,0.15980572497354464,0.0962457152945637,-0.6045237185856208,0.9994989343095365,1.0,-0.7160537312450642,-0.9762678327284804,-0.5681211594793468,-0.6521315208921299,-0.5446531671909844,0.8810221063940625,-0.42006146739719025,-0.6951420383104171,-0.9479276897308653,-0.6543852575380231,-0.7063374785492857,0.9980556653063217,-0.36678882581180394,-0.6251965301904183,-0.006372485604953383,-0.08881296670367164,0.8454256433912116,-0.016424476743920117,-0.5162144608067932,0.21702756997588168,-0.9275239249412764,-0.6161866240463996,-0.5477608656034223,-0.6509063876466877,0.9483062183076462,-0.21553928060734903,-0.7371037008816639,-0.8138468223792289,0.9993560265780153,-0.7002554014398936,0.8086094828598334,-0.9101014224478913,-0.6916200867666188,0.39927170340471413,-0.6866996171349737,-0.976925591215938,-0.03743120386891153,-0.626896314137036,-0.39540006806024597,0.3251114717643269,-0.6417866810659002,0.7185918213335515,-0.771440571814972,-0.9025307739779582,0.31701040638654027,-0.9993230781942593,-0.6920137172114074,0.79942104245386,0.6367049353166608,-0.013086070160531522,-0.09683713488009131,0.46353504503693,-0.9070395458095646,0.3607214499799065,-0.7532146753896388,-0.7510832884037186,-0.1703095687000303,0.7125700910961129,-0.559846693354731,-0.33534169719215934,-0.2557191235451858,-0.6444501237702193,-0.21551179406409174,-0.2733602513810632,-0.47774747227913644,-0.7309158075883349,-0.49635315011699743,-0.5874360064685703,-0.04989177127648459,-0.17647407259080153,-0.8407984144152819,-0.46312819402693545,-0.7140883854353185,-0.562051281058749,0.3488903682455141,-0.3668013869363492,-0.07899396471124874,-0.604454372635231
834084998_LE NAUTILE,0.9884351648624202,0.9493547189046362,0.8799601318813082,0.5746447421596352,0.6258874613568499,0.9889252677048336,-0.7377898110335805,-0.7160537312450643,1.0,0.5478869132637041,0.9812580023322461,0.9961533326525501,-0.19542259687854446,-0.3006313814365758,0.9342595362562557,0.9995644634375872,0.9010845120721158,0.9964097562801815,0.9999044819644007,-0.7581698546680727,0.9120348769300627,0.992475775561092,0.7025940347808696,0.7588815716181186,-0.23254905225199937,0.709711814113219,0.9674846050381297,0.5260041896568166,0.9250609722428647,0.9910032301499967,0.9762351920429864,0.9960105223561152,-0.4575088502017684,0.835975439815028,0.9995305727647879,0.9883777685508621,-0.6905452167226094,0.9997496388220333,-0.16831594078708095,0.9409413636086807,0.9994082834111064,0.35409060601316356,0.9991516750705046,0.8486196569186973,0.7243587341214439,0.9927403158925604,-0.3580330746128789,0.42732706919342883,0.9948728645671352,-0.029107344845537817,0.996560001283859,0.9468564803275252,0.43504494949805167,0.7412489742938252,0.9994268855121772,-0.9917938304010442,0.08235294039517481,0.7073557244924995,0.7641051136914596,-0.9504388729111809,0.9433977851088653,0.39275235464424424,0.9984986798573096,0.9986706191640401,0.8097979529756645,-0.02048933460943159,0.979277893073964,0.8977486298404667,0.8579445794021203,0.9952186029654972,0.8359599927539902,0.8671984601400706,0.9553235929138575,0.9997682297124119,0.9614029836581253,0.9855431895121753,-0.6614506527237364,0.8134544670494525,0.9799424345079842,0.9502960320643581,0.99999604787954,0.9798137396275711,0.40435823281473887,0.912040414271773,0.7524277639640395,0.9889123443503891
480983998_ZIDANE SPORT CONCEPT,0.6684089057342822,0.25728896491884967,0.8795208045683178,-0.3697966402368184,-0.3095228692279885,0.41766284296587797,-0.9689237836791028,-0.9762678327284804,0.5478869132637041,1.0,0.3764159784526967,0.47247457377034985,0.7133534643528471,-0.9625658368363093,0.21355919428377632,0.5229610127468587,0.856457942182371,0.4750959457052172,0.5362723803445265,-0.9608712844447741,0.15661125133536172,0.4413360513546462,-0.21034101129705735,-0.1290056167450576,-0.941028628609413,-0.20050276011572643,0.318483029371131,-0.42328193308506357,0.8245669964920933,0.43099523849349447,0.3535740759863788,0.4710506541374356,-0.9945297515515222,-0.001052232544649459,0.5732592901853063,0.668690032838819,-0.98341003003868,0.5290315274162615,-0.9168354989267371,0.79876064381603,0.5187886843690039,-0.5883515063721303,0.5129714993197673,0.9074867359326627,-0.17987201259156363,0.4432910362215095,0.5849347953601427,-0.5221977010961503,0.46047435606428055,-0.8521454863016127,0.6153309500335307,0.7878526658639945,-0.5148836612289055,0.9676398376851063,0.5192546483453448,-0.6503420423997286,-0.7885907309060355,-0.20377260813127734,-0.12100987032496897,-0.26063927262897296,0.7943291264502279,-0.5541467548102333,0.5928871721277607,0.5902795282044082,-0.04713500055948006,-0.8476026295113416,0.3671140031362432,0.12335660329371252,0.04028429197465711,0.46355901891996043,-0.0010803806021816799,0.058554808730768876,0.2761562810507135,0.5657698527443601,0.2965676124673772,0.3982338403977886,0.26500468709900465,-0.040881749714259605,0.7036064429981667,0.2601960095830136,0.5455328265217085,0.36958978369573836,-0.5435688237848356,0.15662458691280373,-0.13877064415182283,0.4175837467172491
