Account,2023,2022,2021,2020,2019,2018,2017,2016
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,1916166.0,5943396.0,5063629.0,-9219782.0,1197645.0,-427061.0,744963.0,613252.0
_resultat_dexploitation_i__ii,2699190.0,10212033.0,6485698.0,-6233896.0,4668481.0,1886087.0,2894757.0,2602296.0
_resultat_exceptionnel_vii__viii,154969.0,2794742.0,2256177.0,144371.0,-414313.0,184225.0,953990.0,-476837.0
_resultat_financier_v__vi,-726467.0,-4268636.0,-1263289.0,-3539293.0,-3441503.0,-2313141.0,-2149793.0,-1993309.0
achats_de_marchandises_y_compris_droits_de_douane,11993769.0,11220730.0,6350298.0,5242610.0,6727646.0,7521010.0,4342214.0,5028540.0
achats_de_matieres_premieres_et_autres_approvisionnements,9388701.0,7119482.0,2269704.0,1254294.0,1550306.0,1943701.0,1095620.0,1461703.0
autres_achats_et_charges_externes,103075963.0,124115172.0,72963595.0,57516547.0,68802012.0,53229149.0,47141227.0,40378292.0
autres_charges,7763126.0,4134788.0,3282481.0,2591440.0,2846439.0,1456764.0,2034427.0,1955651.0
autres_interets_et_produits_assimiles,1206544.0,189046.0,51203.0,31744.0,223327.0,131651.0,85676.0,52321.0
autres_produits,4734858.0,4354063.0,2598505.0,1718636.0,1909461.0,1696566.0,1563950.0,1417044.0
benefice_attribue_ou_perte_transferee_iii,-57604.0,25570.0,2237761.0,2048139.0,7712727.0,2429506.0,3283962.0,3198817.0
benefice_ou_perte_total_des_produits__total_des_charges,1266186.0,8153456.0,5946711.0,-9618966.0,-536000.0,-765707.0,1410418.0,166658.0
charges_exceptionnelles_sur_operations_de_gestion,1427886.0,772408.0,1164065.0,1093701.0,524615.0,465297.0,300994.0,630558.0
charges_exceptionnelles_sur_operations_en_capital,825643.0,1086334.0,3002983.0,511323.0,256289.0,197621.0,1900513.0,152362.0
charges_nettes_sur_cessions_de_valeurs_mobilieres_de_placement,1528.0,0.0,0.0,0.0,1302700.0,0.0,0.0,0.0
charges_sociales,16829300.0,15332477.0,9541957.0,6798050.0,12462027.0,9895402.0,8328740.0,6311989.0
chiffres_daffaires_nets,192336908.0,207218004.0,112210967.0,83807057.0,124415148.0,98958641.0,83114602.0,67824179.0
differences_negatives_de_change,192263.0,5983.0,88233.0,4996.0,9643.0,6780.0,2114.0,1301.0
differences_positives_de_change,102835.0,28613.0,199924.0,8116.0,256.0,812.0,278.0,1439.0
dot_dexploit__dotations_aux_amortissements,13682096.0,13806003.0,13589309.0,11031993.0,10032153.0,9129723.0,7513740.0,6762439.0
dot_dexploit__dotations_aux_provisions,613756.0,793611.0,662180.0,674141.0,309392.0,610878.0,297839.0,200106.0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,1792233.0,1906301.0,790120.0,931825.0,1189173.0,1078201.0,1389106.0,1015778.0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,529264.0,845772.0,757413.0,735920.0,365150.0,322849.0,137189.0,167555.0
dotations_exceptionnelles_aux_amortissements_et_provisions,518500.0,662722.0,325107.0,388356.0,601688.0,273926.0,702884.0,416523.0
dotations_financieres_sur_amortissements_et_provisions,382421.0,3288451.0,814620.0,1408426.0,38920.0,10225.0,3506.0,26305.0
impots_sur_les_benefices,1511898.0,419396.0,987326.0,466069.0,1087618.0,415062.0,231755.0,-68158.0
