Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,11530,21760,33718,36946,29493,35831,0,0
fonds_commercial,523043,413043,507995,784331,784331,784331,0,0
constructions,10637,15181,19790,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,29263,25434,27612,6982,10574,5443,0,0
autres_immobilisations_corporelles,305510,350097,261267,225975,223815,279416,0,0
immobilisations_en_cours,46895,9170,23170,23170,30601,13750,0,0
autres_participations,501480,501480,501480,169204,169204,141405,0,0
autres_titres_immobilises,229,229,229,229,229,754,0,0
autres_immobilisations_financieres,28218,13629,13629,7110,7133,7165,0,0
total_i__immobilisations,1736183,1350024,1388891,1253948,1255381,1268095,0,0
matieres_premieres_approvisionnements,542671,575601,510881,243867,306742,435712,0,0
produits_intermediaires_et_finis,1154200,1207470,1091436,1421789,1466958,1337796,0,0
avances_et_acomptes_verses_sur_commandes,4665,12000,0,4015,18773,15611,0,0
clients_et_comptes_rattaches,1753436,1571732,1405944,870025,1224313,1195413,0,0
autres_creances,51518,65900,80516,268858,41337,40906,0,0
disponibilites,1643445,1193993,2200887,1435180,218744,190792,0,0
charges_constatees_davance,436818,441230,104985,429905,267441,194235,0,0
total_ii__actif_circulant,5586753,5067925,5394649,4673639,3544308,3410464,0,0
ecarts_de_conversion_actif,6,4033,8356,206,0,4556,0,0
total_general__actif,7322942,6421981,6791895,5927792,4799689,4683115,0,0
parts_a_plus_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,2000000,2000000,2000000,2000000,2000000,2000000,0,0
primes_demission_de_fusion_dapport,49794,49794,49794,49794,49794,49794,0,0
reserve_legale,200000,200000,200000,200000,200000,160000,0,0
reserves_statutaires_ou_contractuelles,1300594,1258518,1048683,989675,590500,120971,0,0
resultat_de_lexercice_benefice_ou_perte,706446,395076,309835,259008,399175,509529,0,0
subventions_dinvestissement,1223,1492,2107,0,0,0,0,0
total_i__capital_social,4258056,3904879,3610419,3498476,3239469,2840294,0,0
provisions_pour_risques,6,3827,6734,0,0,4556,0,0
total_iii__provisions,6,3827,6734,0,0,4556,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,441704,526966,1883539,1132583,265035,556668,0,0
emprunts_et_dettes_financieres_divers,700000,315400,0,3501,24508,60278,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,63178,44625,52171,44411,9992,7245,0,0
dettes_fournisseurs_et_comptes_rattaches,1430645,1201156,689579,974118,1024137,897743,0,0
dettes_fiscales_et_sociales,403719,399095,535407,249833,219884,270952,0,0
autres_dettes,18522,12507,13446,21122,9722,40338,0,0
total_iv__dettes,3057767,2499749,3174142,2425569,1553277,1833224,0,0
dettes_diverses,7113,13526,600,3747,6943,5041,0,0
total_general__passif,7322942,6421981,6791895,5927792,4799689,4683115,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,2100380,1797641,2747053,0,1388445,1546347,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,2862,3133,3188,0,0,0,0,0
emprunts_participatifs,700000,315400,0,3501,0,0,0,0
frais_de_developpement_ou_de_recherche_et_developpement,0,0,0,0,0,0,0,0
avances_et_acomptes,279378,0,0,0,0,0,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
