Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,1599,1753,2960,0,3314,5054,6807,0
fonds_commercial,30490,30490,30490,0,30490,30490,30490,0
constructions,0,0,0,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,956,467,1625,0,2132,3525,5054,0
autres_immobilisations_corporelles,2191,826,3164,0,19230,43774,74998,0
total_i__immobilisations,35235,33536,38239,0,55166,82842,117348,0
marchandises,3004800,2885184,2915779,0,3512770,3576335,3494551,0
clients_et_comptes_rattaches,925086,1376677,1581100,0,1313315,1285337,1096888,0
autres_creances,81873,38437,22216,0,41873,126627,104423,0
disponibilites,434730,307811,995006,0,283011,125682,276666,0
charges_constatees_davance,21771,20730,16053,0,50033,49026,26123,0
total_ii__actif_circulant,4468259,4628840,5530155,0,5201002,5163008,4998652,0
total_general__actif,4503494,4662375,5568922,0,5256169,5248340,5116646,0
capital_social_ou_individuel,1495616,1495616,1495616,0,1495616,1495616,1495616,0
reserve_legale,149562,149562,149562,0,149562,149562,149562,0
autres_reserves,388769,388769,388769,0,388769,388769,388769,0
report_a_nouveau,1930478,1704547,2460203,0,2232923,2304126,2362751,0
resultat_de_lexercice_benefice_ou_perte,57106,216674,244345,0,193500,-71203,-58625,0
total_i__capital_social,4021531,3955169,4738495,0,4461138,4269549,4343292,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,1683,1410,0,1509,1469,1575,0
emprunts_et_dettes_financieres_divers,234077,333097,421621,0,446869,477451,420322,0
dettes_fournisseurs_et_comptes_rattaches,106573,120541,123650,0,110214,295988,130732,0
dettes_fiscales_et_sociales,130877,236114,274382,0,223394,190130,205970,0
autres_dettes,10436,7096,160,0,3771,97,5147,0
total_iv__dettes,481963,698530,821223,0,785756,965135,763746,0
total_general__passif,4503494,4662375,5568922,0,5256169,5248340,5116646,0
dettes_et_produits_constates_davance_a_moins_dun_an,481963,0,821223,0,785756,965135,763746,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,1683,1410,0,1509,1469,1575,0
ecarts_de_conversion_actif,0,0,529,0,0,2490,646,0
provisions_reglementees,0,0,0,0,768,2679,5219,0
provisions_pour_risques,0,8676,9205,0,8676,11166,9322,0
total_iii__provisions,0,8676,9205,0,8676,11166,9322,0
dettes_diverses,0,0,0,0,599,2490,286,0
emprunts_participatifs,0,333097,421621,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,0,0
