Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,70174,120574,115068,166670,179502,219597,0,0
fonds_commercial,15245,15245,15245,15245,15244,15244,0,0
terrains,14297,21919,30725,39531,48337,57913,0,0
constructions,378563,407510,463293,520122,580678,649463,0,0
installations_techniques_materiel_et_outillage_industriels,895410,971217,1072633,1199809,1519067,1468182,0,0
autres_immobilisations_corporelles,98299,67627,96623,140561,179587,199885,0,0
avances_et_acomptes,0,0,0,423,0,0,0,0
autres_participations,87655,87655,87655,97695,97694,97694,0,0
autres_titres_immobilises,213,213,213,213,213,213,0,0
autres_immobilisations_financieres,38098,38399,38399,53633,43391,57264,0,0
total_i__immobilisations,1609606,1768448,1934496,2233902,2749399,2817563,0,0
marchandises,6171987,6757318,5913430,6036501,6362534,6826399,0,0
clients_et_comptes_rattaches,6484430,6342500,5669877,4685913,5527975,6270988,0,0
autres_creances,705674,700171,907747,1007902,614543,1075937,0,0
disponibilites,4994063,4011110,5026891,4132032,1722181,2129204,0,0
charges_constatees_davance,361744,239035,231045,247031,211540,229302,0,0
total_ii__actif_circulant,18717897,18050134,17748989,16109379,14438775,16531831,0,0
total_general__actif,20327504,19818582,19714329,18343280,17188175,19349394,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
parts_a_plus_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,1500000,1500000,1500000,1500000,1500000,1500000,0,0
reserve_legale,150000,150000,150000,150000,150000,150000,0,0
autres_reserves,11055285,9930294,8907103,9296172,9390515,8934232,0,0
resultat_de_lexercice_benefice_ou_perte,1508048,1204027,1181261,-389069,56951,607578,0,0
total_i__capital_social,14213334,12784320,11738364,10557103,11120821,11235066,0,0
provisions_pour_risques,269618,75763,70471,264651,39284,52167,0,0
total_iii__provisions,314118,97263,353021,264651,39284,52167,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,1305326,1836813,2105759,2414774,1717140,2710234,0,0
emprunts_et_dettes_financieres_divers,405172,418791,672590,719955,679979,629723,0,0
dettes_fournisseurs_et_comptes_rattaches,1804364,2287350,2545316,2306430,2054970,2935221,0,0
dettes_fiscales_et_sociales,1576911,1732752,1659289,1464345,1178551,1283668,0,0
dettes_sur_immobilisations_et_comptes_rattaches,50273,35438,56991,53897,0,128611,0,0
autres_dettes,631647,536267,582999,509497,373851,371374,0,0
total_iv__dettes,5773692,6847410,7622944,7468899,6004493,8058832,0,0
dettes_diverses,26360,89589,0,52628,23576,3329,0,0
total_general__passif,20327504,19818582,19714329,18343280,17188175,19349394,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,5007742,5546000,5838826,5375770,6004493,8000371,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,5716,5637,5606,150761,0,0,0,0
autres_immobilisations_incorporelles,0,0,0,0,85681,52101,0,0
provisions_reglementees,0,0,0,0,23355,43255,0,0
prets,11653,13151,14641,0,0,0,0,0
provisions_pour_charges,44500,21500,282550,0,0,0,0,0
immobilisations_en_cours,0,24938,0,0,0,0,0,0
ecarts_de_conversion_actif,0,0,30844,0,0,0,0,0
emprunts_participatifs,0,0,0,0,0,629723,0,0
