Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,258664,0,0,0,0,0,0,0
fonds_commercial,15245,15245,15245,15244,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,254,1012,1579,0,0,0,0
autres_immobilisations_corporelles,223395,159587,47821,62712,0,0,0,0
autres_immobilisations_financieres,30041,28372,27557,27706,0,0,0,0
total_i__immobilisations,527346,203457,91635,107243,0,0,0,0
marchandises,4640381,2743311,2513464,900224,0,0,0,0
avances_et_acomptes_verses_sur_commandes,195,0,0,0,0,0,0,0
clients_et_comptes_rattaches,2220446,2506929,1852157,1934240,0,0,0,0
autres_creances,638913,648173,2005559,2372523,0,0,0,0
disponibilites,508968,174856,356086,326057,0,0,0,0
charges_constatees_davance,110355,122135,204753,25733,0,0,0,0
total_ii__actif_circulant,8119259,6195404,6932018,5558778,0,0,0,0
total_general__actif,8646605,6398862,7026255,5666022,0,0,0,0
capital_social_ou_individuel,125000,125000,125000,125000,0,0,0,0
reserve_legale,12500,12500,12500,12500,0,0,0,0
autres_reserves,1380000,1100000,1460000,1270000,0,0,0,0
report_a_nouveau,46107,37438,38316,32226,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,-871189,288669,-360878,196090,0,0,0,0
total_i__capital_social,692418,1563607,1274938,1635816,0,0,0,0
provisions_pour_risques,98380,147840,355091,118895,0,0,0,0
provisions_pour_charges,145785,121210,163330,170794,0,0,0,0
total_iii__provisions,244165,269050,518421,289689,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,2653,1252,1483,593,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,3449510,2898822,3915049,2421352,0,0,0,0
dettes_fiscales_et_sociales,1027306,654807,492714,573650,0,0,0,0
autres_dettes,3230551,1003024,0,46230,0,0,0,0
produits_constates_davance,0,8300,0,0,0,0,0,0
total_iv__dettes,7710022,4566205,5232896,3693772,0,0,0,0
total_general__passif,8646605,6398862,7026255,5666022,0,0,0,0
ecarts_de_conversion_actif,0,0,2601,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,0,651945,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,72262,0,0,0,0,0
dettes_diverses,0,0,0,46745,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,3286307,0,0,0,0
dettes_sur_immobilisations_et_comptes_rattaches,0,0,751389,0,0,0,0,0
