Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,25162,32724,28175,12830,0,1530,0,0
fonds_commercial,15278,15278,15278,15278,0,15278,0,0
terrains,3449,4611,2995,3993,0,1525,0,0
constructions,3639,5478,8274,11070,0,16662,0,0
installations_techniques_materiel_et_outillage_industriels,28010,33497,53756,31551,0,70963,0,0
autres_immobilisations_corporelles,393220,288605,292039,369349,0,396454,0,0
autres_participations,9980,9980,9980,9980,0,9980,0,0
autres_immobilisations_financieres,24066,23926,24244,24244,0,24244,0,0
total_i__immobilisations,502803,414098,434741,478295,0,536636,0,0
marchandises,2796512,3283630,2931830,2530159,0,2729431,0,0
avances_et_acomptes_verses_sur_commandes,0,250,0,0,0,0,0,0
clients_et_comptes_rattaches,1520918,1788047,1970114,1779590,0,2018518,0,0
autres_creances,227625,83551,58097,84989,0,198996,0,0
disponibilites,5829639,5744629,4964948,4486622,0,3853241,0,0
charges_constatees_davance,116469,116747,69443,134856,0,124828,0,0
total_ii__actif_circulant,10491163,11016854,9994432,9016216,0,8925013,0,0
total_general__actif,10993966,11430953,10429173,9494511,0,9461650,0,0
capital_social_ou_individuel,300000,300000,300000,300000,0,300000,0,0
reserve_legale,30000,30000,30000,30000,0,30000,0,0
autres_reserves,5731170,5380902,5126594,4930763,0,4648790,0,0
resultat_de_lexercice_benefice_ou_perte,2068477,2350268,2254308,1245831,0,1876833,0,0
total_i__capital_social,8129647,8061170,7710902,6506594,0,6855623,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,817,559,1000000,0,1052,0,0
emprunts_et_dettes_financieres_divers,1023054,1145024,69725,40256,0,16,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,729,729,675,0,0,426,0,0
dettes_fournisseurs_et_comptes_rattaches,1146578,1495834,1360579,1128709,0,1836413,0,0
dettes_fiscales_et_sociales,619220,672876,1238417,812953,0,737335,0,0
autres_dettes,74738,54503,48316,6000,0,30786,0,0
total_iv__dettes,2864319,3369783,2718271,2987918,0,2606027,0,0
total_general__passif,10993966,11430953,10429173,9494511,0,9461650,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,2606027,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,1052,0,0
