Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,1750,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,5867,395,959,1974,1108,1956,0,0
total_i__immobilisations,5867,395,959,1974,1108,3706,0,0
marchandises,390734,292640,228169,247109,292980,295278,0,0
clients_et_comptes_rattaches,42098,70104,26230,23387,129800,137446,0,0
autres_creances,42285,69293,46072,41789,48404,49384,0,0
disponibilites,112961,53785,80987,37972,66439,32857,0,0
charges_constatees_davance,15451,967,0,0,0,0,0,0
total_ii__actif_circulant,603528,486789,381458,350257,537623,514964,0,0
total_general__actif,609395,487184,382417,352231,538731,518671,0,0
capital_social_ou_individuel,100000,100000,100000,100000,100000,100000,0,0
reserve_legale,10000,10000,10000,10000,10000,10000,0,0
autres_reserves,171104,171104,171104,171104,171104,171104,0,0
report_a_nouveau,-294135,-296766,-323952,-327978,-350192,-364907,0,0
resultat_de_lexercice_benefice_ou_perte,-10121,2631,27185,4027,22214,14715,0,0
total_i__capital_social,-23151,-13030,-15662,-42847,-46874,-69088,0,0
provisions_pour_risques,0,0,91000,91000,91000,91000,0,0
total_iii__provisions,0,0,91000,91000,91000,91000,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,11142,270,13022,24935,25215,162557,0,0
emprunts_et_dettes_financieres_divers,394603,6321,7799,106118,104830,103165,0,0
dettes_fournisseurs_et_comptes_rattaches,195617,461156,261265,155614,356524,177286,0,0
dettes_fiscales_et_sociales,28068,24498,8525,3696,2638,11299,0,0
autres_dettes,3117,7970,16468,13716,5398,42451,0,0
total_iv__dettes,632546,500214,307079,304078,494605,496758,0,0
total_general__passif,609395,487184,382417,352231,538731,518671,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,632546,0,307079,304078,495033,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,11142,0,12452,0,0,0,0,0
emprunts_participatifs,0,0,0,0,0,103165,0,0
