Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,874,2289,3703,0,179,0,0,0
fonds_commercial,152449,152449,152449,152449,152449,152449,0,0
constructions,15246,13835,16035,18235,20435,22635,0,0
autres_immobilisations_corporelles,422001,308967,22051,17764,29110,40814,0,0
autres_titres_immobilises,30,31,31,31,31,31,0,0
autres_immobilisations_financieres,22544,21158,24234,12801,12354,13611,0,0
total_i__immobilisations,613147,500228,218502,201279,214557,229538,0,0
marchandises,1011305,846546,626264,647233,622638,606952,0,0
avances_et_acomptes_verses_sur_commandes,0,0,2220,2489,2365,2715,0,0
autres_creances,54366,94589,28249,21847,37920,72937,0,0
valeurs_mobilieres_de_placement,748000,800000,800000,650000,650000,545000,0,0
disponibilites,207688,144287,217962,278677,184400,118643,0,0
charges_constatees_davance,25087,28618,302,343,2831,279,0,0
total_ii__actif_circulant,2046448,1914041,1674997,1600589,1500154,1346525,0,0
total_general__actif,2659595,2414269,1893499,1801868,1714711,1576064,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,8000,8000,8000,8000,8000,8000,0,0
reserve_legale,800,800,800,800,800,800,0,0
autres_reserves,1647845,1562154,1469006,1367069,1291524,1171068,0,0
resultat_de_lexercice_benefice_ou_perte,174452,85691,93148,101937,75545,120456,0,0
total_i__capital_social,1831097,1656645,1570954,1477806,1375869,1300324,0,0
provisions_pour_risques,0,0,13900,10900,10900,0,0,0
total_iii__provisions,0,0,13900,10900,10900,0,0,0
emprunts_et_dettes_financieres_divers,23206,13856,5975,0,27134,1572,0,0
dettes_fournisseurs_et_comptes_rattaches,253891,544231,86747,118964,147597,143658,0,0
dettes_fiscales_et_sociales,262505,199537,213185,194198,153050,130417,0,0
autres_dettes,0,0,2737,0,0,0,0,0
total_iv__dettes,828498,757624,308645,313162,327942,275740,0,0
total_general__passif,2659595,2414269,1893499,1801868,1714711,1576064,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,757624,308645,313162,327942,275740,0,0
immobilisations_en_cours,0,1500,0,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,288893,0,0,0,160,93,0,0
emprunts_participatifs,23206,0,0,0,0,0,0,0
