Libellé,2023,2022,2021,2020,2019,2018,2017,2016
installations_techniques_materiel_et_outillage_industriels,3104,1314,1201,0,0,0,0,0
autres_immobilisations_corporelles,15066,21464,28371,0,0,0,0,0
autres_immobilisations_financieres,6555,6555,6589,0,0,0,0,0
total_i__immobilisations,24725,29333,36160,0,0,0,0,0
marchandises,469170,433857,337458,0,0,0,0,0
clients_et_comptes_rattaches,133,2654,2882,0,0,0,0,0
autres_creances,17373,6169,23573,0,0,0,0,0
disponibilites,382548,368739,309114,0,0,0,0,0
charges_constatees_davance,3218,2770,3000,0,0,0,0,0
total_ii__actif_circulant,872443,814189,676027,0,0,0,0,0
total_general__actif,897168,843522,712187,0,0,0,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,10000,10000,10000,0,0,0,0,0
reserve_legale,1000,1000,1000,0,0,0,0,0
autres_reserves,297691,297691,261416,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,42065,79041,36275,0,0,0,0,0
total_i__capital_social,429797,387732,308691,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,2487,1373,0,0,0,0,0
emprunts_et_dettes_financieres_divers,118538,54771,12428,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,110469,45107,154003,0,0,0,0,0
dettes_fiscales_et_sociales,225719,349788,234839,0,0,0,0,0
autres_dettes,12645,3638,855,0,0,0,0,0
total_iv__dettes,467372,455790,403497,0,0,0,0,0
total_general__passif,897168,843522,712187,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,467372,455790,0,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,2487,0,0,0,0,0,0
report_a_nouveau,79041,0,0,0,0,0,0,0
