Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,200000,0,0,0,0
autres_immobilisations_corporelles,18691,24581,32363,16589,0,0,0,0
autres_immobilisations_financieres,86809,85020,83757,66313,0,0,0,0
total_i__immobilisations,425500,429601,436120,282902,0,0,0,0
marchandises,695000,1262500,1725500,1472500,0,0,0,0
clients_et_comptes_rattaches,300930,310759,312182,379576,0,0,0,0
autres_creances,33103,88430,23065,38060,0,0,0,0
disponibilites,312566,139738,161074,77485,0,0,150413,44472
charges_constatees_davance,156,255,0,133724,0,0,10562,10672
total_ii__actif_circulant,1341754,1801681,2377306,2101344,0,0,0,0
total_general__actif,1767254,2231282,2813426,2384246,0,0,0,0
capital_social_ou_individuel,20000,20000,20000,20000,0,0,8000,8000
reserve_legale,2000,2000,2000,800,0,0,800,800
report_a_nouveau,0,78829,34990,812,0,0,-129609,-128451
resultat_de_lexercice_benefice_ou_perte,50411,51324,43839,35378,0,0,0,0
total_i__capital_social,202564,152153,100829,56990,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,75695,105550,135235,150000,0,0,0,0
emprunts_et_dettes_financieres_divers,789,635,758,11805,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,1318526,1801024,2418644,2017905,0,0,0,0
dettes_fiscales_et_sociales,169612,171919,156424,126603,0,0,0,0
autres_dettes,69,0,1536,20943,0,0,162477,180862
total_iv__dettes,1564690,2079129,2712597,2327256,0,0,0,0
total_general__passif,1767254,2231282,2813426,2384246,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,1519138,2079129,2712597,2327256,0,0,0,0
fonds_commercial,320000,320000,320000,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,0,155485,0,0,0,13948,0
ecarts_de_reevaluation,0,0,1,0,0,0,0,0
emprunts_participatifs,0,0,758,0,0,0,0,0
immobilisations_incorporelles__fonds_commercial,0,0,0,0,0,0,200000,200000
immobilisations_corporelles,0,0,0,0,0,0,26349,31237
immobilisations_financieres,0,0,0,0,0,0,49776,49776
total_actif_immobilise,0,0,0,0,0,0,276125,281013
stock_marchandises,0,0,0,0,0,0,702888,611204
creances__clients_et_comptes_rattaches,0,0,0,0,0,0,96226,89456
creances__autres,0,0,0,0,0,0,22000,119007
total_actif_circulant__charges_constatees_davance,0,0,0,0,0,0,996037,874811
total_general_actif,0,0,0,0,0,0,1272162,1155824
resultat_de_lexercice,0,0,0,0,0,0,106768,-1158
total_des_capitaux_propres__total_i,0,0,0,0,0,0,-14041,-120809
emprunts_et_dettes_assimilees,0,0,0,0,0,0,756,756
fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,1122970,1095016
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
total_des_dettes,0,0,0,0,0,0,1286203,1276634
total_general_passif,0,0,0,0,0,0,1272162,1155824
reserves_reglementees,130153,0,0,0,0,0,0,0
