Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,9507,33176,63064,113462,65105,65965,0,0
fonds_commercial,240000,240000,240000,240000,240000,240000,0,0
terrains,9999,9999,9999,9999,9999,9999,0,0
constructions,144631,137387,157405,178822,196677,214554,0,0
installations_techniques_materiel_et_outillage_industriels,59154,91058,128578,158473,52289,73458,0,0
autres_immobilisations_corporelles,228800,114333,158682,214342,130545,144476,0,0
immobilisations_en_cours,18869,0,8575,0,15500,0,0,0
autres_participations,150000,150000,151000,151000,151000,1000,0,0
autres_immobilisations_financieres,9331,3996,5520,5875,4740,4740,0,0
total_i__immobilisations,870292,779948,922823,1071973,865857,754192,0,0
matieres_premieres_approvisionnements,59708,229911,93105,65602,31180,41934,0,0
marchandises,5906323,4724622,3950289,4270269,4352379,4349228,0,0
avances_et_acomptes_verses_sur_commandes,67248,301878,183097,303307,156206,97811,0,0
clients_et_comptes_rattaches,1540781,1504929,1438127,819023,906886,1275272,0,0
autres_creances,853037,304097,205379,247858,166692,277312,0,0
disponibilites,4874060,4017358,3955928,2916482,2794027,2001922,0,0
charges_constatees_davance,506788,629052,437920,403456,424586,698704,0,0
total_ii__actif_circulant,13807945,11711847,10263845,9025997,8831958,8742184,0,0
total_general__actif,14678237,12491795,11186668,10097970,9697815,9496376,0,0
capital_social_ou_individuel,707000,707000,707000,707000,707000,707000,0,0
reserve_legale,70700,70700,70700,70700,70700,70700,0,0
autres_reserves,6649835,5681146,5083100,4784713,4340000,3950000,0,0
resultat_de_lexercice_benefice_ou_perte,1297253,1118688,748046,448387,442151,390573,0,0
total_i__capital_social,8724788,7577535,6608846,6010800,5562412,5120261,0,0
avances_conditionnees,84554,113360,136503,86527,55317,0,0,0
total_ii__capital_social,84554,113360,136503,86527,55317,0,0,0
provisions_pour_risques,88998,75000,31841,43570,41209,37119,0,0
provisions_pour_charges,68290,70300,70700,104600,71450,71580,0,0
total_iii__provisions,157288,145300,102541,148170,112659,108699,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,2451,2849,2113,2186,2436,2505,0,0
emprunts_et_dettes_financieres_divers,538864,318439,299671,454724,383663,499112,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,2213580,2185037,2165629,2130089,2131532,2113679,0,0
dettes_fournisseurs_et_comptes_rattaches,1598591,1170594,1007018,820986,930570,1180617,0,0
dettes_fiscales_et_sociales,1284014,925855,784274,416396,490960,444455,0,0
autres_dettes,72488,52827,55377,28092,28262,27046,0,0
produits_constates_davance,1620,0,0,0,0,0,0,0
total_iv__dettes,5711608,4655601,4338777,3852473,3967426,4267416,0,0
total_general__passif,14678237,12491795,11186668,10097970,9697815,9496376,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,2451,2849,2113,2186,2436,2505,0,0
emprunts_participatifs,538864,0,0,0,383663,0,0,0
report_a_nouveau,0,0,0,0,2561,1988,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,0,0
dettes_sur_immobilisations_et_comptes_rattaches,0,0,24695,0,0,0,0,0
