Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,1047,1440,0,155,0,0,0,0
constructions,50518,12387,134664,95380,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,40568,12857,1794,0,0,0,0,0
autres_immobilisations_corporelles,173337,216278,95375,86648,0,0,0,0
immobilisations_en_cours,2890,0,0,0,0,0,0,0
avances_et_acomptes,28060,1156,792,0,0,0,0,0
autres_immobilisations_financieres,27500,14500,2000,2000,0,0,0,0
total_i__immobilisations,323921,258618,234624,184183,0,0,0,0
matieres_premieres_approvisionnements,1931756,1686554,1174089,418253,0,0,0,0
avances_et_acomptes_verses_sur_commandes,10645,489,187962,15000,0,0,0,0
clients_et_comptes_rattaches,225829,52350,176242,2949,0,0,0,0
autres_creances,298545,162153,14687,8652,0,0,0,0
disponibilites,808755,618217,50074,200836,0,0,0,0
charges_constatees_davance,130805,109746,243,0,0,0,0,0
total_ii__actif_circulant,3406334,2629510,1603297,646047,0,0,0,0
total_general__actif,3730255,2888128,1837921,830229,0,0,0,0
capital_social_ou_individuel,400000,400000,400000,200000,0,0,0,0
reserve_legale,40000,27350,11750,200,0,0,0,0
report_a_nouveau,546430,318916,62982,128458,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,229816,405026,311533,230613,0,0,0,0
subventions_dinvestissement,2026,2610,0,0,0,0,0,0
total_i__capital_social,1218272,1153901,786266,559271,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,1699281,1238049,487212,189039,0,0,0,0
emprunts_et_dettes_financieres_divers,2238,23754,5725,5391,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,119889,24717,0,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,224138,192077,422465,20124,0,0,0,0
dettes_fiscales_et_sociales,384804,237104,135667,56280,0,0,0,0
autres_dettes,81633,901,586,124,0,0,0,0
total_iv__dettes,2511983,1734226,1051655,270958,0,0,0,0
total_general__passif,3730255,2888128,1837921,830229,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,1217008,731946,902536,221552,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,101228,2872,33652,0,0,0,0,0
dettes_sur_immobilisations_et_comptes_rattaches,0,17624,0,0,0,0,0,0
marchandises,0,0,0,357,0,0,0,0
