Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,27421805,24451852,22753119,17803886,21977387,20564992,0,0
production_vendue_services,120874,106191,95887,112406,132175,146585,0,0
chiffres_daffaires_nets,27542678,24558043,22849006,17916292,22109562,20711576,0,0
subventions_dexploitation,4000,8000,4000,0,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,427,73312,29482,10010,55333,16955,0,0
autres_produits,7369,5325,10037,3216,7575,10862,0,0
total_des_produits_dexploitation_i,27554475,24644680,22892526,17929517,22172470,20739394,0,0
achats_de_marchandises_y_compris_droits_de_douane,19530368,17052280,15449577,12221585,15065260,14003412,0,0
variation_de_stock_marchandises,-86792,-63375,84616,-18851,289478,39741,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,324262,333379,318230,294136,395971,411820,0,0
variation_de_stock_matieres_premieres_et_approvisionnements,-31,-152,8886,4514,34736,-547,0,0
autres_achats_et_charges_externes,4370597,3791196,2933137,2088355,3245456,3633218,0,0
impots_taxes_et_versements_assimiles,114326,105425,102855,113434,117498,123651,0,0
salaires_et_traitements,1506844,1540627,1481161,1216994,1454731,1575387,0,0
charges_sociales,692003,670129,674424,579878,671624,671559,0,0
dot_dexploit__dotations_aux_amortissements,46585,33157,73696,188213,208986,221283,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,31132,7868,6292,10126,9729,37890,0,0
autres_charges,4095,11483,11038,6324,44209,22462,0,0
total_des_charges_dexploitation_ii,26570628,23482015,21157324,16781782,21563927,20743807,0,0
_resultat_dexploitation_i__ii,983847,1162666,1735201,1147736,608542,-4414,0,0
total_des_produits_financiers_v,18267,4977,2312685,3999,9521,8562,0,0
total_des_charges_financieres_vi,30077,30861,34570,28819,37155,34010,0,0
_resultat_financier_v__vi,-11811,-25884,2278115,-24820,-27634,-25448,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,972036,1136782,4013316,1122916,580908,-29862,0,0
produits_exceptionnels_sur_operations_de_gestion,4169,1792,19657,11977,415618,14207,0,0
produits_exceptionnels_sur_operations_en_capital,920,289,685258,5376,1619,750,0,0
total_des_produits_exceptionnels_vii,5089,2081,704916,17353,597582,14957,0,0
charges_exceptionnelles_sur_operations_de_gestion,2552,10604,283364,6263,293578,6826,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,5088,1911324,0,0,0,0,0
total_des_charges_exceptionnelles_viii,2552,15692,2879946,11018,293578,8375,0,0
_resultat_exceptionnel_vii__viii,2537,-13610,-2175031,6335,304004,6583,0,0
impots_sur_les_benefices,264771,275971,421996,355412,79046,0,0,0
total_des_produits_i__iii__v__vii,27577830,24651738,25910126,17950869,22779573,20762913,0,0
total_des_charges_ii__iv__vi__viii__ix__x,26868028,23804538,24493837,17177030,21973707,20786192,0,0
benefice_ou_perte_total_des_produits__total_des_charges,709802,847200,1416289,773839,805866,-23279,0,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,37239,0,13413,77075,26250,3932,0,0
autres_interets_et_produits_assimiles,18267,0,2312685,3999,9521,8562,0,0
interets_et_charges_assimilees,30077,0,34570,28819,37155,34010,0,0
charges_exceptionnelles_sur_operations_en_capital,0,0,685258,4755,0,1548,0,0
reprises_sur_provisions_et_transferts_de_charges,0,0,0,0,180345,0,0,0
