Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,5620061,6665684,6485697,5826218,5672412,5095425,0,0
chiffres_daffaires_nets,5620061,6665684,6485697,5826218,5672412,5095425,0,0
production_immobilisee,5865,6969,6162,3133,3798,4533,0,0
subventions_dexploitation,0,667,140243,13000,2000,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,103046,119280,150757,122417,8750,13125,0,0
autres_produits,751,-284,441,90,477,665,0,0
total_des_produits_dexploitation_i,5729722,6792315,6783300,5964858,5687437,5113748,0,0
achats_de_marchandises_y_compris_droits_de_douane,4940781,5309845,5879997,4089383,4874300,4186056,0,0
variation_de_stock_marchandises,-376225,-81296,-646241,519099,-432700,-129680,0,0
autres_achats_et_charges_externes,409453,458635,413236,387758,409004,452025,0,0
impots_taxes_et_versements_assimiles,10711,15425,7825,15984,13811,9952,0,0
salaires_et_traitements,240424,271970,236957,237747,236390,241286,0,0
charges_sociales,60829,67812,69256,55989,64548,69946,0,0
dot_dexploit__dotations_aux_amortissements,12184,11669,11366,16341,19135,12457,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,117751,119280,150577,92839,8750,0,0
autres_charges,1872,891,1047,524,186,304,0,0
total_des_charges_dexploitation_ii,5300271,6172949,6092724,5476158,5277515,4851097,0,0
_resultat_dexploitation_i__ii,429451,619366,690576,488700,409922,262651,0,0
reprises_sur_provisions_et_transferts_de_charges,0,9716,343,261,2854,0,0,0
differences_positives_de_change,46746,59069,22794,54703,3352,29661,0,0
total_des_produits_financiers_v,46746,68785,23138,54985,6206,29661,0,0
dotations_financieres_sur_amortissements_et_provisions,0,0,9716,343,261,2854,0,0
interets_et_charges_assimilees,76509,21400,13629,14941,14881,13728,0,0
differences_negatives_de_change,15393,176072,56570,7416,26483,49099,0,0
total_des_charges_financieres_vi,91902,197472,79915,22700,41626,65681,0,0
_resultat_financier_v__vi,-45156,-128687,-56777,32285,-35420,-36021,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,384295,490679,633799,520984,374502,226630,0,0
produits_exceptionnels_sur_operations_de_gestion,61606,36179,3042,1176,23506,8251,0,0
produits_exceptionnels_sur_operations_en_capital,2000,0,0,0,8500,0,0,0
total_des_produits_exceptionnels_vii,63606,36179,3042,1176,32006,8251,0,0
charges_exceptionnelles_sur_operations_de_gestion,1318,1520,2067,6385,561,1098,0,0
total_des_charges_exceptionnelles_viii,1318,1520,2067,6739,561,1098,0,0
_resultat_exceptionnel_vii__viii,62289,34659,975,-5563,31445,7153,0,0
impots_sur_les_benefices,103182,123769,115936,126319,103887,47269,0,0
total_des_produits_i__iii__v__vii,5840074,6897279,6809480,6021018,5725649,5151659,0,0
total_des_charges_ii__iv__vi__viii__ix__x,5496673,6495710,6290642,5631916,5423589,4965145,0,0
benefice_ou_perte_total_des_produits__total_des_charges,343402,401569,518838,389102,302060,186514,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,242,247,0,2755,0,0,0,0
autres_interets_et_produits_assimiles,0,0,0,20,0,0,0,0
charges_exceptionnelles_sur_operations_en_capital,0,0,0,354,0,0,0,0
