Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,2185453,2371821,1171201,345877,0,2487003,0,0
production_vendue_services,452339,815373,882900,680591,0,667933,0,0
chiffres_daffaires_nets,2637792,3187194,2054101,1026468,0,3154936,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,68765,0,0,243308,0,2952,0,0
total_des_produits_dexploitation_i,2707437,3187194,2054101,1270304,0,3157888,0,0
achats_de_marchandises_y_compris_droits_de_douane,1125928,434462,772747,147794,0,2081060,0,0
variation_de_stock_marchandises,339756,910011,234770,114443,0,-515853,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,17913,10172,-44889,5476,0,62553,0,0
autres_achats_et_charges_externes,470005,703908,433046,525904,0,465586,0,0
impots_taxes_et_versements_assimiles,24129,11207,13776,14159,0,18222,0,0
salaires_et_traitements,471163,677024,665842,692322,0,682418,0,0
charges_sociales,236034,247785,272384,293718,0,341347,0,0
dot_dexploit__dotations_aux_amortissements,16050,46529,29674,42511,0,55273,0,0
autres_charges,3943,11314,73188,45464,0,121710,0,0
total_des_charges_dexploitation_ii,2704924,3101057,2460423,1881792,0,3312317,0,0
_resultat_dexploitation_i__ii,2512,86137,-406322,-611488,0,-154429,0,0
differences_positives_de_change,0,0,0,0,0,0,0,0
total_des_produits_financiers_v,73759,0,0,0,0,0,0,0
interets_et_charges_assimilees,6067,91,22455,21065,0,18542,0,0
differences_negatives_de_change,0,0,2722,1571,0,212,0,0
total_des_charges_financieres_vi,6067,91,25177,22636,0,18754,0,0
_resultat_financier_v__vi,67692,-91,-25177,-22636,0,-18754,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,70205,86046,-431499,-634124,0,-173182,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,245,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,0,245,0,0
_resultat_exceptionnel_vii__viii,0,0,0,0,0,245,0,0
total_des_produits_i__iii__v__vii,2781196,3187194,2054101,1270304,0,3158133,0,0
total_des_charges_ii__iv__vi__viii__ix__x,2710991,3101148,2485601,1904428,0,3331070,0,0
benefice_ou_perte_total_des_produits__total_des_charges,70205,86046,-431499,-634124,0,-172937,0,0
autres_produits,879,0,0,527,0,0,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,48645,9885,0,0,0,0,0
autres_interets_et_produits_assimiles,73759,0,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,0
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,0
