,Revenue,Net_Income,Assets,Equity,Stocks/Revenue_%,Debt/EBITDA,Profit/Assets_%,Gross_Margin_%,EBITDA_Margin_%,Operating_Margin_%,Net_Margin_%,Market_Share_%
542073366_ROLEX FRANCE,"289,967,900","11,673,515","132,391,970","52,343,885",21.26,4,8.82,10.74,5.92,5.41,4.03,50.03
304348691_LE PETIT FILS DE LU CHOPARD FRANCE,"55,239,487","-53,054","143,610,621","89,352,267",12.0,27,-0.04,15.94,3.63,2.39,-0.1,9.53
422727834_BREITLING FRANCE,"46,230,353","1,262,395","18,296,748","4,288,610",11.08,7,6.9,12.69,4.6,3.29,2.73,7.98
393188933_FESTINA FRANCE,"27,542,678","709,802","11,230,546","5,868,820",28.14,5,6.32,12.36,3.74,3.57,2.58,4.75
329935639_SMB,"25,421,873","1,508,048","20,327,504","14,213,334",28.28,2,7.42,34.47,11.39,9.01,5.93,4.39
479048548_SYNINVEST,"19,386,350","-476,210","9,842,133","496,684",11.58,-57,-4.84,6.87,-0.84,-1.46,-2.46,3.34
881518146_GRAND SEIKO EUROPE S.A.S.,"19,291,672","1,396,997","24,610,266","4,901,226",31.07,7,5.68,22.99,14.26,10.96,7.24,3.33
572206977_ETABLISSEMENTS LAVAL,"17,511,043","1,297,253","14,678,237","8,724,788",13.67,3,8.84,28.27,11.74,10.96,7.41,3.02
421217241_THABORA,"15,596,399","2,068,477","10,993,966","8,129,647",11.21,1,18.81,34.12,17.04,16.16,13.26,2.69
814261475_REPOSSI,"15,449,027","-5,513,382","61,393,148","30,027,269",43.06,-8,-8.98,10.58,-25.3,-29.48,-35.69,2.67
419395595_TIMEWAY FRANCE,"13,171,955","-871,189","8,646,605","692,418",21.71,-16,-10.08,183.79,-3.57,-2.89,-6.61,2.27
325720332_ROCHET Group,"9,275,902","706,446","7,322,942","4,258,056",19.46,4,9.65,37.08,9.15,7.09,7.62,1.6
452016595_MISTER WATCH,"9,096,354","343,531","3,085,937","1,504,647",15.48,3,11.13,21.19,5.9,5.85,3.78,1.57
400595625_SAMUEL H,"5,620,061","343,402","6,722,467","4,020,471",34.62,6,5.11,11.49,7.86,7.64,6.11,0.97
517745501_SOWIND FRANCE,"2,637,792","70,205","4,058,995","3,044,886",95.95,55,1.73,25.94,0.7,0.1,2.66,0.46
435070727_SAM.AREFINIA ORLANDO,"1,620,946","174,452","2,659,595","1,831,097",3.35,3,6.56,43.96,17.07,14.24,10.76,0.28
572139442_LEFILLEUL LACROIX ISSERLIS,"1,492,104","-129,093","764,595","297,590",17.54,-3,-16.88,3.01,-9.81,-9.88,-8.65,0.26
410789812_GAINERIE ELYSEE,"1,213,356","38,140","809,093","593,031",19.07,4,4.71,25.87,4.94,4.73,3.14,0.21
538858150_ATHAN'OR,"1,207,613","56,107","293,895","242,790",0.79,1,19.09,10.66,4.86,4.66,4.65,0.21
790299978_GLAM CHIC,"1,118,903","27,333",nan,nan,,nan,,15.73,3.09,2.87,2.44,0.19
849526736_COMPTOIR NICOIS D'HORLOGERIE ET DE BIJOUTERIE,"999,257","106,466","1,000,163","541,554",11.52,3,10.64,32.03,14.99,14.37,10.65,0.17
434898904_C E C E D,"536,294","-10,121","609,395","-23,151",15.73,-558,-1.66,20.84,-0.21,-0.58,-1.89,0.09
505123364_TOSOLINI & CO,nan,nan,"1,119,847","866,707",,nan,,,,,,
829218031_ARISTOCRAZY FRANCE,nan,nan,"1,731,704","819,718",,nan,,,,,,
572070688_TEMPLIER,nan,nan,"5,039,070","4,868,612",,nan,,,,,,
027180207_MOINEAU,nan,nan,"5,827,813","3,983,973",,nan,,,,,,
883223661_BDS,nan,nan,"4,700,837","1,356,760",,nan,,,,,,
513977363_IMPORT 34,nan,nan,"897,168","429,797",,nan,,,,,,
817646615_CAMILLE AMBIANCE NATURE,nan,nan,"3,730,255","1,218,272",,nan,,,,,,
842610297_Break Next,nan,nan,"510,223","276,758",,nan,,,,,,
326697273_MAISON J.PORCHET SA,nan,nan,"4,503,494","4,021,531",,nan,,,,,,
789054665_AMETSA,nan,nan,0,0,,nan,,,,,,
434810891_ALMAX SARL,nan,nan,"773,066","646,760",,nan,,,,,,
399027804_FACET DIAMANT,nan,nan,"3,159,599","2,191,518",,nan,,,,,,
813246675_FTT,nan,nan,"1,058,452","91,378",,nan,,,,,,
827910423_ELLA,nan,nan,"1,063,193","461,085",,nan,,,,,,
330395997_DIAMPREST,nan,nan,"3,188,677","1,219,280",,nan,,,,,,
839405230_TISM,nan,nan,0,0,,nan,,,,,,
530049394_ATIWELL,nan,nan,"1,767,254","202,564",,nan,,,,,,
TOTAL,"579,627,319","14,729,520","522,419,473","258,004,632",466.57,-509,88.93,620.62,101.15,79.01,39.589999999999996,100.00999999999999
