,814261475_REPOSSI,304348691_LE PETIT FILS DE LU CHOPARD FRANCE,422727834_BREITLING FRANCE,452016595_MISTER WATCH,479048548_SYNINVEST,572139442_LEFILLEUL LACROIX ISSERLIS,572206977_ETABLISSEMENTS LAVAL,849526736_COMPTOIR NICOIS D'HORLOGERIE ET DE BIJOUTERIE,325720332_ROCHET Group,435070727_SAM.AREFINIA ORLANDO,419395595_TIMEWAY FRANCE,542073366_ROLEX FRANCE,410789812_GAINERIE ELYSEE,393188933_FESTINA FRANCE,400595625_SAMUEL H,421217241_THABORA,881518146_GRAND SEIKO EUROPE S.A.S.,517745501_SOWIND FRANCE,434898904_C E C E D,538858150_ATHAN'OR,790299978_GLAM CHIC,329935639_SMB
814261475_REPOSSI,1.0,0.783782267636911,0.9579630669886173,0.963912952742963,-0.9059145223693872,0.3808612558878212,-0.1377846569435493,-0.6701836987687407,-0.07928802599879049,-0.19634526223724622,0.6367842214554397,-0.9767330705225042,0.18322563470245448,-0.8569233491858623,-0.8301979407675185,-0.6291077612274776,-0.9062084691180312,-0.9028903276994122,-0.4509197798503704,-0.7213568973576124,-0.8098290644854149,0.7148580205916383
304348691_LE PETIT FILS DE LU CHOPARD FRANCE,0.7837822676369108,1.0,0.9290043641838356,0.5901672323716737,-0.9730238931485455,-0.27571731837349844,-0.7231055753912478,-0.06434833412090504,0.5569359878035639,0.45505520778479125,0.020255526731917814,-0.6323595854882779,0.7541311321294051,-0.9917503714578335,-0.996902411644412,-0.9758258066893918,-0.4476768627566756,-0.44070420025230483,-0.9077373463036881,-0.9954934231266157,-0.9990701403979457,0.9945644514895691
422727834_BREITLING FRANCE,0.9579630669886173,0.9290043641838357,1.0,0.8470174233947918,-0.989319922245503,0.09958185065586532,-0.41614785245270847,-0.42908168076022096,0.21003334418242325,0.09321564684306034,0.3888103135341391,-0.8741478354654924,0.45755812261081935,-0.9687774086591424,-0.9552320328845221,-0.8256679953749257,-0.7468075499198299,-0.7416092362084322,-0.6880337038857576,-0.8897238879688008,-0.9440958265555279,0.8854221298558335
452016595_MISTER WATCH,0.963912952742963,0.5901672323716738,0.8470174233947917,1.0,-0.760490070918016,0.613270478299806,0.13086607348184995,-0.8435842023981153,-0.34180625218002697,-0.4502953851698647,0.8190695383713705,-0.9985783265282112,-0.0850972259100928,-0.6887792795375776,-0.6518305530443813,-0.39946934823774216,-0.9860711915186949,-0.984746908613285,-0.19703102749706636,-0.5109526475846072,-0.6244239251297026,0.5029030119294036
479048548_SYNINVEST,-0.9059145223693873,-0.9730238931485455,-0.989319922245503,-0.760490070918016,1.0,0.04651756138997088,0.5442428413058688,0.2928386949543,-0.350299263549254,-0.23734583792447872,-0.25036614274812125,0.7940218884299349,-0.5822785487030077,0.9945694721698892,0.9881544106253065,0.8990814435451825,0.6418950662194725,0.6359080392895288,0.7864606658320209,0.9467610507480267,0.9820658059852182,-0.9437133965258081
572139442_LEFILLEUL LACROIX ISSERLIS,0.3808612558878212,-0.2757173183734985,0.0995818506558653,0.613270478299806,0.04651756138997088,1.0,0.8633364134269441,-0.9415046443635424,-0.9519189618391333,-0.9814143724005729,0.9554567521234446,-0.5702951493025816,-0.8391954498769294,0.15022708758103231,0.19926330264326483,0.47913056996234493,-0.736103023556268,-0.7413484901900163,0.6535559850076268,0.36562963496390344,0.23401767312423968,-0.37430548896869814
572206977_ETABLISSEMENTS LAVAL,-0.1377846569435493,-0.7231055753912476,-0.41614785245270847,0.13086607348184992,0.5442428413058688,0.8633364134269442,1.0,-0.6427753299870721,-0.9764193120539217,-0.9441293220477794,0.6759489248951653,-0.07783434892201667,-0.9989402429387019,0.6285985548844218,0.6665402433315196,0.8565855973815195,-0.2939366860776306,-0.3013665227603997,0.9461812147520148,0.7853499049674781,0.6926524301755773,-0.7910966062757672
849526736_COMPTOIR NICOIS D'HORLOGERIE ET DE BIJOUTERIE,-0.6701836987687408,-0.06434833412090506,-0.42908168076022096,-0.8435842023981153,0.2928386949543,-0.9415046443635424,-0.6427753299870721,1.0,0.7929961893451006,0.8593356954765929,-0.9990261686936917,0.8137607700160215,0.6068357221491191,0.19173606738658125,0.14263447926871428,-0.15530404427251993,0.9211494462203831,0.9241505820391109,-0.3602580444543326,-0.030575729566725364,0.10731358015818176,0.03990841263362086
325720332_ROCHET Group,-0.07928802599879049,0.5569359878035638,0.21003334418242325,-0.34180625218002697,-0.350299263549254,-0.9519189618391333,-0.9764193120539217,0.7929961893451006,1.0,0.9930156806802657,-0.8191039878280649,0.2912267089758392,0.9654483328831214,-0.4458773532022967,-0.48988891727747486,-0.7249901923190667,0.49335148624097463,0.5001060260897173,-0.8540019241684532,-0.633188189710733,-0.5206091872867593,0.6403884685770166
435070727_SAM.AREFINIA ORLANDO,-0.19634526223724622,0.4550552077847913,0.09321564684306036,-0.45029538516986467,-0.23734583792447872,-0.9814143724005728,-0.9441293220477794,0.8593356954765929,0.9930156806802656,1.0,-0.8810631524408806,0.40206107690615944,0.9279597512891246,-0.33715781479329454,-0.3836120647063838,-0.6386651343890709,0.592530439821204,0.5987816994426768,-0.78665459213032,-0.5374476370853888,-0.4162402508104967,0.5452992334301869
