Entités ;BU;Fournisseurs;Objet ;Montants;Théorique ;Confirmé;Nbr de jour de retard;Urgence ;Commentaires ;Marque 
01. ACT - Holding FR;Activate ;;Charges sociales ;4760;16/08/2025;15/08/2025;-1;Important ;;Activate 
01. ACT - Holding FR;Activate ;;Salaires ;3820;27/07/2025;25/07/2025;-2;Bloquant ;;Activate 
01. ECL - Lyon;ECL;Emissive ;Redevance ;52971,14;11/06/2025;15/08/2025;65;Important ;On doit pouvoir kill;ECL
01. ECL - Lyon;ECL;Emissive ;Redevance ;76052,76;10/07/2025;25/07/2025;15;Important;;ECL
01. ECL - Lyon;ECL;;Salaires ;25000;27/07/2025;25/07/2025;-2;Bloquant ;;ECL
01. Explore Lab BCN;ELA;ZIG ZAG Soluciones ;CAPEX;96800;21/07/2025;25/07/2025;4;;;ELA
01. Explore Lab BCN;ELA;ZIG ZAG Soluciones ;CAPEX;148891;25/07/2025;01/08/2025;7;;;ELA
01. Explore Lab BCN;ELA;JorG;Opex;8400;18/07/2025;25/07/2025;7;;;ELA
01. Explore Lab BCN;ELA;Klox;Marketing offline;8765;30/06/2025;25/07/2025;25;;;ELA
01. Explore Lab BCN;ELA;Klox;Marketing offline;8765;25/07/2025;01/08/2025;7;;;ELA
01. Explore Lab BCN;ELA;;Merch ;36000;30/06/2025;25/07/2025;25;;;ELA
01. FBA - Bretigny;FBA;;Charges sociales ;7000;16/08/2025;22/08/2025;6;Important ;;FBA
01. FBA - Bretigny;FBA;Odysseum ;Capex;5502,22;10/07/2025;01/08/2025;22;;;FBA
01. FBA - Bretigny;FBA;Odysseum ;Capex;62281,9;10/07/2025;01/08/2025;22;;;FBA
01. FBA - Bretigny;FBA;Odysseum ;Capex;8445,32;10/07/2025;01/08/2025;22;;;FBA
01. FBA - Bretigny;FBA;Odysseum ;Capex;16890,64;10/07/2025;01/08/2025;22;;;FBA
01. FBA - Bretigny;FBA;Wee technology;Capex;6211,09;17/06/2025;25/07/2025;38;;;FBA
01. FBA - Bretigny;FBA;Klépierre ;Loyer ;23525,04;01/07/2025;08/08/2025;38;Faible ;;FBA
01. FBA - Bretigny;FBA;Klépierre ;Loyer ;23525,04;01/07/2025;05/09/2025;66;Faible ;;FBA
01. FBA - Bretigny;FBA;Altiplano;Maintenance ;5940;02/07/2025;25/07/2025;23;Faible ;;FBA
01. FBA - Bretigny;FBA;;Salaires ;11500;27/07/2025;25/07/2025;-2;Bloquant ;;FBA
01. GF - Holding;GF;;Charges sociales ;49000;16/08/2025;15/08/2025;-1;Important ;;GF
01. GF - Holding;GF;;Salaires ;59500;27/07/2025;25/07/2025;-2;Bloquant ;;GF
01. GF - Holding;GF;;Loyer ;7200;01/08/2025;01/08/2025;0;Important ;;GF
01. GF - Holding;GF;;Loyer ;7200;05/09/2025;05/09/2025;0;Important ;;GF
01. GF - Holding;GF;;Charges sociales ;13000;16/08/2025;15/08/2025;-1;Important ;;GF
01. IQ CONCEPT SAS ;KOE;Second œuvre;CAPEX;67357;15/07/2025;01/08/2025;17;Faible ;;KOE
01. IQ CONCEPT SAS ;KOE;Second œuvre;CAPEX;67357;15/07/2025;29/08/2025;45;Faible ;;KOE
01. IQ CONCEPT SAS ;KOE;Capex ;CAPEX;73190;21/07/2025;01/08/2025;11;Faible ;;KOE
