name;categorie;sous-categorie
Facture Societe Generale;Frais bancaires;Societe Generale
Paiement TPE;CA;Paiement client
Revenue espece;CA;Paiement client
VRV_DILIGENTIA SJA;Fournisseurs;Achat courant
VRV_META PLATFORMS IRELAN;Fournisseurs;Achat courant
VRV_SAS ALTIPLANO CONSTRUCTI;CAPEX;Altiplano
VRV_EFIC;Fournisseurs;Achat courant
VRV_QUALIMETRIE FR;Fournisseurs;Achat courant
VRV_WEE TECHNOLOGY;Fournisseurs;Achat courant
VRV_SODIKART;CAPEX;Sodikart
VRV_BEAUVAIS FD;Fournisseurs;Achat courant
VRV_AEROCLIM;CAPEX;Climatisation
VRV_APEX TIMING;Fournisseurs;Achat courant
VRV_TYCO INTEGRATED FIRE;CAPEX;Tyco Integrated
VRV_CHAMBLY FD;Fournisseurs;Achat courant
VRV_LEMNIA SAS FAC;Fournisseurs;Achat courant
VRV_HAXES;Fournisseurs;Achat courant
VRV_SERVON FD;Fournisseurs;Achat courant
VRV_EMISSIVE;Redevance payée;Emissive
VRV_DECLERCK;CAPEX;Declerck
VRV_BRAIN L ESCAPE;CAPEX;Brain
VRV_COMPAGNIE DES REVES;Redevance payée;Compagnie des reves
VRV_PROFEU;CAPEX;Profeu
VRV_BOWLTECH FRANCE;CAPEX;Bowltech France
VRV_FLUNCH;Fournisseurs;Achat courant
VRV_DANIEL;CAPEX;
VRV_SMALL CREATIVE;Redevance payée;Small creative
VRV_SOVILEC;CAPEX;Sovilec
VRV_ACTIFAGENCEMENT;CAPEX;Actifagencement
VRV_SP TOURCOING;CAPEX;Interco
VRV_BFE DESIGN;CAPEX;
VRV_ARTEK;CAPEX;Artek
VRV_PIAZZA BATIMENT;CAPEX;Piazza batiment
VRV_FROID CHAUD SERVICE;CAPEX;Froid Chaud Service
VRV_ADECCO;Salaires;Interim
VRV_HOLIGHT;CAPEX;Eclairage
VRV_SAS ENTOMA;Fournisseurs;Achat courant
VRV_BREST FD;Fournisseurs;Achat courant
VRV_MISANDEAU;CAPEX;Misandeau
VRV_PROPRETE;Fournisseurs;Achat courant
VRV_LEADER LIGHT;Fournisseurs;Achat courant
VRV_SAS OZ UP;Fournisseurs;Achat courant
VRV_SAS FRANCE SECURITE;Fournisseurs;Achat courant
VRV_SNTECH SERVICES;Fournisseurs;Achat courant
VRV_SMEETZ;Fournisseurs;Achat courant
VRV_ELIS MAJ -;Fournisseurs;Achat courant
VRV_TK ELEVATOR FRANCE;CAPEX;
VRV_SUEZ RV NORD;Fournisseurs;Achat courant
VRV_BUREAU VERITAS;CAPEX;
VRV_NPMS PHOTOGRAPHE;Fournisseurs;Achat courant
VRV_JVDEMENAGEMENTS;Fournisseurs;Achat courant
VRV_DUPUIS CHRISTOPHE;;
VRV_DEFIBFRANCE;;
VRV_STAFFMATCH FRANCE;Salaires;Interim
VRV_APERWIN;Fournisseurs;Achat courant
VRV_FLORIANREYNAUD;CAPEX;
VRV_QUALICONSULT - SECUR;CAPEX;
VRV_KVC PRINT;Fournisseurs;Achat courant
VRV_TROPHEES DES VAINQUE;Fournisseurs;Achat courant
VRV_DELICATESSEN;Fournisseurs;Achat courant
VRV_TILTMANN FRANCE;;
VRV_STRASBOURG FD;;
VRV_TELEDYNE OLDHAM SIMT;;
VRV_LE MANS FD;;
VRV_MB SERVICES;;
VRV_MA J E;;
VRV_VENATHEC;;
VRV_OPERAPRINT;;
VRV_DALKIA N;Fournisseurs;Achat courant
VRV_STENI;;
VRV_CIAMT;Salaires;n.a
VRV_EI - LE;Fournisseurs;Achat courant
VRV_ONE DRY NUGGET;;
VRV_SMEF AZUR;CAPEX;Smef Azur
VRV_TOUT BON BLAGNAC;Fournisseurs;Achat courant
VRV_TECHNIC PROTECTION I;;
VRV_FLUNCH -;;
VRV_VINCENT GONCALVES;;
VRV_BUSTA ASSURANCES;;
VRV_A LEGENDRY;CAPEX;
VRV_SARL LE MANS;Fournisseurs;Achat courant
VRV_ATHALYS;;
VRV_REGIE NETWORKS;;
VRV_SYSCALL;;
VRV_VINCI IMMOBILIER PROPERTY;Honoraires;Vinci Immobilier
VRV_GROUPE ECO;;
VRV_ATR PRO;;
VRV_FACTURE LIVRE;;
VRV_NSA;;
VRV_DANA ASSOCIES;Honoraires;Juridique
VRV_OPEGA;Salaires;n.a
VRV_CARTOUCHES OISE COMP;;
VRV_GO IN FRANCE;;
VRV_ENSOL D;CAPEX;Ensol D
VRV_PLAST IT;CAPEX;Plast it
VRV_DEFIBTECH;;
VRV_BSM;CAPEX;BSM
VRV_YOUR EVENTS ORGANISATI;;
VRV_ACTIF AGENCEMENT;CAPEX;Actifagencement
VRV_DIGITAL COOKER BY;Fournisseurs;Achat courant
VRV_CACHET DE CIRE;;
VRV_SAS GUSTO DEI;;
VRV_ADESA CFA SACEF;;
VRV_CYRIL ZAMORANO;;
VRV_MIRANDAAU MENUISERIE N;;
VRV_CHOUQUET SYLVIE;Fournisseurs;Achat courant
VRV_SUPREME;;
VRV_PAKONYK CHARLINE;;
VRV_NIKO S ART;;
VRV_FRERES PLOMBERIE;;
VRV_MVP PRODUCTIONS;;
VRV_BOWLING WORLD BLOIS;;Tickets CE
VRV_HUT CINDY;;
VRV_SPRE;Redevance payée;Musique
VRV_SAS TECHEUNOMIE -;;
VRV_CHRISTOPHE DUPOIRIER;;
VRV_SACEM;Redevance payée;Musique
VRV_LA ROSE DE;;
VRV_EXPERIMENTAL PARK;;
VRV_TOURISM CITY TOURS;;
VRV_PROPRETE STENI;;
VRV_OT BORDEAUX METROPOLE;;
VRV_STAFFMATCH;;
VRV_PROCLEAN;;
VRV_ZIGZAG MEDIA;;
VRV_LAP REAL ESTATE;Honoraires;Real estate
VRV_LINKIA LEGAL ADVISORY;Honoraires;Legal
VRV_QUBICAAMF RI;CAPEX;Qubicaamf
VRV_KARTING ENSOL;CAPEX;Karting ensol
VRV_SODIKART USINE SODIK;CAPEX;Sodikart
VRV_LEISURE CONSULTING C;;
VRV_FOLLOW PARK;;
VRV_BOULANGER;;
VRV_ANTALZIC;;
VRV_L IMPRIMEUR;CAPEX;
VRV_RICHARDSON;;
VRV_BFE DESIGN FT;CAPEX;
VRV_SUPREME FRANCE POOL;CAPEX;
VRV_FFSA;;
VRV_CANIGLIA JOSEPH;CAPEX;
VRV_HOLOTEK;CAPEX;
VRV_FENOUILLETIMMOBILIER;;
VRV_PREVALY;;
VRV_BRINK S EVOLUTION;;
VRV_TOUT BON ANGERS;Fournisseurs;Achat courant
VRV_APOGEA;CAPEX;Apogea
VRV_CAMPUS;Fournisseurs;Achat courant
VRV_ALTIXIA CADENCE XII;Loyer;Altixia Cadence
VRV_DORIZON;CAPEX;Dorizon
VRV_ASSISTANCE DEVELOPPE;CAPEX;Interco
VRV_LEGENDRY;CAPEX;Legendry
VRV_ENTREPRISE P-J PELISSIE;CAPEX;Entreprise P-J Pelissie
VRV_EFFIMAINTENANCE;Maintenance;
VRV_FAB RETAIL SOLUTION;CAPEX;FAB Retail Solution
VRV_MTE SAS;CAPEX;MTE SAS
VRV_SARL OLIVEIRA FERNAN;CAPEX;
VRV_TOUT BON PARIS;Fournisseurs;Achat courant
VRV_XPLOSE IN-EAR;CAPEX;
VRV_HERSAND;;
VRV_QUBIC AVAMF THEPOWER;;
VRV_MARTINEAU;CAPEX;
VRV_SP ANGERS;Loyer;SP Angers
VRV_PR2M;CAPEX;
VRV_BUREAU VERITAS CONSTRU;CAPEX;Bureau Veritas
VRV_CC RETAIL CONSULTING;Fournisseurs;Achat courant
VRV_EI - DE;Salaires;n.a
VRV_TOUT BON;Fournisseurs;Achat courant
VRV_EBM CLEAN SERVICES;Fournisseurs;Achat courant
VRV_GROUPE PERIN SECURITE;Fournisseurs;Achat courant
VRV_TAYLORWESSING;Honoraires;
VRV_PELISSIER;CAPEX;
VRV_MOBILIUM;CAPEX;
VRV_SANHY-TECH PROPRETE S;;
VRV_F3S;Fournisseurs;Achat courant
VRV_PROXELIA;Fournisseurs;Achat courant
VRV_APPIE CIE;Fournisseurs;Achat courant
VRV_CEGELEC MAINTENANCE;Fournisseurs;Achat courant
VRV_OLIVIER PRODUCTIONS;Honoraires;
VRV_REVOLUTIONR;Fournisseurs;Achat courant
VRV_PEOPLE BABY DEVELOPPEMENT;Fournisseurs;Achat courant
VRV_BRICE VANDEGINSTE EI;Honoraires;
VRV_THOMAS LECOMTE;Honoraires;
VRV_GASPARD RANDON DE;Salaires;n.a
VRV_MONDAPAR;;
VRV_SECURITAS FRANCE;Fournisseurs;Achat courant
VRV_MONNAIE DE PARIS;Fournisseurs;Achat courant
VRV_ERIS;;
VRV_SCI COMPAGNIE DES;Loyer;
VRV_SANHY-TECH SARL;Fournisseurs;Achat courant
VRV_THIAM MAMADOU;Fournisseurs;Achat courant
VRV_SARL GUILLAUME LAURIE;CAPEX;
VRV_A2CB;CAPEX;
