name;categorie;sous-categorie
VIR SEPA SIE MELUN;Remboursement;DGFIP
*CB COM SPEEDPARK; Frais bancaire; CB
CB SPEEDPARK        ;CA;Paiement client
PRLV CORIOLIS;Fournisseurs;Achat courant
PRLV URSSAF D'ILE DE FRANCE;Salaires;n.a
PRLV BPCE PAYMENT SERVICES;Frais bancaires; BPCE
PRLV ORANGE SA;Fournisseurs;Achat courant
PRLV CE HAUTS DE FRANCE;Frais bancaires;CE
SFR BUSINESS-SOCIETE FRANCAISE DU R_PRELEVEMENT EUROPEEN;Fournisseurs;Achat courant
CSEE EXPLOITATION AERIENNE_VIR RECU   ;CA;B2B
CSE LESSENS VALLEE DE L OISE_VIR INST RE;CA;B2B
CSE SANOFI WINTHROP INDUSTRIE_VIR RECU   ;CA;B2B
CSE INERIS_VIR RECU   ;CA;B2B
CSE VOLKSWAGEN BANK_VIR RECU   ;CA;B2B
CSE ABEILLE ASSURANCES_VIR RECU;CA;B2B
VIR SEPA CIC SP SERVON;Interco;Interco
VIR INST CIC SP SERVON;Interco;Interco
